"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Deep Creek/East & West Twin Fall Chum-","Pacific Coast Chum",40.0392781127135,40.0392781127135,43.2090723680338,1995,1999,"Pacific Coast Chum"
"2","Grays Harbor Fall Chum-","Pacific Coast Chum",17624.4396313541,NA,15549.6240559185,1995,1999,"Pacific Coast Chum"
"3","Pysht Fall Chum-","Pacific Coast Chum",845.307833439121,845.307833439121,842.831810618559,1995,1999,"Pacific Coast Chum"
"4","Willapa Bay Fall Chum-","Pacific Coast Chum",33173.8698120824,NA,30680.8985888167,1995,1999,"Pacific Coast Chum"
"5","Deep Creek/East & West Twin Fall Chum-","Pacific Coast Chum",23.2324548943129,23.2324548943129,19.2257029146252,2000,2004,"Pacific Coast Chum"
"6","Grays Harbor Fall Chum-","Pacific Coast Chum",24704.9613789112,NA,26631.1070638986,2000,2004,"Pacific Coast Chum"
"7","Pysht Fall Chum-","Pacific Coast Chum",995.210962780463,995.210962780463,771.434475245852,2000,2004,"Pacific Coast Chum"
"8","Willapa Bay Fall Chum-","Pacific Coast Chum",40716.1978595902,NA,48817.7266000541,2000,2004,"Pacific Coast Chum"
"9","Deep Creek/East & West Twin Fall Chum-","Pacific Coast Chum",5.72678734023669,6.42553334151664,NA,2005,2009,"Pacific Coast Chum"
"10","Grays Harbor Fall Chum-","Pacific Coast Chum",11566.6181682568,NA,9785.42576654843,2005,2009,"Pacific Coast Chum"
"11","Pysht Fall Chum-","Pacific Coast Chum",522.448562992716,522.448562992716,554.281638552754,2005,2009,"Pacific Coast Chum"
"12","Willapa Bay Fall Chum-","Pacific Coast Chum",17074.8605052994,NA,12781.1730862759,2005,2009,"Pacific Coast Chum"
"13","Deep Creek/East & West Twin Fall Chum-","Pacific Coast Chum",5.72168278545058,5.72168278545058,4.78938895318699,2010,2014,"Pacific Coast Chum"
"14","Grays Harbor Fall Chum-","Pacific Coast Chum",24379.0437542241,NA,23877.926399135,2010,2014,"Pacific Coast Chum"
"15","Pysht Fall Chum-","Pacific Coast Chum",944.737388938624,944.737388938624,1070.44470359919,2010,2014,"Pacific Coast Chum"
"16","Willapa Bay Fall Chum-","Pacific Coast Chum",33719.0963154752,NA,30157.2725999026,2010,2014,"Pacific Coast Chum"
"17","Deep Creek/East & West Twin Fall Chum-","Pacific Coast Chum",3.93007056359469,5.13323632470562,NA,2015,2019,"Pacific Coast Chum"
"18","Grays Harbor Fall Chum-","Pacific Coast Chum",30461.3102415136,NA,31556.7446889377,2015,2019,"Pacific Coast Chum"
"19","Pysht Fall Chum-","Pacific Coast Chum",778.769883666556,778.769883666556,549.643904317066,2015,2019,"Pacific Coast Chum"
"20","Willapa Bay Fall Chum-","Pacific Coast Chum",43371.5218055757,NA,NA,2015,2019,"Pacific Coast Chum"
