"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,30136.2868469933,29796.4712952327,23084.9979309349,39109.6335753306,24003.8480581417,37380.4552396205,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"2",1996,30537.8095146997,30276.5675689287,24019.0334820388,38619.877203175,24886.82181003,37130.6027460486,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"3",1997,24279.592219185,24086.9342201174,19216.2242288255,30363.1194902042,19922.882142232,29248.7706235835,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"4",1998,35911.6789484137,35647.518181698,28570.8166098754,44773.3654164448,29592.77014197,43143.1383927487,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"5",1999,31073.6429348513,30874.2250650851,24903.0537335984,38408.0665597689,25765.869203454,37060.5444390992,21099.0581898375,16627.3536846656,26541.831556969,17255.9425374583,25534.5825472888,29866.29015267,"Puget Sound Chinook Salmon ESU"
"6",2000,38271.8324614424,38009.1830871495,30660.869561082,47532.8216842917,31743.2733109924,45736.0773759386,28339.6569912338,22352.7464547856,35871.7454534703,23152.3616860225,34367.4998624374,40476.0707088,"Puget Sound Chinook Salmon ESU"
"7",2001,51795.1231884419,51396.7429147932,41625.4444674229,64211.9562777854,42996.1409582135,61837.2126714906,36767.1532054959,29139.6824399726,46170.528334319,30191.0550722489,44419.5138008675,46235.631385,"Puget Sound Chinook Salmon ESU"
"8",2002,49096.8638303633,48674.2861182324,38960.7999765528,61644.814602146,40343.096504643,59239.6790180929,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"9",2003,39348.6804866073,38997.4391991286,31076.2593993355,49435.4419851806,32215.9352444635,47591.4390597137,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"10",2004,53329.903715315,52804.4658706926,41929.3925944808,67412.8676567987,43487.3484468427,64840.3960028315,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"11",2005,41736.6253649184,41366.2622767009,32829.4580164652,52713.6601489675,34056.2455956633,50652.1858626917,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
"12",2006,53290.2819626214,52867.2701845647,42400.701961331,66611.340111237,43845.8515353577,64178.2673562673,31653.5294565001,24902.6654891983,40044.2302332864,25818.0272772797,38461.2893403337,56650.6284657,"Puget Sound Chinook Salmon ESU"
"13",2007,32940.7738414664,32705.3845420915,26396.551640171,40882.8573045888,27304.5484641046,39411.2239529704,20542.3328386693,16014.889332753,26313.6100741109,16610.0122179057,25198.3382966152,37444.8804635,"Puget Sound Chinook Salmon ESU"
"14",2008,41169.8899622075,40881.5922529363,33078.610855567,50834.2981202029,34231.460414213,49143.1514968206,28468.5847020729,22405.9162627837,35972.8865985178,23247.0020580138,34584.3680971148,44715.01943131,"Puget Sound Chinook Salmon ESU"
"15",2009,23653.947114321,23484.3818938963,19140.6874424749,29085.7853950476,19762.8867496835,28062.860986174,13960.0121589595,10838.0442931986,17949.6287353799,11243.3341367679,17173.7543046473,21283.92426916,"Puget Sound Chinook Salmon ESU"
"16",2010,26178.2327431594,25998.5082668812,21267.1243664775,32056.0219180683,21942.837784738,30992.6092634941,15146.9483162393,11769.3948855862,19403.5471424251,12240.7559485385,18598.3400579751,28709.01182631,"Puget Sound Chinook Salmon ESU"
"17",2011,27273.0538730789,27080.9872488161,22165.9311734201,33455.1276416689,22885.04794942,32265.5096243155,15141.2283704918,11736.5741384738,19541.1047422205,12187.1160869931,18678.6332154132,23997.49541542,"Puget Sound Chinook Salmon ESU"
"18",2012,42610.597116302,42328.4154193605,34553.5420457802,52472.0579160794,35674.5225715357,50577.4283991647,26663.0336501601,20875.953771498,34100.6831307369,21666.357742543,32625.4789038443,41444.440995,"Puget Sound Chinook Salmon ESU"
"19",2013,35439.7901623116,35193.8509770626,28728.4974299842,43461.5304230299,29682.2017923104,41973.7897406042,21246.0099918523,16471.8195321298,27320.2441302684,17136.8776989584,26137.1058871495,36915.18268506,"Puget Sound Chinook Salmon ESU"
"20",2014,27255.3873275207,27040.3899278578,21987.2977064566,33652.0188808564,22730.5958498304,32469.0139588956,15170.999711236,11643.4202093218,19804.7102310338,12112.5023596433,18909.8457571204,29890.36389657,"Puget Sound Chinook Salmon ESU"
"21",2015,35487.6261224871,35243.005241833,28544.7152458781,43863.0509744882,29508.7535180924,42279.9737373898,20306.6823040517,15692.8133641967,26298.3498885727,16309.6762643291,25139.2038728236,38384.64812822,"Puget Sound Chinook Salmon ESU"
"22",2016,54042.1135841253,53655.5763268812,43543.1706267069,66693.4832267906,45024.6684777664,64378.1729598429,28663.843942156,22216.5319450636,37159.3805620422,23086.4136324771,35474.868271482,58813.4777826,"Puget Sound Chinook Salmon ESU"
"23",2017,63313.3560995761,62855.2953694372,51187.5732026312,77937.4617481417,52804.8013214143,75285.5652234614,31000.5223088286,24240.2759974616,39875.764002712,25113.4480598507,38085.7522691346,62578.1791798,"Puget Sound Chinook Salmon ESU"
"24",2018,50719.851048931,50340.2420228554,40525.307765859,63081.2994276451,41981.284952254,60727.4275752413,22743.4940738367,17297.8886636503,30135.9229370108,17967.2882664761,28592.1704779613,57869.84296185,"Puget Sound Chinook Salmon ESU"
"25",2019,34337.1578150997,33688.217716086,23551.7649176676,49075.006658094,24904.7247581428,45977.4706753831,NA,NA,NA,NA,NA,NA,"Puget Sound Chinook Salmon ESU"
