"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chinook Salmon (Puget Sound ESU) - Cascade River","Puget Sound Chinook Salmon ESU",238.900069855765,234.450733033592,212.533072665009,1995,1999,"Puget Sound Chinook Salmon ESU"
"2","Chinook Salmon (Puget Sound ESU) - Cedar River","Puget Sound Chinook Salmon ESU",472.361963391884,262.860068426012,496.786604008042,1995,1999,"Puget Sound Chinook Salmon ESU"
"3","Chinook Salmon (Puget Sound ESU) - Dungeness River","Puget Sound Chinook Salmon ESU",126.06768252267,126.06768252267,104.234750070475,1995,1999,"Puget Sound Chinook Salmon ESU"
"4","Chinook Salmon (Puget Sound ESU) - Elwha River","Puget Sound Chinook Salmon ESU",688.127566245868,257.5275447802,735.280393479739,1995,1999,"Puget Sound Chinook Salmon ESU"
"5","Chinook Salmon (Puget Sound ESU) - Green River","Puget Sound Chinook Salmon ESU",6927.7612857261,3672.84249957217,7273.81380677519,1995,1999,"Puget Sound Chinook Salmon ESU"
"6","Chinook Salmon (Puget Sound ESU) - Lower Sauk River","Puget Sound Chinook Salmon ESU",473.026055566052,444.194332404952,428.627123329728,1995,1999,"Puget Sound Chinook Salmon ESU"
"7","Chinook Salmon (Puget Sound ESU) - Lower Skagit River","Puget Sound Chinook Salmon ESU",1167.72693828995,1095.14358809696,1035.31280585574,1995,1999,"Puget Sound Chinook Salmon ESU"
"8","Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack","Puget Sound Chinook Salmon ESU",543.718258528143,110.028256639912,471.446216858917,1995,1999,"Puget Sound Chinook Salmon ESU"
"9","Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal","Puget Sound Chinook Salmon ESU",103.728866733602,78.0885173743091,103.318737995753,1995,1999,"Puget Sound Chinook Salmon ESU"
"10","Chinook Salmon (Puget Sound ESU) - Nisqually River","Puget Sound Chinook Salmon ESU",735.494896426075,586.330740995018,723.184206625194,1995,1999,"Puget Sound Chinook Salmon ESU"
"11","Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River","Puget Sound Chinook Salmon ESU",1221.54898386653,702.613090692201,1177.26877663158,1995,1999,"Puget Sound Chinook Salmon ESU"
"12","Chinook Salmon (Puget Sound ESU) - Puyallup River","Puget Sound Chinook Salmon ESU",2201.18703312056,1907.34867497061,2347.69531404992,1995,1999,"Puget Sound Chinook Salmon ESU"
"13","Chinook Salmon (Puget Sound ESU) - Sammamish River","Puget Sound Chinook Salmon ESU",573.874278602258,151.771746259091,564.213549791827,1995,1999,"Puget Sound Chinook Salmon ESU"
"14","Chinook Salmon (Puget Sound ESU) - Skokomish River","Puget Sound Chinook Salmon ESU",1188.96891789285,461.124753855478,1232.64971757752,1995,1999,"Puget Sound Chinook Salmon ESU"
"15","Chinook Salmon (Puget Sound ESU) - Skykomish River","Puget Sound Chinook Salmon ESU",3468.56878882684,1597.63821936346,3331.24660831692,1995,1999,"Puget Sound Chinook Salmon ESU"
"16","Chinook Salmon (Puget Sound ESU) - Snoqualmie River","Puget Sound Chinook Salmon ESU",1339.64273897637,772.274021781009,1285.17015421686,1995,1999,"Puget Sound Chinook Salmon ESU"
"17","Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River","Puget Sound Chinook Salmon ESU",48.6654605612336,13.6675627835587,NA,1995,1999,"Puget Sound Chinook Salmon ESU"
"18","Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River","Puget Sound Chinook Salmon ESU",308.441277390148,177.409896832939,305.198917641813,1995,1999,"Puget Sound Chinook Salmon ESU"
"19","Chinook Salmon (Puget Sound ESU) - Suiattle River","Puget Sound Chinook Salmon ESU",388.811909580036,384.613599327592,382.144147304626,1995,1999,"Puget Sound Chinook Salmon ESU"
"20","Chinook Salmon (Puget Sound ESU) - Upper Sauk River","Puget Sound Chinook Salmon ESU",276.323858811055,274.422919075045,267.238698212523,1995,1999,"Puget Sound Chinook Salmon ESU"
"21","Chinook Salmon (Puget Sound ESU) - Upper Skagit River","Puget Sound Chinook Salmon ESU",6851.16608538994,6249.01571942248,6185.09579155318,1995,1999,"Puget Sound Chinook Salmon ESU"
"22","Chinook Salmon (Puget Sound ESU) - White River","Puget Sound Chinook Salmon ESU",650.061588176954,255.569530214764,616.273222273575,1995,1999,"Puget Sound Chinook Salmon ESU"
"23","Chinook Salmon (Puget Sound ESU) - Cascade River","Puget Sound Chinook Salmon ESU",374.436566254172,342.797252437877,371.056958801012,2000,2004,"Puget Sound Chinook Salmon ESU"
"24","Chinook Salmon (Puget Sound ESU) - Cedar River","Puget Sound Chinook Salmon ESU",771.185060165455,452.985646282792,645.565177965581,2000,2004,"Puget Sound Chinook Salmon ESU"
"25","Chinook Salmon (Puget Sound ESU) - Dungeness River","Puget Sound Chinook Salmon ESU",467.374962012805,88.9887565846197,520.290931140038,2000,2004,"Puget Sound Chinook Salmon ESU"
"26","Chinook Salmon (Puget Sound ESU) - Elwha River","Puget Sound Chinook Salmon ESU",1017.77746579867,501.894666226464,994.846966380991,2000,2004,"Puget Sound Chinook Salmon ESU"
"27","Chinook Salmon (Puget Sound ESU) - Green River","Puget Sound Chinook Salmon ESU",6777.20920279806,2900.99610264375,6541.94376878511,2000,2004,"Puget Sound Chinook Salmon ESU"
"28","Chinook Salmon (Puget Sound ESU) - Lower Sauk River","Puget Sound Chinook Salmon ESU",848.331101039572,822.071067961256,845.950513032123,2000,2004,"Puget Sound Chinook Salmon ESU"
"29","Chinook Salmon (Puget Sound ESU) - Lower Skagit River","Puget Sound Chinook Salmon ESU",2692.80660215358,2456.84271291306,2773.98248911293,2000,2004,"Puget Sound Chinook Salmon ESU"
"30","Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack","Puget Sound Chinook Salmon ESU",1951.72923072555,204.641571644246,2185.7749353273,2000,2004,"Puget Sound Chinook Salmon ESU"
"31","Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal","Puget Sound Chinook Salmon ESU",201.244579790698,157.078552219022,216.73710547478,2000,2004,"Puget Sound Chinook Salmon ESU"
"32","Chinook Salmon (Puget Sound ESU) - Nisqually River","Puget Sound Chinook Salmon ESU",1456.37506744887,774.224629306131,1296.44227148599,2000,2004,"Puget Sound Chinook Salmon ESU"
"33","Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River","Puget Sound Chinook Salmon ESU",1619.01857162464,1136.03900168046,1552.52615516602,2000,2004,"Puget Sound Chinook Salmon ESU"
"34","Chinook Salmon (Puget Sound ESU) - Puyallup River","Puget Sound Chinook Salmon ESU",2101.6944642482,1614.76569289883,1793.5215686034,2000,2004,"Puget Sound Chinook Salmon ESU"
"35","Chinook Salmon (Puget Sound ESU) - Sammamish River","Puget Sound Chinook Salmon ESU",1158.05308129409,377.891608038897,1031.03444143511,2000,2004,"Puget Sound Chinook Salmon ESU"
"36","Chinook Salmon (Puget Sound ESU) - Skokomish River","Puget Sound Chinook Salmon ESU",1703.21815392342,524.56145592611,1555.87831731512,2000,2004,"Puget Sound Chinook Salmon ESU"
"37","Chinook Salmon (Puget Sound ESU) - Skykomish River","Puget Sound Chinook Salmon ESU",5063.04070053068,2546.41923446808,NA,2000,2004,"Puget Sound Chinook Salmon ESU"
"38","Chinook Salmon (Puget Sound ESU) - Snoqualmie River","Puget Sound Chinook Salmon ESU",2438.65058781346,2149.70910743157,2476.85996358335,2000,2004,"Puget Sound Chinook Salmon ESU"
"39","Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River","Puget Sound Chinook Salmon ESU",75.713330947185,38.0702012432718,86.6811445178256,2000,2004,"Puget Sound Chinook Salmon ESU"
"40","Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River","Puget Sound Chinook Salmon ESU",290.173580451284,203.61008232236,279.602225470558,2000,2004,"Puget Sound Chinook Salmon ESU"
"41","Chinook Salmon (Puget Sound ESU) - Suiattle River","Puget Sound Chinook Salmon ESU",433.193368897836,420.001644694847,414.753728404662,2000,2004,"Puget Sound Chinook Salmon ESU"
"42","Chinook Salmon (Puget Sound ESU) - Upper Sauk River","Puget Sound Chinook Salmon ESU",444.864098948061,444.864098948061,426.839544139914,2000,2004,"Puget Sound Chinook Salmon ESU"
"43","Chinook Salmon (Puget Sound ESU) - Upper Skagit River","Puget Sound Chinook Salmon ESU",12317.6692496358,10642.4526959352,12410.3551404327,2000,2004,"Puget Sound Chinook Salmon ESU"
"44","Chinook Salmon (Puget Sound ESU) - White River","Puget Sound Chinook Salmon ESU",1532.90172215937,1215.4242770413,1461.18418634579,2000,2004,"Puget Sound Chinook Salmon ESU"
"45","Chinook Salmon (Puget Sound ESU) - Cascade River","Puget Sound Chinook Salmon ESU",339.30218507414,300.108256185454,341.551674763361,2005,2009,"Puget Sound Chinook Salmon ESU"
"46","Chinook Salmon (Puget Sound ESU) - Cedar River","Puget Sound Chinook Salmon ESU",1160.73715376185,945.837838613609,1248.63157773662,2005,2009,"Puget Sound Chinook Salmon ESU"
"47","Chinook Salmon (Puget Sound ESU) - Dungeness River","Puget Sound Chinook Salmon ESU",408.995810097839,165.434286468448,374.165299512313,2005,2009,"Puget Sound Chinook Salmon ESU"
"48","Chinook Salmon (Puget Sound ESU) - Elwha River","Puget Sound Chinook Salmon ESU",727.078501620108,168.214274703333,605.24589160661,2005,2009,"Puget Sound Chinook Salmon ESU"
