"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Chinook Salmon (Puget Sound ESU) - Cascade River","Total",1995,2020,-0.00893925857629785,0.00821374447715989,"Puget Sound Chinook Salmon ESU"
"2","Chinook Salmon (Puget Sound ESU) - Cascade River","Natural",1995,2020,-0.00680625277096909,0.00879660884638237,"Puget Sound Chinook Salmon ESU"
"3","Chinook Salmon (Puget Sound ESU) - Cedar River","Total",1995,2020,0.0430923450988879,0.00848207993274713,"Puget Sound Chinook Salmon ESU"
"4","Chinook Salmon (Puget Sound ESU) - Cedar River","Natural",1995,2020,0.0570473886009099,0.0134289596843209,"Puget Sound Chinook Salmon ESU"
"5","Chinook Salmon (Puget Sound ESU) - Dungeness River","Total",1995,2020,0.0397116932093849,0.0151000086849791,"Puget Sound Chinook Salmon ESU"
"6","Chinook Salmon (Puget Sound ESU) - Dungeness River","Natural",1995,2020,-0.0120076136379666,0.018361709589539,"Puget Sound Chinook Salmon ESU"
"7","Chinook Salmon (Puget Sound ESU) - Elwha River","Total",1995,2020,0.0628326027575041,0.0100241031412292,"Puget Sound Chinook Salmon ESU"
"8","Chinook Salmon (Puget Sound ESU) - Elwha River","Natural",1995,2020,-0.0687666354791854,0.0268521926401757,"Puget Sound Chinook Salmon ESU"
"9","Chinook Salmon (Puget Sound ESU) - Green River","Total",1995,2020,-0.0281941444169411,0.0125437354812594,"Puget Sound Chinook Salmon ESU"
"10","Chinook Salmon (Puget Sound ESU) - Green River","Natural",1995,2020,-0.0561697958557658,0.0150604647060647,"Puget Sound Chinook Salmon ESU"
"11","Chinook Salmon (Puget Sound ESU) - Lower Sauk River","Total",1995,2020,-0.00509825699633772,0.00961032292294091,"Puget Sound Chinook Salmon ESU"
"12","Chinook Salmon (Puget Sound ESU) - Lower Sauk River","Natural",1995,2020,-0.0026026321122764,0.0109451420440124,"Puget Sound Chinook Salmon ESU"
"13","Chinook Salmon (Puget Sound ESU) - Lower Skagit River","Total",1995,2020,0.0210366128188778,0.0102855085935025,"Puget Sound Chinook Salmon ESU"
