"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,24616.8064779071,24346.4701451161,19237.6325199662,31500.893817306,19961.9949940432,30212.977176209,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"2",1996,22528.5371826225,22145.5075219407,16284.0561435537,30957.1314358648,17090.8615187629,29342.1818377255,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"3",1997,23681.6973986504,23285.5330195822,17127.1863808286,32532.8863096377,18018.5195835763,30776.9561734181,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"4",1998,23128.6466792636,22950.3798226815,18643.1928744984,28639.3767631005,19248.3354068878,27609.9008221472,23128.6466792636,18643.1928744984,28639.3767631005,19248.3354068878,27609.9008221472,23152,"Puget Sound Steelhead DPS"
"5",1999,20995.6590531986,20841.0826576586,17056.9494333031,25804.7273716902,17618.9752018243,24887.5217459476,20995.6590531986,17056.9494333031,25804.7273716902,17618.9752018243,24887.5217459476,22235,"Puget Sound Steelhead DPS"
"6",2000,14617.7311449556,14507.0783156377,11903.8091517642,17996.5697582076,12273.1534789026,17344.1820789625,14617.7311449556,11903.8091517642,17996.5697582076,12273.1534789026,17344.1820789625,12768,"Puget Sound Steelhead DPS"
"7",2001,13746.3589665659,13640.7686911589,11144.3815022387,16956.1048846287,11497.0900017693,16332.0634264409,13746.3589665659,11144.3815022387,16956.1048846287,11497.0900017693,16332.0634264409,13288,"Puget Sound Steelhead DPS"
"8",2002,13125.1548019962,13015.539023302,10555.3482149394,16320.0147224245,10908.072808772,15714.5387028287,13125.1548019962,10555.3482149394,16320.0147224245,10908.072808772,15714.5387028287,12419,"Puget Sound Steelhead DPS"
"9",2003,14359.0203437397,14235.6573484327,11498.6253440646,17891.4305118922,11886.430152969,17244.9242549237,14359.0203437397,11498.6253440646,17891.4305118922,11886.430152969,17244.9242549237,15396,"Puget Sound Steelhead DPS"
"10",2004,18973.2552597507,18817.4911884619,15084.829657425,23715.7372853416,15647.0947730677,22844.1200278012,18973.2552597507,15084.829657425,23715.7372853416,15647.0947730677,22844.1200278012,20477,"Puget Sound Steelhead DPS"
"11",2005,13364.4873320372,13245.7841491476,10594.2498543756,16769.0596820149,10974.628657374,16126.0124489221,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"12",2006,18152.7283314003,17994.4021640244,14509.9740704576,22589.2028212984,15012.288649583,21764.0027987391,18152.7283314003,14509.9740704576,22589.2028212984,15012.288649583,21764.0027987391,18428,"Puget Sound Steelhead DPS"
"13",2007,13716.1205975366,13584.5224510803,10846.4168665874,17309.881493867,11246.0606079633,16611.9964182845,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"14",2008,10997.6207227153,10893.6470874474,8639.51876128229,13974.4133796133,8965.15349101209,13410.8529958786,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"15",2009,7415.41345834429,7342.37048551519,5786.01560687673,9457.09043985096,6010.46603039123,9067.74003939358,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"16",2010,9793.38214663885,9704.45135671544,7850.09671299885,12221.9191866544,8116.02113297056,11758.8220339523,9793.38214663885,7850.09671299885,12221.9191866544,8116.02113297056,11758.8220339523,9760,"Puget Sound Steelhead DPS"
"17",2011,11742.02711743,11626.2972172715,9347.24053535992,14794.104749814,9655.5295130901,14186.2047406399,11742.02711743,9347.24053535992,14794.104749814,9655.5295130901,14186.2047406399,12234,"Puget Sound Steelhead DPS"
"18",2012,12403.1957903437,12279.6230712687,9756.72144415606,15786.4971342611,10119.1365272588,15119.5600329045,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"19",2013,16891.7562990906,16700.5563811381,13248.5790878243,21581.9895868848,13746.1044639644,20668.6501173733,16891.7562990906,13248.5790878243,21581.9895868848,13746.1044639644,20668.6501173733,17009,"Puget Sound Steelhead DPS"
"20",2014,15573.2120383792,15390.6405733012,12226.8359265781,19967.5049462399,12653.8277644164,19107.558828287,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"21",2015,20697.4952794284,20496.6962153448,16460.4939015236,26099.8114374019,17020.2992359602,25037.1399429077,20697.4952794284,16460.4939015236,26099.8114374019,17020.2992359602,25037.1399429077,20123.12,"Puget Sound Steelhead DPS"
"22",2016,20119.9941798932,19930.1176539938,16057.5500052963,25210.3266454501,16619.9410488062,24243.0441378426,20119.9941798932,16057.5500052963,25210.3266454501,16619.9410488062,24243.0441378426,21087.44,"Puget Sound Steelhead DPS"
"23",2017,13201.1532879674,13057.8594000651,10405.2652952586,16795.0509975961,10780.4218549394,16069.9178621796,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
"24",2018,15651.2466540328,15443.5299594992,12188.7002780798,20286.0731742745,12649.0466074543,19348.9037999077,15651.2466540328,12188.7002780798,20286.0731742745,12649.0466074543,19348.9037999077,14839,"Puget Sound Steelhead DPS"
"25",2019,15124.5386512294,14659.4050890661,10484.084832903,22448.9254017231,11031.2877954227,20765.1529643159,NA,NA,NA,NA,NA,NA,"Puget Sound Steelhead DPS"
