"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Blackjack Creek Summer Chum-","Puget Sound-Strait of Georgia Chum",2246.02346133284,934.675388248439,2071.74266052004,941.717756896966,4558.50525375475,1072.87181878756,3995.97281911787,1,2179,2246.02346133284,941.717756896966,4558.50525375475,1072.87181878756,3995.97281911787,"Puget Sound-Strait of Georgia Chum"
"2",1995,"Carr Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",15700.7451399597,6571.36762141304,14475.2832895806,6554.37667429992,31808.2787972081,7441.90716691706,27930.154279759,NA,17259,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"3",1995,"Case Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",5138.15154177415,2165.20656585852,4734.3527153781,2174.66596236657,10487.0638143576,2451.28529940648,9178.27331675308,1,5100,5138.15154177415,2174.66596236657,10487.0638143576,2451.28529940648,9178.27331675308,"Puget Sound-Strait of Georgia Chum"
"4",1995,"Case Inlet Summer Chum-","Puget Sound-Strait of Georgia Chum",21197.2638014638,8861.407638543,19543.9256364779,8868.16748992122,42934.8734762224,10064.288407142,37776.2966469308,1,19704,21197.2638014638,8868.16748992122,42934.8734762224,10064.288407142,37776.2966469308,"Puget Sound-Strait of Georgia Chum"
"5",1995,"Chambers Creek Winter Chum-","Puget Sound-Strait of Georgia Chum",5119.43423681132,2137.69630613605,4728.58933662341,2136.20170733191,10383.5697557798,2435.39268351745,9177.74588528781,1,7679,5119.43423681132,2136.20170733191,10383.5697557798,2435.39268351745,9177.74588528781,"Puget Sound-Strait of Georgia Chum"
"6",1995,"Dewatto Fall Chum-","Puget Sound-Strait of Georgia Chum",8220.89052658502,3434.55238338023,7593.29804249107,3428.10165329117,16590.2624672995,3907.87624714852,14657.1322351246,1,7955,8220.89052658502,3428.10165329117,16590.2624672995,3907.87624714852,14657.1322351246,"Puget Sound-Strait of Georgia Chum"
"7",1995,"Dosewallips Late Fall Chum-","Puget Sound-Strait of Georgia Chum",2012.3785061666,839.690898199605,1855.65482675708,843.780422973204,4063.01735929603,963.953042011315,3592.39905127442,1,1556,2012.3785061666,843.780422973204,4063.01735929603,963.953042011315,3592.39905127442,"Puget Sound-Strait of Georgia Chum"
"8",1995,"Duckabush Late Fall Chum-","Puget Sound-Strait of Georgia Chum",11341.3170891003,4740.42108652519,10473.7616376252,4752.2019573145,22990.3537966948,5394.30742553033,20223.1587571554,1,9395,11341.3170891003,4752.2019573145,22990.3537966948,5394.30742553033,20223.1587571554,"Puget Sound-Strait of Georgia Chum"
"9",1995,"Dungeness/East Strait Tribs Fall Chum-","Puget Sound-Strait of Georgia Chum",1301.7845602258,1301.67863456106,922.631563405935,182.276104737513,4667.62562696694,238.449083229797,3626.08551463027,NA,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"10",1995,"Dyes Inlet/Liberty Bay Fall Chum-","Puget Sound-Strait of Georgia Chum",39584.4456368389,16543.182003605,36405.8983556651,16559.4969317652,80332.1515448326,18937.3968025035,70673.4847040248,NA,36790,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"11",1995,"Eld Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",56269.3437590222,23347.3974410125,52028.2788233677,23745.129270667,113144.32308447,27031.4515498795,99878.7120630093,1,47340,56269.3437590222,23745.129270667,113144.32308447,27031.4515498795,99878.7120630093,"Puget Sound-Strait of Georgia Chum"
"12",1995,"Fennel Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",1435.25681241614,603.414009296675,1323.03125239668,597.640736836197,2917.66263012229,679.322968840554,2559.98728225965,1,1668,1435.25681241614,597.640736836197,2917.66263012229,679.322968840554,2559.98728225965,"Puget Sound-Strait of Georgia Chum"
"13",1995,"Gig Harbor/Ollala Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",8976.78513327213,3745.52725162792,8307.07775613855,3782.21974927027,18086.7520898946,4302.28248124473,16005.0167897219,NA,11638,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"14",1995,"Goldsborough/Shelton Creeks Fall Chum-","Puget Sound-Strait of Georgia Chum",1351.53035187036,563.706605569728,1246.80622985746,570.157182722305,2739.3219307632,647.990400234653,2403.07466955447,1,1542,1351.53035187036,570.157182722305,2739.3219307632,647.990400234653,2403.07466955447,"Puget Sound-Strait of Georgia Chum"
"15",1995,"Hamma Hamma Late Fall Chum-","Puget Sound-Strait of Georgia Chum",41116.4617513111,17302.5280586907,37910.223934302,17239.2731003619,83958.4086072484,19617.5270118902,73587.5902074337,1,27820,41116.4617513111,17239.2731003619,83958.4086072484,19617.5270118902,73587.5902074337,"Puget Sound-Strait of Georgia Chum"
"16",1995,"Hammersley Inlet Summer Chum-","Puget Sound-Strait of Georgia Chum",41769.0864996834,17548.0569607361,38521.7930234833,17432.8899925518,85169.0278461876,19847.8216389253,74946.5387300037,1,34218,41769.0864996834,17432.8899925518,85169.0278461876,19847.8216389253,74946.5387300037,"Puget Sound-Strait of Georgia Chum"
"17",1995,"Henderson Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",290.601620927475,1472.04176723856,69.738886916884,2.49372802481852,1916.89291401708,4.29824893658762,1121.62795558266,NA,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"18",1995,"Johns/Mill Creeks Fall Chum-","Puget Sound-Strait of Georgia Chum",34631.515120116,14491.6164643298,31934.9496125121,14622.4004138733,70084.4949365515,16586.1459880266,61902.414108951,1,28252,34631.515120116,14622.4004138733,70084.4949365515,16586.1459880266,61902.414108951,"Puget Sound-Strait of Georgia Chum"
"19",1995,"Mainstem Skagit Fall Chum-","Puget Sound-Strait of Georgia Chum",49270.9907474715,20393.1703138668,45480.4664903526,20796.6961976059,99062.9347429733,23582.0667457071,87802.6446227856,1,38666,49270.9907474715,20796.6961976059,99062.9347429733,23582.0667457071,87802.6446227856,"Puget Sound-Strait of Georgia Chum"
"20",1995,"Nisqually Winter Chum-","Puget Sound-Strait of Georgia Chum",17246.8734053587,7196.70648129853,15887.6229723104,7255.10318334121,34845.5733155335,8237.90778294571,30913.282900475,1,15690,17246.8734053587,7255.10318334121,34845.5733155335,8237.90778294571,30913.282900475,"Puget Sound-Strait of Georgia Chum"
"21",1995,"Nooksack Fall Chum-","Puget Sound-Strait of Georgia Chum",31606.6093026909,13407.3541524554,29138.2198606596,13270.3505350345,64498.1027815975,15095.0812716006,56716.8875755872,1,30621,31606.6093026909,13270.3505350345,64498.1027815975,15095.0812716006,56716.8875755872,"Puget Sound-Strait of Georgia Chum"
"22",1995,"Northeast Hood Canal Fall Chum-","Puget Sound-Strait of Georgia Chum",10337.6487864554,4321.64170269213,9542.09970948727,4322.57281766381,20949.6935821218,4944.60328473385,18464.8955352466,1,8786,10337.6487864554,4322.57281766381,20949.6935821218,4944.60328473385,18464.8955352466,"Puget Sound-Strait of Georgia Chum"
"23",1995,"Puyallup/Carbon Fall Chum-","Puget Sound-Strait of Georgia Chum",1582.67918898236,667.730953064783,1459.04658123183,659.080242915993,3204.54951860048,749.789911272778,2840.12022055831,1,2007,1582.67918898236,659.080242915993,3204.54951860048,749.789911272778,2840.12022055831,"Puget Sound-Strait of Georgia Chum"
"24",1995,"Quilcene Late Fall Chum-","Puget Sound-Strait of Georgia Chum",14155.7076382385,5945.0021232673,13047.0304391828,5901.53687823961,28585.8774008147,6690.89789828283,25188.2858154997,NA,15768,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"25",1995,"Samish/Independents Fall Chum-","Puget Sound-Strait of Georgia Chum",5500.71838851781,2332.42499283562,5070.28602982625,2278.62961769577,11189.3341771386,2587.60282078887,9863.95809640187,NA,5185,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"26",1995,"Sinclair Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",1361.57355528262,574.790176742333,1253.31338817175,570.1609522823,2780.8228610206,646.535105984362,2435.77760194386,1,1048,1361.57355528262,570.1609522823,2780.8228610206,646.535105984362,2435.77760194386,"Puget Sound-Strait of Georgia Chum"
"27",1995,"Skookum Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",8402.99342049467,3516.07441744637,7767.6337505884,3511.14139356123,16927.9003688483,3988.20592432959,14933.925944042,1,13334,8402.99342049467,3511.14139356123,16927.9003688483,3988.20592432959,14933.925944042,"Puget Sound-Strait of Georgia Chum"
"28",1995,"Skykomish Fall Chum-","Puget Sound-Strait of Georgia Chum",32265.7614378037,13532.0114694357,29788.6551182119,13481.3586473484,65839.6645691871,15390.409693331,57699.688139891,1,27600,32265.7614378037,13481.3586473484,65839.6645691871,15390.409693331,57699.688139891,"Puget Sound-Strait of Georgia Chum"
"29",1995,"Southeast Hood Canal Fall Chum-","Puget Sound-Strait of Georgia Chum",37259.6981635188,15577.3507032226,34380.9799760973,15666.9344469065,75764.9484928548,17782.8369530073,66434.4912994337,1,31741,37259.6981635188,15666.9344469065,75764.9484928548,17782.8369530073,66434.4912994337,"Puget Sound-Strait of Georgia Chum"
"30",1995,"Totten Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",65319.1131492824,27499.3955425604,60231.3310122311,27078.6351426866,133239.698285468,30904.1732759361,117171.046827785,0.765362145421271,56828,49992.7765769495,20724.9622878865,101976.621335048,23652.8843609411,89678.2837813699,"Puget Sound-Strait of Georgia Chum"
"31",1995,"Upper Skokomish Late Fall Chum-","Puget Sound-Strait of Georgia Chum",5823.54719040311,2447.6278049907,5369.57210673878,2433.26266474692,11857.0211964119,2750.37786101658,10448.8805451959,1,3624,5823.54719040311,2433.26266474692,11857.0211964119,2750.37786101658,10448.8805451959,"Puget Sound-Strait of Georgia Chum"
"32",1995,"Upper Skookum Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",16728.9080903391,6995.09264395313,15422.4283880974,6969.61658427682,33977.1242126164,7917.44995824211,29961.6485998216,1,15567,16728.9080903391,6969.61658427682,33977.1242126164,7917.44995824211,29961.6485998216,"Puget Sound-Strait of Georgia Chum"
"33",1995,"Wallace Fall Chum-","Puget Sound-Strait of Georgia Chum",3654.09005067145,1542.16863903204,3361.70583741634,1536.22694274955,7445.97091645916,1735.27771055468,6555.54865109647,1,2364,3654.09005067145,1536.22694274955,7445.97091645916,1735.27771055468,6555.54865109647,"Puget Sound-Strait of Georgia Chum"
"34",1995,"West Hood Canal Fall Chum-","Puget Sound-Strait of Georgia Chum",14311.3560277642,5997.4849458641,13219.7729168823,5989.57904564751,29096.9601274172,6800.66250021616,25525.9242783852,NA,11887,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"35",1996,"Blackjack Creek Summer Chum-","Puget Sound-Strait of Georgia Chum",2714.44361170644,980.322280582744,2556.02913303013,1281.58330962026,5071.15070754446,1438.16115393536,4533.17792755717,1,3058,2714.44361170644,1281.58330962026,5071.15070754446,1438.16115393536,4533.17792755717,"Puget Sound-Strait of Georgia Chum"
"36",1996,"Carr Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",17378.9645678752,6258.65180934294,16361.8132927861,8287.13204758343,32340.014363766,9211.23473575452,28999.8018849153,NA,12293,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"37",1996,"Case Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",6196.07480862995,2219.67007284772,5837.4910266329,2929.18122950137,11538.165739512,3277.37518906491,10355.1713331726,1,9184,6196.07480862995,2929.18122950137,11538.165739512,3277.37518906491,10355.1713331726,"Puget Sound-Strait of Georgia Chum"
"38",1996,"Case Inlet Summer Chum-","Puget Sound-Strait of Georgia Chum",26507.9792485661,9617.50976919924,24914.9041805227,12482.9681444481,49670.7230007018,13961.4421960871,44532.975511976,1,43389,26507.9792485661,12482.9681444481,49670.7230007018,13961.4421960871,44532.975511976,"Puget Sound-Strait of Georgia Chum"
"39",1996,"Chambers Creek Winter Chum-","Puget Sound-Strait of Georgia Chum",3467.47425013574,1251.10611925321,3261.64600616918,1638.76682831007,6461.42267996333,1830.09998076414,5791.09891281407,1,2122,3467.47425013574,1638.76682831007,6461.42267996333,1830.09998076414,5791.09891281407,"Puget Sound-Strait of Georgia Chum"
"40",1996,"Dewatto Fall Chum-","Puget Sound-Strait of Georgia Chum",9741.94129094151,3524.34548964783,9165.25079490224,4587.97639640622,18225.2004714592,5136.56211548685,16333.0741831417,1,14233,9741.94129094151,4587.97639640622,18225.2004714592,5136.56211548685,16333.0741831417,"Puget Sound-Strait of Georgia Chum"
"41",1996,"Dosewallips Late Fall Chum-","Puget Sound-Strait of Georgia Chum",2920.30492476134,1049.86425407119,2749.31115319607,1374.13524042629,5406.59989354261,1538.9099640019,4862.39101146981,1,3028,2920.30492476134,1374.13524042629,5406.59989354261,1538.9099640019,4862.39101146981,"Puget Sound-Strait of Georgia Chum"
"42",1996,"Duckabush Late Fall Chum-","Puget Sound-Strait of Georgia Chum",14903.2832396799,5325.62546309441,14028.1856885391,7095.59376895163,27641.7877994846,7928.49894359974,24807.7529357814,1,14016,14903.2832396799,7095.59376895163,27641.7877994846,7928.49894359974,24807.7529357814,"Puget Sound-Strait of Georgia Chum"
"43",1996,"Dungeness/East Strait Tribs Fall Chum-","Puget Sound-Strait of Georgia Chum",1488.5777208866,1060.85309962955,1208.36083325974,344.997751147304,4290.52697932278,419.624084533737,3500.58196152201,NA,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"44",1996,"Dyes Inlet/Liberty Bay Fall Chum-","Puget Sound-Strait of Georgia Chum",51231.538726902,18577.5573724272,48165.7858610465,24176.0650428965,95378.1586141759,27016.6717407871,85500.084720051,NA,54797,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"45",1996,"Eld Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",82202.1036284335,29494.1455073617,77294.7383278953,39040.4833775201,152762.588740786,43663.5227093262,136704.337469608,1,75608,82202.1036284335,39040.4833775201,152762.588740786,43663.5227093262,136704.337469608,"Puget Sound-Strait of Georgia Chum"
"46",1996,"Fennel Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",1486.67901231767,534.381621050365,1399.65153236191,702.217809915702,2770.39253459831,785.333033813734,2484.05471189587,1,1302,1486.67901231767,702.217809915702,2770.39253459831,785.333033813734,2484.05471189587,"Puget Sound-Strait of Georgia Chum"
"47",1996,"Gig Harbor/Ollala Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",8957.26415549642,3221.64935706178,8420.4576858264,4257.30653051753,16749.6455475958,4746.80336564862,14967.9452681265,NA,5218,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Chum"
"48",1996,"Goldsborough/Shelton Creeks Fall Chum-","Puget Sound-Strait of Georgia Chum",1486.37466220421,540.053161037328,1395.6356350667,708.570258319677,2783.56433732935,788.377958626134,2497.37609426829,1,992,1486.37466220421,708.570258319677,2783.56433732935,788.377958626134,2497.37609426829,"Puget Sound-Strait of Georgia Chum"
"49",1996,"Hamma Hamma Late Fall Chum-","Puget Sound-Strait of Georgia Chum",62186.6899785157,22570.2200468748,58494.6718738318,29278.2742235594,116565.167173388,32833.2897774172,103861.164958156,1,82297,62186.6899785157,29278.2742235594,116565.167173388,32833.2897774172,103861.164958156,"Puget Sound-Strait of Georgia Chum"
"50",1996,"Hammersley Inlet Summer Chum-","Puget Sound-Strait of Georgia Chum",60537.8667358066,21963.2494054915,56926.7116261175,28577.003919808,113778.508498521,31910.7461433225,101780.928347324,1,67869,60537.8667358066,28577.003919808,113778.508498521,31910.7461433225,101780.928347324,"Puget Sound-Strait of Georgia Chum"
