"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Blackjack Creek Summer Chum-","Puget Sound-Strait of Georgia Chum",1616.22193420444,1616.22193420444,1552.79426473621,1995,1999,"Puget Sound-Strait of Georgia Chum"
"2","Carr Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",12645.3645974804,NA,11313.4733358923,1995,1999,"Puget Sound-Strait of Georgia Chum"
"3","Case Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",3116.62401019555,3116.62401019555,2829.67218693564,1995,1999,"Puget Sound-Strait of Georgia Chum"
"4","Case Inlet Summer Chum-","Puget Sound-Strait of Georgia Chum",13096.7082080917,13096.7082080917,11831.3026886052,1995,1999,"Puget Sound-Strait of Georgia Chum"
"5","Chambers Creek Winter Chum-","Puget Sound-Strait of Georgia Chum",1522.5933392319,1522.5933392319,1265.13858538834,1995,1999,"Puget Sound-Strait of Georgia Chum"
"6","Dewatto Fall Chum-","Puget Sound-Strait of Georgia Chum",4186.29504986444,4186.29504986444,3787.53433960305,1995,1999,"Puget Sound-Strait of Georgia Chum"
"7","Dosewallips Late Fall Chum-","Puget Sound-Strait of Georgia Chum",1475.32483690789,1475.32483690789,1521.99474096681,1995,1999,"Puget Sound-Strait of Georgia Chum"
"8","Duckabush Late Fall Chum-","Puget Sound-Strait of Georgia Chum",6877.2803917943,6877.2803917943,6150.68680335702,1995,1999,"Puget Sound-Strait of Georgia Chum"
"9","Dungeness/East Strait Tribs Fall Chum-","Puget Sound-Strait of Georgia Chum",838.66614392027,598.243940714453,NA,1995,1999,"Puget Sound-Strait of Georgia Chum"
"10","Dyes Inlet/Liberty Bay Fall Chum-","Puget Sound-Strait of Georgia Chum",35044.4042799399,NA,36444.7760465912,1995,1999,"Puget Sound-Strait of Georgia Chum"
"11","Eld Inlet Fall Chum-","Puget Sound-Strait of Georgia Chum",51267.049102121,51267.049102121,48367.4162208976,1995,1999,"Puget Sound-Strait of Georgia Chum"
"12","Fennel Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",927.201339696243,927.201339696243,780.657562830502,1995,1999,"Puget Sound-Strait of Georgia Chum"
"13","Gig Harbor/Ollala Creek Fall Chum-","Puget Sound-Strait of Georgia Chum",6315.35006809398,NA,5820.03741942016,1995,1999,"Puget Sound-Strait of Georgia Chum"
"14","Goldsborough/Shelton Creeks Fall Chum-","Puget Sound-Strait of Georgia Chum",908.59835568779,908.59835568779,974.424379211147,1995,1999,"Puget Sound-Strait of Georgia Chum"
"15","Hamma Hamma Late Fall Chum-","Puget Sound-Strait of Georgia Chum",25922.1709269883,25922.1709269883,22488.853167188,1995,1999,"Puget Sound-Strait of Georgia Chum"
"16","Hammersley Inlet Summer Chum-","Puget Sound-Strait of Georgia Chum",32457.6444622027,32457.6444622027,30091.6895563817,1995,1999,"Puget Sound-Strait of Georgia Chum"
