"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Blackjack Creek Summer Chum-","Total",1995,2020,-0.0305252803586829,0.0177862199965988,"Puget Sound-Strait of Georgia Chum"
"2","Blackjack Creek Summer Chum-","Natural",1995,2020,-0.0114057154283707,0.018324523354029,"Puget Sound-Strait of Georgia Chum"
"3","Carr Inlet Fall Chum-","Total",1995,2020,-0.0342124482628485,0.0125038746019766,"Puget Sound-Strait of Georgia Chum"
"4","Case Inlet Fall Chum-","Total",1995,2020,-0.0398109860924213,0.015590953793692,"Puget Sound-Strait of Georgia Chum"
"5","Case Inlet Fall Chum-","Natural",1995,2020,-0.0405588255788929,0.0177202415597509,"Puget Sound-Strait of Georgia Chum"
"6","Case Inlet Summer Chum-","Total",1995,2020,-0.0662542953948009,0.0128529012237225,"Puget Sound-Strait of Georgia Chum"
"7","Case Inlet Summer Chum-","Natural",1995,2020,-0.0636430598132041,0.0142955157321156,"Puget Sound-Strait of Georgia Chum"
"8","Chambers Creek Winter Chum-","Total",1995,2020,-0.322599823766825,0.040825052207871,"Puget Sound-Strait of Georgia Chum"
"9","Chambers Creek Winter Chum-","Natural",1995,2020,-0.343879052874414,0.0488891771402675,"Puget Sound-Strait of Georgia Chum"
"10","Dewatto Fall Chum-","Total",1995,2020,-0.0538228434098182,0.0176865569526287,"Puget Sound-Strait of Georgia Chum"
"11","Dewatto Fall Chum-","Natural",1995,2020,-0.0538228434098182,0.0176865569526287,"Puget Sound-Strait of Georgia Chum"
"12","Dosewallips Late Fall Chum-","Total",1995,2020,-0.00403250977662726,0.0264287277864872,"Puget Sound-Strait of Georgia Chum"
"13","Dosewallips Late Fall Chum-","Natural",1995,2020,-0.00403250977662726,0.0264287277864872,"Puget Sound-Strait of Georgia Chum"
"14","Duckabush Late Fall Chum-","Total",1995,2020,-0.090224762611767,0.0203433022950596,"Puget Sound-Strait of Georgia Chum"
"15","Duckabush Late Fall Chum-","Natural",1995,2020,-0.090224762611767,0.0203433022950596,"Puget Sound-Strait of Georgia Chum"
"16","Dungeness/East Strait Tribs Fall Chum-","Total",1995,2020,-0.0350852326127737,0.0133782903667422,"Puget Sound-Strait of Georgia Chum"
"17","Dungeness/East Strait Tribs Fall Chum-","Natural",1995,2020,-0.0230814194512291,0.0145853282888338,"Puget Sound-Strait of Georgia Chum"
"18","Dyes Inlet/Liberty Bay Fall Chum-","Total",1995,2020,-0.0385961849998894,0.0145822689364281,"Puget Sound-Strait of Georgia Chum"
"19","Eld Inlet Fall Chum-","Total",1995,2020,-0.00909681112937377,0.0112602311559335,"Puget Sound-Strait of Georgia Chum"
"20","Eld Inlet Fall Chum-","Natural",1995,2020,-0.00656726976385703,0.012282081566882,"Puget Sound-Strait of Georgia Chum"
"21","Fennel Creek Fall Chum-","Total",1995,2020,-0.0538667553017748,0.0241299237221854,"Puget Sound-Strait of Georgia Chum"
"22","Fennel Creek Fall Chum-","Natural",1995,2020,-0.0419032767298951,0.0274208538548082,"Puget Sound-Strait of Georgia Chum"
"23","Gig Harbor/Ollala Creek Fall Chum-","Total",1995,2020,0.0114663973235893,0.0121840949373344,"Puget Sound-Strait of Georgia Chum"
"24","Goldsborough/Shelton Creeks Fall Chum-","Total",1995,2020,0.0176553026981064,0.0141811614123868,"Puget Sound-Strait of Georgia Chum"
"25","Goldsborough/Shelton Creeks Fall Chum-","Natural",1995,2020,0.00874272297008962,0.0166564042183947,"Puget Sound-Strait of Georgia Chum"
"26","Hamma Hamma Late Fall Chum-","Total",1995,2020,-0.126612805165229,0.01996076403656,"Puget Sound-Strait of Georgia Chum"
"27","Hamma Hamma Late Fall Chum-","Natural",1995,2020,-0.126612805165229,0.01996076403656,"Puget Sound-Strait of Georgia Chum"
"28","Hammersley Inlet Summer Chum-","Total",1995,2020,-0.0271863913782154,0.0124249542525005,"Puget Sound-Strait of Georgia Chum"
"29","Hammersley Inlet Summer Chum-","Natural",1995,2020,-0.0220452383868386,0.0135978771057662,"Puget Sound-Strait of Georgia Chum"
"30","Henderson Inlet Fall Chum-","Total",1995,2020,0.0405549514791841,0.0140824558179277,"Puget Sound-Strait of Georgia Chum"
"31","Henderson Inlet Fall Chum-","Natural",1995,2020,0.0409671571511247,0.0211179526569577,"Puget Sound-Strait of Georgia Chum"
"32","Johns/Mill Creeks Fall Chum-","Total",1995,2020,-0.0365950833235008,0.0155525922476645,"Puget Sound-Strait of Georgia Chum"
"33","Johns/Mill Creeks Fall Chum-","Natural",1995,2020,-0.0541311570412247,0.018058302102206,"Puget Sound-Strait of Georgia Chum"
"34","Mainstem Skagit Fall Chum-","Total",1995,2020,-0.0731321726688474,0.0145718946580809,"Puget Sound-Strait of Georgia Chum"
"35","Mainstem Skagit Fall Chum-","Natural",1995,2020,-0.0731321726688474,0.0145718946580809,"Puget Sound-Strait of Georgia Chum"
"36","Nisqually Winter Chum-","Total",1995,2020,0.00470256402012974,0.0172968247303981,"Puget Sound-Strait of Georgia Chum"
"37","Nisqually Winter Chum-","Natural",1995,2020,0.0109294131648541,0.0195400190030357,"Puget Sound-Strait of Georgia Chum"
"38","Nooksack Fall Chum-","Total",1995,2020,0.00231440472830497,0.0146995954987056,"Puget Sound-Strait of Georgia Chum"
