"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.00777243111960425,0.00344569524863009,0.151012165607034,-0.306812955147742,-0.109145412213834,-0.00686609216352797,0.0930956546344339,0.28434757014835,1920.74691028365,1.00149017454344
"mu[2]",-0.00443736628291713,0.0033931791785971,0.151234303079633,-0.306225136290509,-0.105210389233264,-0.00360441404865302,0.0971258495918452,0.289691081545802,1986.492967358,1.0018202033527
"mu[3]",-0.000659978644560788,0.00345102543740759,0.1505102715516,-0.300805770197217,-0.101659943835642,0.000286951498784111,0.100350391295191,0.290465999939942,1902.11144032572,1.00156036970115
"mu[4]",-0.0312168035535579,0.00337572988304053,0.150309379465192,-0.328615146977149,-0.131300555182052,-0.0307681649203339,0.0705189910857809,0.261387231648423,1982.60769403151,1.00168260964767
"mu[5]",-0.225608514204573,0.00344623462117863,0.151746463144973,-0.526013876168827,-0.326948045325,-0.225152177248763,-0.124289704743411,0.0723407653045961,1938.86456194865,1.00138833011325
"mu[6]",-0.037970632042022,0.00341703283422641,0.148026682763285,-0.33169432102653,-0.137257908438882,-0.0371910472293297,0.0612189430902229,0.251305066910604,1876.643201181,1.00147268849795
"mu[7]",-0.0147012203510658,0.00349771789433045,0.147393085765634,-0.308252378474175,-0.112870076779252,-0.0133269762307847,0.0842599199219509,0.270861017764557,1775.76161738134,1.00181285424144
"mu[8]",-0.0726995789789752,0.00342373972459022,0.147932624621627,-0.366326895977972,-0.170307678433473,-0.0723204332363279,0.0275224861671541,0.213312140378821,1866.92315183554,1.00185063131749
"mu[9]",0.0213261785953589,0.0034401541879669,0.150302310268312,-0.275724983821739,-0.0795247567537075,0.0224686752936938,0.122878277747833,0.313765618565268,1908.86623479654,1.00186148586496
"mu[10]",0.00277314060143798,0.00343414984988583,0.150995505515491,-0.293703049723187,-0.0989619527660122,0.00380434387852995,0.104270341420254,0.295808246310568,1933.2568482854,1.00169129357913
"mu[11]",0.0354847642555978,0.00345374559964855,0.151735337605238,-0.264579506232013,-0.0651238234664666,0.0364210858694632,0.136558137671416,0.333022395177531,1930.1576453845,1.00165885604278
"mu[12]",-0.00519072448958276,0.00347252902412003,0.150115124373578,-0.302191392612376,-0.105335741869065,-0.00369461316251543,0.0950858313416049,0.28817928761276,1868.77550146153,1.00190917121189
"mu[13]",0.0356267991152256,0.00341014278765079,0.150578290640149,-0.262501556305444,-0.0648034068573095,0.0370887184189536,0.136410870163689,0.328372264644426,1949.75300177319,1.00167922282939
"mu[14]",0.0388752402239978,0.00346039040027646,0.153144354555332,-0.260925123560812,-0.063149562226108,0.0392396744790669,0.142379711539462,0.336902930790726,1958.62722320101,1.00211176587663
"mu[15]",-0.113553011952839,0.00346861929433561,0.14809621840786,-0.406628418241019,-0.212314517834041,-0.112338223777551,-0.0143089753141955,0.175051892425615,1822.94962272003,1.00176810843468
