"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,223638.247779091,215239.841964626,134572.524272752,362477.202735964,144675.525498034,330604.369375459,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"2",1996,142027.867389462,137674.935979952,88703.5977803751,220872.650732372,95199.6983875997,204078.556289557,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"3",1997,194546.746688255,188992.633384173,123818.170874389,296564.596650453,132474.941342198,275653.076655316,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"4",1998,221898.012013183,216012.399756981,142745.427732924,333745.573559512,152603.958856354,310145.37293756,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"5",1999,126215.124540108,123121.155181735,81484.3084168881,189366.971299342,87173.7861967563,176139.785583284,NA,NA,NA,NA,NA,122502,"Puget Sound-Strait of Georgia Coho"
"6",2000,304803.719402222,297329.438105903,199618.955104613,453174.439331473,212883.834384562,422017.088492575,NA,NA,NA,NA,NA,268768,"Puget Sound-Strait of Georgia Coho"
"7",2001,381097.514492847,371230.176400802,249683.943144074,570728.419317822,265345.816106471,530440.163577184,NA,NA,NA,NA,NA,532613,"Puget Sound-Strait of Georgia Coho"
"8",2002,311932.70438903,304012.232290933,204282.07212355,465012.958506732,218112.319407553,433252.400991796,NA,NA,NA,NA,NA,320750,"Puget Sound-Strait of Georgia Coho"
"9",2003,474547.799539706,462688.032578097,311129.635912701,707409.888739235,331079.802521215,658769.097683275,NA,NA,NA,NA,NA,404756,"Puget Sound-Strait of Georgia Coho"
"10",2004,512300.711182648,499541.142258353,335698.200045833,762740.164345649,357567.220934338,711673.016950915,NA,NA,NA,NA,NA,556638,"Puget Sound-Strait of Georgia Coho"
"11",2005,245926.297246626,239465.481123983,160696.482835797,366776.261581643,170896.888275896,342101.753040155,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"12",2006,130502.98291535,127196.069024655,84551.9374642512,194726.612251788,90217.0668196517,181411.250211621,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"13",2007,238398.675079134,232896.707230953,155606.073367937,353069.56696713,165936.659844598,329678.732427687,NA,NA,NA,NA,NA,276971,"Puget Sound-Strait of Georgia Coho"
"14",2008,110496.813538318,107775.748069423,72684.7445239537,163921.613069484,77356.8641601494,152435.618142898,NA,NA,NA,NA,NA,97877,"Puget Sound-Strait of Georgia Coho"
"15",2009,195063.144446461,190445.349096525,129171.532393835,287493.621588129,137272.136197089,269127.888618587,NA,NA,NA,NA,NA,246653,"Puget Sound-Strait of Georgia Coho"
"16",2010,169214.422648262,165241.459286591,111882.726609864,249497.454560175,119100.958887225,232405.144818197,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"17",2011,233182.872785088,227568.263909472,153650.808704106,343559.211631892,163690.230633012,320318.257239486,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"18",2012,339660.793835308,331245.026127659,224149.842534871,501373.673010754,239089.602142156,468924.778239323,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"19",2013,208935.955365212,203865.994952995,137938.610474969,308345.636041016,146305.922838646,287950.671665044,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"20",2014,130167.980549128,127288.245170857,85977.5139356092,191245.638971978,91498.876331827,178570.499407192,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"21",2015,62267.1054343128,60891.0105169554,40680.2670448788,91746.3245316564,43532.1347887338,85758.0542381565,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"22",2016,160369.597198021,156627.789600954,104262.95857282,238734.663686641,111024.509572195,222144.560764559,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"23",2017,82003.6135355803,80105.2463405088,52927.611526666,122305.557547248,56672.3895113527,113976.800552743,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"24",2018,114790.511178312,111699.628472415,72872.6840410943,173946.709100186,78236.170131075,161647.550305656,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"25",2019,105846.678989877,102147.404003116,62125.8413073364,172063.984669524,67229.1574861785,157406.080510969,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
"26",2020,142310.69869662,134619.660593558,73660.2079003159,254353.325853207,81013.2045860029,229245.01721174,NA,NA,NA,NA,NA,NA,"Puget Sound-Strait of Georgia Coho"
