"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chambers Creek Coho-","Puget Sound-Strait of Georgia Coho",707.92172307589,NA,781.639585949324,1995,1999,"Puget Sound-Strait of Georgia Coho"
"2","Chimacum Creek Coho-","Puget Sound-Strait of Georgia Coho",755.961134756972,635.757132929752,NA,1995,1999,"Puget Sound-Strait of Georgia Coho"
"3","Deep South Sound Tribs Coho-","Puget Sound-Strait of Georgia Coho",2098.39207462616,NA,2281.12335185546,1995,1999,"Puget Sound-Strait of Georgia Coho"
"4","Deschutes Coho-","Puget Sound-Strait of Georgia Coho",259.344960709365,259.344960709365,274.080926046856,1995,1999,"Puget Sound-Strait of Georgia Coho"
"5","Discovery Bay Coho-","Puget Sound-Strait of Georgia Coho",75.8925168899748,NA,63.647803434743,1995,1999,"Puget Sound-Strait of Georgia Coho"
"6","East Kitsap Coho-","Puget Sound-Strait of Georgia Coho",5216.40081359512,NA,4671.10368679222,1995,1999,"Puget Sound-Strait of Georgia Coho"
"7","Green River/Soos Creek Coho-","Puget Sound-Strait of Georgia Coho",2205.92622013393,NA,NA,1995,1999,"Puget Sound-Strait of Georgia Coho"
"8","Morse Creek Coho-","Puget Sound-Strait of Georgia Coho",133.42497338428,133.42497338428,107.171881441552,1995,1999,"Puget Sound-Strait of Georgia Coho"
"9","Nisqually Coho-","Puget Sound-Strait of Georgia Coho",1658.69104154359,NA,1344.41226632477,1995,1999,"Puget Sound-Strait of Georgia Coho"
"10","Nooksack Coho-","Puget Sound-Strait of Georgia Coho",823.371315922669,NA,608.443408702953,1995,1999,"Puget Sound-Strait of Georgia Coho"
"11","Northeast Hood Canal Coho-","Puget Sound-Strait of Georgia Coho",1878.76037948871,1546.21277251162,1964.75997488332,1995,1999,"Puget Sound-Strait of Georgia Coho"
"12","Quilcene/Dabob Bays Coho-","Puget Sound-Strait of Georgia Coho",605.848430413624,526.507946008786,686.160704245201,1995,1999,"Puget Sound-Strait of Georgia Coho"
"13","Samish Coho-","Puget Sound-Strait of Georgia Coho",5906.38168551784,NA,5194.90850323192,1995,1999,"Puget Sound-Strait of Georgia Coho"
"14","Sequim Bay Coho-","Puget Sound-Strait of Georgia Coho",69.2443985714052,69.2443985714052,58.4637657933731,1995,1999,"Puget Sound-Strait of Georgia Coho"
"15","Skagit Coho-","Puget Sound-Strait of Georgia Coho",33533.0043514866,NA,32590.6292988825,1995,1999,"Puget Sound-Strait of Georgia Coho"
"16","Snohomish Coho-","Puget Sound-Strait of Georgia Coho",83972.0677863291,NA,79306.2142735614,1995,1999,"Puget Sound-Strait of Georgia Coho"
"17","South Fork Skykomish Coho-","Puget Sound-Strait of Georgia Coho",18227.318959156,18227.318959156,16926.3854804677,1995,1999,"Puget Sound-Strait of Georgia Coho"
"18","Stillaguamish Coho-","Puget Sound-Strait of Georgia Coho",15892.3777105393,NA,13763.569311669,1995,1999,"Puget Sound-Strait of Georgia Coho"
"19","White River (Puyallup) Coho-","Puget Sound-Strait of Georgia Coho",2663.89102628718,2663.89102628718,2092.64186082754,1995,1999,"Puget Sound-Strait of Georgia Coho"
"20","Chambers Creek Coho-","Puget Sound-Strait of Georgia Coho",508.128465151817,NA,456.653172265958,2000,2004,"Puget Sound-Strait of Georgia Coho"
"21","Chimacum Creek Coho-","Puget Sound-Strait of Georgia Coho",1374.03957689824,1374.03957689824,1212.4205522893,2000,2004,"Puget Sound-Strait of Georgia Coho"
"22","Deep South Sound Tribs Coho-","Puget Sound-Strait of Georgia Coho",3647.94728005693,NA,3480.3424783101,2000,2004,"Puget Sound-Strait of Georgia Coho"
"23","Deschutes Coho-","Puget Sound-Strait of Georgia Coho",352.315676701517,352.315676701517,206.716639025407,2000,2004,"Puget Sound-Strait of Georgia Coho"
"24","Discovery Bay Coho-","Puget Sound-Strait of Georgia Coho",485.597842733966,NA,375.236873793496,2000,2004,"Puget Sound-Strait of Georgia Coho"
"25","East Kitsap Coho-","Puget Sound-Strait of Georgia Coho",8704.24659522467,NA,9353.90666735106,2000,2004,"Puget Sound-Strait of Georgia Coho"
"26","Green River/Soos Creek Coho-","Puget Sound-Strait of Georgia Coho",4271.6121443624,NA,3748.87577000313,2000,2004,"Puget Sound-Strait of Georgia Coho"
