"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Chambers Creek Coho-","Total",1995,2020,-0.177202167508315,0.0117230716930502,"Puget Sound-Strait of Georgia Coho"
"2","Chimacum Creek Coho-","Total",1995,2020,-0.0738421072089583,0.0133028186239423,"Puget Sound-Strait of Georgia Coho"
"3","Chimacum Creek Coho-","Natural",1995,2020,-0.0893539552782592,0.016744582343455,"Puget Sound-Strait of Georgia Coho"
"4","Deep South Sound Tribs Coho-","Total",1995,2020,0.017137363439605,0.010812535877521,"Puget Sound-Strait of Georgia Coho"
"5","Deschutes Coho-","Total",1995,2020,0.0278442229848265,0.00997483184074423,"Puget Sound-Strait of Georgia Coho"
"6","Deschutes Coho-","Natural",1995,2020,0.0285622285085572,0.0130298278050836,"Puget Sound-Strait of Georgia Coho"
"7","Discovery Bay Coho-","Total",1995,2020,0.120344383703517,0.0182455264930705,"Puget Sound-Strait of Georgia Coho"
"8","East Kitsap Coho-","Total",1995,2020,-0.0508793511902898,0.0113208393421033,"Puget Sound-Strait of Georgia Coho"
"9","East Kitsap Coho-","Natural",1995,2020,-0.107957384705945,0.0418655038385442,"Puget Sound-Strait of Georgia Coho"
"10","Green River/Soos Creek Coho-","Total",1995,2020,-0.0332355301936116,0.0119414188279997,"Puget Sound-Strait of Georgia Coho"
"11","Morse Creek Coho-","Total",1995,2020,0.0414372045201341,0.015603423278447,"Puget Sound-Strait of Georgia Coho"
"12","Morse Creek Coho-","Natural",1995,2020,0.0414372045201341,0.015603423278447,"Puget Sound-Strait of Georgia Coho"
"13","Nisqually Coho-","Total",1995,2020,-0.0983588956589355,0.0138142915451673,"Puget Sound-Strait of Georgia Coho"
"14","Nooksack Coho-","Total",1995,2020,-0.0207145095903729,0.0141572591906787,"Puget Sound-Strait of Georgia Coho"
"15","Northeast Hood Canal Coho-","Total",1995,2020,-0.0765420714506986,0.0113155936768841,"Puget Sound-Strait of Georgia Coho"
"16","Northeast Hood Canal Coho-","Natural",1995,2020,-0.069313359338236,0.011765765393867,"Puget Sound-Strait of Georgia Coho"
"17","Quilcene/Dabob Bays Coho-","Total",1995,2020,-0.0616712294788087,0.0109597840382451,"Puget Sound-Strait of Georgia Coho"
"18","Quilcene/Dabob Bays Coho-","Natural",1995,2020,-0.0450240088658701,0.0110111117236237,"Puget Sound-Strait of Georgia Coho"
"19","Samish Coho-","Total",1995,2020,-0.0956834612513766,0.0130217595327981,"Puget Sound-Strait of Georgia Coho"
"20","Sequim Bay Coho-","Total",1995,2020,-0.0155510351336075,0.0138465106788722,"Puget Sound-Strait of Georgia Coho"
"21","Sequim Bay Coho-","Natural",1995,2020,-0.0155510351336075,0.0138465106788722,"Puget Sound-Strait of Georgia Coho"
"22","Skagit Coho-","Total",1995,2020,-0.0295333741238135,0.0122424689983751,"Puget Sound-Strait of Georgia Coho"
"23","Snohomish Coho-","Total",1995,2020,-0.048721802348162,0.0129579449398585,"Puget Sound-Strait of Georgia Coho"
"24","South Fork Skykomish Coho-","Total",1995,2020,-0.0472332027091322,0.012193384299138,"Puget Sound-Strait of Georgia Coho"
"25","South Fork Skykomish Coho-","Natural",1995,2020,-0.0450648919016974,0.0130028535996374,"Puget Sound-Strait of Georgia Coho"
"26","Stillaguamish Coho-","Total",1995,2020,-0.0129769064501172,0.0131725124654215,"Puget Sound-Strait of Georgia Coho"
"27","White River (Puyallup) Coho-","Total",1995,2020,0.0703916741112529,0.0124149790527123,"Puget Sound-Strait of Georgia Coho"
"28","White River (Puyallup) Coho-","Natural",1995,2020,0.0707392640587693,0.0145478137048514,"Puget Sound-Strait of Georgia Coho"
