"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,1239.49305032,1138.17618042015,499.853026114713,2607.56354052197,582.867680208752,2234.41922411359,NA,NA,NA,NA,NA,1166,"Sacramento River Winter-run Chinook Salmon"
"2",1996,1167.57597158152,1062.7764585742,536.608443608087,2377.65643060724,609.380264959458,2045.59833449483,NA,NA,NA,NA,NA,1012,"Sacramento River Winter-run Chinook Salmon"
"3",1997,1234.06460303065,1111.8702616653,565.908227157958,2595.0594718321,633.616662607403,2243.95987347107,NA,NA,NA,NA,NA,836,"Sacramento River Winter-run Chinook Salmon"
"4",1998,2467.71867065946,2348.95455158455,1092.90040188596,4568.45718465737,1251.34278309992,4086.01237907923,NA,NA,NA,NA,NA,2893,"Sacramento River Winter-run Chinook Salmon"
"5",1999,2924.91765236498,2763.47870135748,1328.99471182767,5443.05151877352,1504.44934439509,4850.97121101846,NA,NA,NA,NA,NA,3264,"Sacramento River Winter-run Chinook Salmon"
"6",2000,2351.61207098395,2096.72410390825,1029.01284897101,5119.15122549552,1138.49109998044,4430.39093045159,NA,NA,NA,NA,NA,1261,"Sacramento River Winter-run Chinook Salmon"
"7",2001,6128.42393592374,5857.53297894697,2568.57467072322,11395.5172378096,2957.3660275204,10153.6345861437,NA,NA,NA,NA,NA,8120,"Sacramento River Winter-run Chinook Salmon"
"8",2002,7302.02433043764,6975.53000702344,3239.67427273958,13687.0084785884,3708.27381963744,12088.712894116,NA,NA,NA,NA,NA,7337,"Sacramento River Winter-run Chinook Salmon"
"9",2003,8243.27758804291,7794.31943039458,3729.35559808995,15552.9639033732,4263.69444576741,13753.8163887355,NA,NA,NA,NA,NA,8133,"Sacramento River Winter-run Chinook Salmon"
"10",2004,8935.60483297873,8438.45392222359,4056.1035229885,17127.9049772376,4637.99320732795,15139.3653985029,NA,NA,NA,NA,NA,7784,"Sacramento River Winter-run Chinook Salmon"
"11",2005,12860.1607306458,12416.3368968672,4901.72888626169,24459.8818514249,5726.68714875256,21604.3322319154,NA,NA,NA,NA,NA,15730,"Sacramento River Winter-run Chinook Salmon"
"12",2006,11658.3295888584,11116.3099877079,4269.02083464237,22666.6385099784,4979.71868008818,20421.1911172159,NA,NA,NA,NA,NA,17197,"Sacramento River Winter-run Chinook Salmon"
"13",2007,3986.64322079833,3623.01749226015,1863.31093096539,8248.89888587492,2079.2705334198,7140.91590514583,NA,NA,NA,NA,NA,2487,"Sacramento River Winter-run Chinook Salmon"
"14",2008,3289.56381777898,3040.01280995385,1536.99948683466,6533.36620481059,1724.09583257549,5713.29428753038,NA,NA,NA,NA,NA,2725,"Sacramento River Winter-run Chinook Salmon"
"15",2009,3533.56184330159,3356.35346080928,1556.40926259973,6527.38907213382,1786.53803925715,5862.15031093308,NA,NA,NA,NA,NA,4416,"Sacramento River Winter-run Chinook Salmon"
"16",2010,1949.92672974229,1788.59436612216,899.296729362289,3958.9418260321,1009.37835337169,3427.56846461762,NA,NA,NA,NA,NA,1533,"Sacramento River Winter-run Chinook Salmon"
"17",2011,1382.45965139608,1190.82438052533,584.562553933122,3201.95427872018,650.670496688696,2752.89288032992,NA,NA,NA,NA,NA,738,"Sacramento River Winter-run Chinook Salmon"
"18",2012,2560.72102699687,2414.84131799924,1191.4507270097,4814.00548848344,1355.77848510476,4264.26061562088,NA,NA,NA,NA,NA,2578,"Sacramento River Winter-run Chinook Salmon"
"19",2013,4227.53851826783,4053.33966181567,1709.39521497045,7958.68554495345,1971.2408270041,7150.25893163259,NA,NA,NA,NA,NA,5920,"Sacramento River Winter-run Chinook Salmon"
"20",2014,2986.44075866608,2795.90088408479,1408.49313096946,5666.8702418272,1600.38133779023,5035.07134457145,NA,NA,NA,NA,NA,2627,"Sacramento River Winter-run Chinook Salmon"
"21",2015,2827.66307921844,2676.94184179362,1269.08987709822,5296.45825573953,1455.59303286182,4698.74291952257,NA,NA,NA,NA,NA,3182,"Sacramento River Winter-run Chinook Salmon"
"22",2016,1800.15293260442,1650.50166012164,824.198528766833,3664.07365111363,932.89151481445,3189.64324322261,NA,NA,NA,NA,NA,1409,"Sacramento River Winter-run Chinook Salmon"
"23",2017,1444.25764107318,1247.52037749377,613.663643694468,3376.88680037607,684.016520487986,2852.57427723283,NA,NA,NA,NA,NA,795,"Sacramento River Winter-run Chinook Salmon"
"24",2018,2763.95481061151,2572.67775662949,1287.39268831044,5379.16548361033,1461.11053800419,4715.55089630582,NA,NA,NA,NA,NA,2458,"Sacramento River Winter-run Chinook Salmon"
"25",2019,6020.69083172924,5730.26091863264,2322.61434682271,11480.0263031681,2734.95415327055,10234.4670825821,NA,NA,NA,NA,NA,7853,"Sacramento River Winter-run Chinook Salmon"
"26",2020,6334.31024337639,5887.53513735235,2396.05272889267,13051.8797706413,2856.97471805618,11285.1853196081,NA,NA,NA,NA,NA,6199,"Sacramento River Winter-run Chinook Salmon"
