"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1239.49305032,560.860974674421,1138.17618042015,499.853026114713,2607.56354052197,582.867680208752,2234.41922411359,NA,1166,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"2",1996,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1167.57597158152,479.37707758812,1062.7764585742,536.608443608087,2377.65643060724,609.380264959458,2045.59833449483,NA,1012,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"3",1997,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1234.06460303065,535.07121973303,1111.8702616653,565.908227157958,2595.0594718321,633.616662607403,2243.95987347107,NA,836,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"4",1998,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2467.71867065946,904.068046361378,2348.95455158455,1092.90040188596,4568.45718465737,1251.34278309992,4086.01237907923,NA,2893,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"5",1999,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2924.91765236498,1068.83030774112,2763.47870135748,1328.99471182767,5443.05151877352,1504.44934439509,4850.97121101846,NA,3264,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"6",2000,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2351.61207098395,1080.70377106807,2096.72410390825,1029.01284897101,5119.15122549552,1138.49109998044,4430.39093045159,NA,1261,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"7",2001,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",6128.42393592374,2313.26397740029,5857.53297894697,2568.57467072322,11395.5172378096,2957.3660275204,10153.6345861437,NA,8120,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"8",2002,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",7302.02433043764,2688.70107528101,6975.53000702344,3239.67427273958,13687.0084785884,3708.27381963744,12088.712894116,NA,7337,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"9",2003,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",8243.27758804291,3023.60009670577,7794.31943039458,3729.35559808995,15552.9639033732,4263.69444576741,13753.8163887355,NA,8133,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"10",2004,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",8935.60483297873,3347.87704217644,8438.45392222359,4056.1035229885,17127.9049772376,4637.99320732795,15139.3653985029,NA,7784,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"11",2005,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",12860.1607306458,5067.42610234668,12416.3368968672,4901.72888626169,24459.8818514249,5726.68714875256,21604.3322319154,NA,15730,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"12",2006,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",11658.3295888584,4826.41518328562,11116.3099877079,4269.02083464237,22666.6385099784,4979.71868008818,20421.1911172159,NA,17197,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"13",2007,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",3986.64322079833,1671.9740658011,3623.01749226015,1863.31093096539,8248.89888587492,2079.2705334198,7140.91590514583,NA,2487,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"14",2008,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",3289.56381777898,1287.52560689965,3040.01280995385,1536.99948683466,6533.36620481059,1724.09583257549,5713.29428753038,NA,2725,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"15",2009,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",3533.56184330159,1294.06115696297,3356.35346080928,1556.40926259973,6527.38907213382,1786.53803925715,5862.15031093308,NA,4416,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"16",2010,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1949.92672974229,790.508535370848,1788.59436612216,899.296729362289,3958.9418260321,1009.37835337169,3427.56846461762,NA,1533,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"17",2011,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1382.45965139608,697.685931041261,1190.82438052533,584.562553933122,3201.95427872018,650.670496688696,2752.89288032992,NA,738,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"18",2012,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2560.72102699687,931.08323898135,2414.84131799924,1191.4507270097,4814.00548848344,1355.77848510476,4264.26061562088,NA,2578,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"19",2013,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",4227.53851826783,1647.45706660752,4053.33966181567,1709.39521497045,7958.68554495345,1971.2408270041,7150.25893163259,NA,5920,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"20",2014,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2986.44075866608,1097.33621786009,2795.90088408479,1408.49313096946,5666.8702418272,1600.38133779023,5035.07134457145,NA,2627,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"21",2015,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2827.66307921844,1041.43222393334,2676.94184179362,1269.08987709822,5296.45825573953,1455.59303286182,4698.74291952257,NA,3182,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"22",2016,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1800.15293260442,731.199648149513,1650.50166012164,824.198528766833,3664.07365111363,932.89151481445,3189.64324322261,NA,1409,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"23",2017,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",1444.25764107318,737.256124424694,1247.52037749377,613.663643694468,3376.88680037607,684.016520487986,2852.57427723283,NA,795,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"24",2018,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",2763.95481061151,1051.34857217392,2572.67775662949,1287.39268831044,5379.16548361033,1461.11053800419,4715.55089630582,NA,2458,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"25",2019,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",6020.69083172924,2400.50323876365,5730.26091863264,2322.61434682271,11480.0263031681,2734.95415327055,10234.4670825821,NA,7853,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
"26",2020,"sacramentoriv.chin.win","Sacramento River Winter-run Chinook Salmon",6334.31024337639,2771.51940198611,5887.53513735235,2396.05272889267,13051.8797706413,2856.97471805618,11285.1853196081,NA,6199,NA,NA,NA,NA,NA,"Sacramento River Winter-run Chinook Salmon"
