"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,7118.9867389678,7036.20450471531,5289.44160768085,9401.18021946347,5543.33871737328,8967.60823452819,3510.74840611925,2598.09729964903,4653.92048773074,2727.17908281268,4436.30088210952,7005,"Snake River Basin Steelhead DPS"
"2",1996,8261.87367800303,8180.12640996245,6254.28248451055,10714.2662742617,6532.17622873785,10244.9000934245,3930.9778629095,2965.20013687035,5110.30320733898,3100.83437731212,4891.03471390942,7985,"Snake River Basin Steelhead DPS"
"3",1997,8518.73381676969,8438.67512626796,6461.2796056773,11067.0537495002,6751.90771718097,10559.6693369987,4203.43426592638,3162.02968329787,5490.90259429145,3303.44504859744,5251.11203025202,8375,"Snake River Basin Steelhead DPS"
"4",1998,10642.3010662337,10548.219643785,8094.06924507183,13753.339990457,8452.46427765336,13170.3309774267,5508.64878965233,4115.34027241766,7190.80089800578,4309.28291346445,6893.13176792056,11276,"Snake River Basin Steelhead DPS"
"5",1999,9862.57793139647,9757.63552624424,7496.66734644252,12784.2959610482,7830.57150047805,12243.1965463439,4762.93031748476,3600.34375972196,6191.48034816593,3763.53121407222,5918.37375349427,9223,"Snake River Basin Steelhead DPS"
"6",2000,10539.9106651366,10427.0324448211,7945.88332235802,13778.6297685707,8319.66189516324,13154.0665752149,4914.13042002832,3704.4120070408,6403.50425282689,3879.60002765748,6125.86023162495,9777,"Snake River Basin Steelhead DPS"
"7",2001,17471.6353069329,17311.6969562081,13133.4832171928,22741.3626576882,13759.0781053904,21756.8475326699,7880.9759541364,5962.78424740189,10181.3729961961,6241.73360222488,9762.88563151197,16901,"Snake River Basin Steelhead DPS"
"8",2002,25417.8725756465,25149.804063862,18823.661516033,33520.8610922394,19707.1367832319,31970.3609312701,10728.2451252047,8091.19691756759,13973.0457444478,8460.45852108212,13342.8641165519,29960,"Snake River Basin Steelhead DPS"
"9",2003,24253.8252895345,23996.2442209336,17814.4366006082,32155.0114977323,18724.1322172346,30662.2207127201,9802.70139269599,7433.29815066579,12704.3770687274,7750.90742989971,12155.3339247804,28297,"Snake River Basin Steelhead DPS"
"10",2004,17831.1753255354,17636.6313730523,13168.4364276893,23589.1567800371,13807.5079524328,22502.7741201201,7083.32724540751,5379.70298330424,9179.37241556676,5611.08348303281,8785.67572364057,19528,"Snake River Basin Steelhead DPS"
"11",2005,16974.6436737102,16791.6957210339,12685.8120760366,22247.6598960361,13262.546675417,21255.168843228,6962.29802217118,5303.51806744439,8981.87861624495,5539.27619962456,8591.2779776924,16885,"Snake River Basin Steelhead DPS"
"12",2006,13275.7029025029,13143.0251815679,9942.32943664734,17346.720019038,10401.3883664571,16644.2046276698,5588.65136937659,4257.75228428534,7224.2886723315,4438.85150838981,6916.48986794623,13262,"Snake River Basin Steelhead DPS"
"13",2007,9283.52511552555,9173.0145211882,6929.85672341841,12239.5234726222,7265.92479295073,11680.8422221204,4057.6708739606,3066.71083383966,5287.11297575925,3198.95511058841,5053.43546447102,7733,"Snake River Basin Steelhead DPS"
"14",2008,13299.9691757638,13161.4963971141,10030.76254099,17350.439160828,10481.299750446,16554.1168309412,6030.6789044147,4589.19215091578,7798.54041998177,4785.36235175492,7459.1886973623,12710,"Snake River Basin Steelhead DPS"
"15",2009,19797.6025097796,19606.9261712524,14872.4798338097,25854.1552208589,15584.4525488153,24689.2872749057,8856.90852331147,6714.41801161895,11461.668783735,7016.41201069718,10960.9827147116,20042,"Snake River Basin Steelhead DPS"
"16",2010,28460.7466038649,28163.7214812985,21251.9577496802,37299.1172665073,22239.0299641723,35663.5507476455,11973.573230785,9091.079772104,15494.6862207206,9506.5676381463,14834.2993258232,30865,"Snake River Basin Steelhead DPS"
"17",2011,33518.7935325595,33174.3955192487,25029.7628685007,43973.6790880182,26231.6480594125,41960.1807220569,14203.9246108853,10796.0038579631,18358.3291671916,11265.113052493,17560.568443619,34286,"Snake River Basin Steelhead DPS"
"18",2012,25741.4510655458,25475.5378522356,19203.5771170077,33834.3664522237,20141.0168632895,32263.8053009461,10702.7585171199,8147.85112453399,13841.5011425148,8510.2151862058,13250.3283188778,28365,"Snake River Basin Steelhead DPS"
"19",2013,18449.2073019938,18252.1093577924,13738.3424773848,24222.7340230456,14425.009083055,23117.702180069,7890.77120249241,5972.23444140355,10230.1128703314,6243.7827618193,9786.92276202897,16791,"Snake River Basin Steelhead DPS"
"20",2014,21664.1461406215,21430.5495395198,16229.1411536557,28356.9648747144,16976.0851682523,27070.4912485722,9454.65293907189,7170.86993325662,12236.7862658289,7494.29490778106,11718.175697389,20664,"Snake River Basin Steelhead DPS"
"21",2015,30158.1836740767,29809.6815859063,22318.6848087615,39826.4579351999,23380.1649087443,37998.54686057,13315.0382758117,9966.40290839074,17361.8092329768,10427.5819943451,16617.5318057771,34462,"Snake River Basin Steelhead DPS"
