"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Steelhead (Snake River Basin DPS) - Asotin Creek","Snake River Basin Steelhead DPS",519.010954920092,335.051415300939,513.495816193687,1995,1999,"Snake River Basin Steelhead DPS"
"2","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Snake River Basin Steelhead DPS",2489.92119948574,826.653838229265,2297.54968839774,1995,1999,"Snake River Basin Steelhead DPS"
"3","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Snake River Basin Steelhead DPS",1678.95316109098,1342.35440028649,1804.51389768487,1995,1999,"Snake River Basin Steelhead DPS"
"4","Steelhead (Snake River Basin DPS) - Joseph Creek","Snake River Basin Steelhead DPS",1403.36634225704,1403.36634225704,1394.04603766412,1995,1999,"Snake River Basin Steelhead DPS"
"5","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Snake River Basin Steelhead DPS",2661.74175543705,375.305587516624,2400.46004548886,1995,1999,"Snake River Basin Steelhead DPS"
"6","Steelhead (Snake River Basin DPS) - Asotin Creek","Snake River Basin Steelhead DPS",725.602023991768,651.584124412917,680.361803950483,2000,2004,"Snake River Basin Steelhead DPS"
"7","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Snake River Basin Steelhead DPS",6480.22012459652,2151.43308136604,7083.75135527164,2000,2004,"Snake River Basin Steelhead DPS"
"8","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Snake River Basin Steelhead DPS",1553.3618660531,1409.93133786456,1283.75983800831,2000,2004,"Snake River Basin Steelhead DPS"
"9","Steelhead (Snake River Basin DPS) - Joseph Creek","Snake River Basin Steelhead DPS",2582.40915259374,2582.40915259374,2532.58062054859,2000,2004,"Snake River Basin Steelhead DPS"
"10","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Snake River Basin Steelhead DPS",6795.0744784313,958.105501458813,7402.79099420828,2000,2004,"Snake River Basin Steelhead DPS"
"11","Steelhead (Snake River Basin DPS) - Asotin Creek","Snake River Basin Steelhead DPS",516.831050744747,474.818104577477,477.183198279287,2005,2009,"Snake River Basin Steelhead DPS"
"12","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Snake River Basin Steelhead DPS",4957.38120501742,1645.85056006578,4530.77549408302,2005,2009,"Snake River Basin Steelhead DPS"
"13","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Snake River Basin Steelhead DPS",1380.46825050259,1374.92972295317,1459.01484384698,2005,2009,"Snake River Basin Steelhead DPS"
"14","Steelhead (Snake River Basin DPS) - Joseph Creek","Snake River Basin Steelhead DPS",1820.76279010172,1820.76279010172,1925.82107125608,2005,2009,"Snake River Basin Steelhead DPS"
"15","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Snake River Basin Steelhead DPS",5357.65593550406,755.429486906072,4847.22193582733,2005,2009,"Snake River Basin Steelhead DPS"
"16","Steelhead (Snake River Basin DPS) - Asotin Creek","Snake River Basin Steelhead DPS",805.226954366968,798.746070124051,847.382967776601,2010,2014,"Snake River Basin Steelhead DPS"
"17","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Snake River Basin Steelhead DPS",9212.47981731147,3058.54329934741,9048.33778862759,2010,2014,"Snake River Basin Steelhead DPS"
"18","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Snake River Basin Steelhead DPS",2825.19530467817,2790.74551707443,2604.24461841931,2010,2014,"Snake River Basin Steelhead DPS"
"19","Steelhead (Snake River Basin DPS) - Joseph Creek","Snake River Basin Steelhead DPS",2704.03343347507,2638.88346874664,2438.7577193112,2010,2014,"Snake River Basin Steelhead DPS"
"20","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Snake River Basin Steelhead DPS",9445.44887339896,1331.80829114925,9946.86900778094,2010,2014,"Snake River Basin Steelhead DPS"
"21","Steelhead (Snake River Basin DPS) - Asotin Creek","Snake River Basin Steelhead DPS",319.367257464762,400.620026730433,NA,2015,2019,"Snake River Basin Steelhead DPS"
"22","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Snake River Basin Steelhead DPS",4271.29839597276,1418.07106746296,4109.51955365085,2015,2019,"Snake River Basin Steelhead DPS"
"23","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Snake River Basin Steelhead DPS",1214.80946637171,1564.22434219326,NA,2015,2019,"Snake River Basin Steelhead DPS"
"24","Steelhead (Snake River Basin DPS) - Joseph Creek","Snake River Basin Steelhead DPS",1254.5729979293,1423.10169844944,NA,2015,2019,"Snake River Basin Steelhead DPS"
"25","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Snake River Basin Steelhead DPS",2750.93016899928,387.881153828898,2840.30619908951,2015,2019,"Snake River Basin Steelhead DPS"
