"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Steelhead (Snake River Basin DPS) - Asotin Creek","Total",1995,2020,-0.0343916797043693,0.0146812360358142,"Snake River Basin Steelhead DPS"
"2","Steelhead (Snake River Basin DPS) - Asotin Creek","Natural",1995,2020,0.0116173477146368,0.0142279562680267,"Snake River Basin Steelhead DPS"
"3","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Total",1995,2020,0.0105306946502287,0.0174422541870164,"Snake River Basin Steelhead DPS"
"4","Steelhead (Snake River Basin DPS) - Clearwater River Lower Mainstem","Natural",1995,2020,0.0105306946502287,0.0174422541870164,"Snake River Basin Steelhead DPS"
"5","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Total",1995,2020,-0.0187762626031851,0.0158611029471205,"Snake River Basin Steelhead DPS"
"6","Steelhead (Snake River Basin DPS) - Grande Ronde River Upper Mainstem","Natural",1995,2020,0.0198943959376679,0.0137373413039669,"Snake River Basin Steelhead DPS"
"7","Steelhead (Snake River Basin DPS) - Joseph Creek","Total",1995,2020,-0.0184669023744508,0.0150861308722628,"Snake River Basin Steelhead DPS"
"8","Steelhead (Snake River Basin DPS) - Joseph Creek","Natural",1995,2020,0.00185439549562033,0.0140140349762496,"Snake River Basin Steelhead DPS"
"9","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Total",1995,2020,-0.0286462068421512,0.0216392710372439,"Snake River Basin Steelhead DPS"
"10","Steelhead (Snake River Basin DPS) - Little Salmon and Rapid River","Natural",1995,2020,-0.014792444810979,0.0212655474755752,"Snake River Basin Steelhead DPS"
