"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",644.840256505732,120.887448708654,627.793602194248,447.203953651066,935.724858548815,481.48058759352,859.955000536147,0.567,617,365.62442543875,253.564641720154,530.555994797178,272.999493165526,487.594485303995,"Snake River Fall-run Chinook Salmon ESU"
"2",1996,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",880.360761878957,145.671815100299,871.358889053252,616.879198691602,1203.76289169066,663.670910641063,1127.28760818031,0.711,899,625.936501695938,438.601110269729,855.875415992056,471.870017465796,801.501489416202,"Snake River Fall-run Chinook Salmon ESU"
"3",1997,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",993.317186771659,164.087238191961,982.706601228979,701.864351052611,1369.93147710072,749.963409242599,1276.23393929519,0.803,992,797.633700977642,563.597073895247,1100.05497611188,602.220617621807,1024.81585325404,"Snake River Fall-run Chinook Salmon ESU"
"4",1998,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",1015.55606010859,189.550311022814,985.23524442737,731.726323390041,1479.64405236662,773.2763609756,1359.35652625917,0.334,916,339.195724076268,244.396592012274,494.201113490451,258.27430456585,454.025079770561,"Snake River Fall-run Chinook Salmon ESU"
"5",1999,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",1802.41752067242,306.291578213565,1768.97336499111,1276.92763352732,2503.23378837946,1367.0289060594,2331.18330740075,0.504,1795,908.418430418901,643.571527297767,1261.62982934325,688.982568653938,1174.91638692998,"Snake River Fall-run Chinook Salmon ESU"
"6",2000,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",2841.79791184477,507.212806361936,2763.51495419735,2052.11430131804,4079.47184311316,2177.84987169022,3767.12673253091,0.449,2558,1275.9672624183,921.3993212918,1831.68285755781,977.854592388909,1691.43990290638,"Snake River Fall-run Chinook Salmon ESU"
"7",2001,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",8448.70976212187,1493.69777049613,8549.65921154539,5321.7956154865,11213.2834951175,5859.05124755767,10681.706065044,0.541,9545,4570.75198130793,2879.0914279782,6066.38637085857,3169.7467249287,5778.80298118881,"Snake River Fall-run Chinook Salmon ESU"
"8",2002,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",9512.54166858395,1571.57297186852,9405.04811150731,6614.58237815233,13006.2819397902,7135.73213717316,12200.1398264825,0.226,9347,2149.83441709997,1494.89561746243,2939.41971839258,1612.67546300114,2757.23160078504,"Snake River Fall-run Chinook Salmon ESU"
"9",2003,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",11763.8602330705,1929.61106751509,11657.2759810335,8214.95264890306,16049.9541309176,8851.81089366819,15052.2078150424,0.278,11724,3270.35314479359,2283.75683639505,4461.88724839511,2460.80342843976,4184.5137725818,"Snake River Fall-run Chinook Salmon ESU"
"10",2004,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",14514.1959511029,2436.59467538812,14535.1901618399,9563.13076206067,19417.4425902975,10451.4294971167,18355.1228316445,0.39,15609,5660.53642093012,3729.62099720366,7572.80261021602,4076.0575038755,7158.49790434135,"Snake River Fall-run Chinook Salmon ESU"
"11",2005,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",10070.420629187,1667.15488529226,9911.65113588012,7159.6855374299,13889.6343782078,7655.44237950642,12975.6192001713,0.462,9924,4652.5343306844,3307.77471829261,6417.01108273199,3536.81437933197,5994.73607047913,"Snake River Fall-run Chinook Salmon ESU"
"12",2006,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",7178.77725803677,1342.3306349887,6945.57536781161,5203.82963840363,10493.5844178432,5510.17238039692,9655.9905841518,0.6,6485,4307.26635482206,3122.29778304218,6296.15065070595,3306.10342823815,5793.59435049108,"Snake River Fall-run Chinook Salmon ESU"
"13",2007,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",8781.82036622617,1526.77647290192,8609.49305746387,6314.70891478152,12433.6530636421,6694.90621588198,11462.782249048,0.337,8354,2959.47346341822,2128.05690428137,4190.14108244739,2256.18339475223,3862.95761792917,"Snake River Fall-run Chinook Salmon ESU"
"14",2008,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",12405.9340378892,2125.88117887144,12158.9343952649,8858.08023186943,17469.7007703693,9451.39453482718,16192.2756286839,0.251,11925,3113.88944351019,2223.37813819923,4384.8948933627,2372.30002824162,4064.26118279966,"Snake River Fall-run Chinook Salmon ESU"
"15",2009,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",20864.1865802049,3430.17850073944,20662.5515158732,14671.0747505554,28523.7245583391,15716.6768488447,26749.5707444659,0.207,20685,4318.88662210241,3036.91247336497,5904.4109835762,3253.35210771086,5537.16114410444,"Snake River Fall-run Chinook Salmon ESU"
"16",2010,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",35625.3917548971,6154.6404543663,35866.1543455858,23047.7309944335,47597.7297773552,25160.4533891687,45197.5415915095,0.185,39764,6590.69747465597,4263.8302339702,8805.58000881071,4654.68387699621,8361.54519442926,"Snake River Fall-run Chinook Salmon ESU"
"17",2011,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",25669.9945439609,4568.78327970093,25005.0685698183,18702.3963182723,36700.8802995534,19750.3024279864,33938.9303191281,0.342,23580,8779.13813403462,6396.21954084911,12551.7010624473,6754.60343037134,11607.1141691418,"Snake River Fall-run Chinook Salmon ESU"
"18",2012,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",31944.3085438163,5432.66665024089,31381.6228562897,22954.9208059745,44711.8009272866,24402.5885779252,41601.5156317753,0.373,30363,11915.2270868435,8562.18546062849,16677.5017458779,9102.16553956609,15517.3653306522,"Snake River Fall-run Chinook Salmon ESU"
"19",2013,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",49174.5689666629,8189.46934268316,49245.2130743504,33220.7125696162,66254.9172483531,35964.1006672094,62385.9809615873,0.399,51239,19620.6530176985,13255.0643152769,26435.7119820929,14349.6761662165,24892.0064036733,"Snake River Fall-run Chinook Salmon ESU"
"20",2014,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",52031.9954533903,8597.9165984162,51441.0338809261,35977.3252610572,70912.555180988,38926.4036508322,66638.3025656588,0.248,52989,12903.9348724408,8922.3766647422,17586.313684885,9653.74810540639,16526.2990362834,"Snake River Fall-run Chinook Salmon ESU"
"21",2015,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",50188.0454190058,8431.17862633753,50217.5127871276,33687.3041218666,68049.7136096762,36455.2974338558,64316.0947351196,0.295,52285,14805.4733986067,9937.75471595063,20074.6655148545,10754.3127429875,18973.2479468603,"Snake River Fall-run Chinook Salmon ESU"
"22",2016,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",32232.2030311475,5304.34530033602,31702.1375827873,22806.8362406307,44341.8805693453,24438.6000604428,41478.9768751909,0.27,31993,8702.69481840981,6157.84578497029,11972.3077537232,6598.42201631955,11199.3237563016,"Snake River Fall-run Chinook Salmon ESU"
"23",2017,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",21386.4542311894,3540.48810953839,21153.9478897769,15073.0273739103,29559.272712089,16160.1765747582,27489.061926016,0.289,21248,6180.68527281374,4356.10491106009,8542.62981379373,4670.29103010512,7944.33889661863,"Snake River Fall-run Chinook Salmon ESU"
"24",2018,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",12921.9590195193,2462.35341603768,12487.4518266594,9312.92108373685,19038.7743176558,9852.72231365158,17402.6788304482,0.42,11705,5427.2227881981,3911.42685516948,7996.28521341545,4138.14337173366,7309.12510878823,"Snake River Fall-run Chinook Salmon ESU"
"25",2019,"Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem","Snake River Fall-run Chinook Salmon ESU",13289.4269122481,2567.49440332405,12976.8200278391,9281.61397189998,19336.1196740028,9920.38392176082,17732.7826367947,0.39,12790,5182.87649577677,3619.82944904099,7541.08667286109,3868.94972948672,6915.78522834995,"Snake River Fall-run Chinook Salmon ESU"
