"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,1017.51264996567,1000.59992848871,733.135691937518,1399.61558783097,770.120423063432,1321.3869321428,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"2",1996,2185.25118239436,2160.35142898306,1657.90198205681,2856.02396984813,1726.43421985959,2726.45741556581,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"3",1997,5062.10802587405,5010.08450772565,3932.63250279701,6496.36165412397,4086.69809834295,6211.42518894659,3410.92897209508,2732.1974696442,4219.91970307088,2831.10955153582,4075.60190081576,4738,"Snake River Spring-Summer-run Chinook Salmon ESU"
"4",1998,4842.38548103507,4792.55606644955,3773.67581147706,6181.21720784074,3920.38468898908,5932.33648284052,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"5",1999,2674.49122231797,2648.081559568,2066.10218931424,3439.46775595526,2148.73147368288,3291.25476825619,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"6",2000,5665.6510034989,5616.05098424464,4435.07453626086,7177.65296350175,4609.69266670869,6895.39370281182,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"7",2001,20359.7255079754,20195.7032721173,16202.3773759918,25371.7332275575,16811.2112488508,24475.7453487034,15577.3037756892,12558.2141410696,19180.379942871,12995.4378448004,18511.3648465017,18196,"Snake River Spring-Summer-run Chinook Salmon ESU"
"8",2002,18963.3544441009,18823.8042114175,15124.8758098554,23588.7417657164,15659.6282865409,22710.2616398552,13759.1377815426,11125.5550472006,16872.3550608602,11498.1251455192,16300.0653907325,18110,"Snake River Spring-Summer-run Chinook Salmon ESU"
"9",2003,19235.9683864344,19106.3685703016,15354.9607100152,23871.7320658456,15886.5075929298,23020.2923464607,14913.2318989159,12016.1455502788,18292.4151382954,12421.2078766699,17690.7189718091,18014,"Snake River Spring-Summer-run Chinook Salmon ESU"
"10",2004,10636.9050787607,10556.541732592,8500.49485718722,13220.3512185613,8789.08539612675,12754.5537644151,7291.72975739603,5860.12003652797,8997.81919283076,6055.22898201002,8688.69907193889,11041,"Snake River Spring-Summer-run Chinook Salmon ESU"
"11",2005,7116.2775425614,7063.78682481339,5664.39269430496,8876.89735174107,5872.33083001154,8545.47942836486,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"12",2006,5469.00829405473,5428.76578343602,4332.63144984092,6827.81916694157,4492.34736103558,6586.45213894155,3584.73568949777,2885.52548097225,4403.84347790319,2985.35876769955,4262.97576237209,6117,"Snake River Spring-Summer-run Chinook Salmon ESU"
"13",2007,6274.32846423698,6223.26470212005,4970.03730506137,7861.57452055576,5148.08094390015,7572.26757732891,NA,NA,NA,NA,NA,NA,"Snake River Spring-Summer-run Chinook Salmon ESU"
"14",2008,12874.4960599015,12780.5377642904,10220.5643661816,16082.9304923933,10597.7353409913,15474.6379295324,7313.61680591891,5897.19541665468,8980.80274729086,6092.65315821055,8678.2762846317,14517,"Snake River Spring-Summer-run Chinook Salmon ESU"
"15",2009,13701.0764802816,13607.5085791306,10862.3815294667,17083.9639365344,11258.1979542242,16463.4725531819,8112.78409231375,6517.88964600889,10005.3541433218,6735.11085626397,9655.85681727455,15036,"Snake River Spring-Summer-run Chinook Salmon ESU"
"16",2010,22494.6395843454,22326.7258384723,17871.4184860075,28031.704977733,18502.6098122249,27012.2587084177,13520.5043209574,10888.2398186919,16621.5408959995,11250.8549474926,16077.4770787456,24255,"Snake River Spring-Summer-run Chinook Salmon ESU"
"17",2011,19568.6156775918,19441.243381772,15565.4018504612,24371.8782531503,16131.5549513229,23518.0935040829,12185.1556979236,9853.76389852118,14927.4105559837,10185.9588036928,14422.2481045256,22907,"Snake River Spring-Summer-run Chinook Salmon ESU"
"18",2012,16407.9247149472,16294.2164769863,13145.9940835208,20303.1805306388,13621.0317648629,19585.1670806678,11627.668471792,9384.0284116492,14291.0646106648,9698.82445087323,13800.4478909098,15557,"Snake River Spring-Summer-run Chinook Salmon ESU"
