"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek","Snake River Spring-Summer-run Chinook Salmon ESU",101.706387886478,101.706387886478,94.5574084864205,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"2","Chinook Salmon (Snake River Spring/Summer-run ESU) - Big Creek","Snake River Spring-Summer-run Chinook Salmon ESU",30.6126688679303,30.6126688679303,28.9066201884268,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"3","Chinook Salmon (Snake River Spring/Summer-run ESU) - Camas Creek","Snake River Spring-Summer-run Chinook Salmon ESU",10.4995333586375,14.5096788476751,NA,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"4","Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek","Snake River Spring-Summer-run Chinook Salmon ESU",57.4200014616323,57.4200014616323,58.8494095360741,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"5","Chinook Salmon (Snake River Spring/Summer-run ESU) - Chamberlain Creek","Snake River Spring-Summer-run Chinook Salmon ESU",39.5330533163257,39.5330533163257,35.2126811206644,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"6","Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork Salmon River","Snake River Spring-Summer-run Chinook Salmon ESU",49.090340364,36.4118684121782,45.7805163218491,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"7","Chinook Salmon (Snake River Spring/Summer-run ESU) - East Fork South Fork Salmon River","Snake River Spring-Summer-run Chinook Salmon ESU",52.6493754636413,51.9018884655598,49.7661035100858,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"8","Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem","Snake River Spring-Summer-run Chinook Salmon ESU",33.2669124036496,33.2669124036496,31.6109804841124,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"9","Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem","Snake River Spring-Summer-run Chinook Salmon ESU",551.797914151226,277.393629557429,536.36068509512,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"10","Chinook Salmon (Snake River Spring/Summer-run ESU) - Lemhi River","Snake River Spring-Summer-run Chinook Salmon ESU",52.9756216898434,52.9756216898434,50.8816356683159,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
"11","Chinook Salmon (Snake River Spring/Summer-run ESU) - Loon Creek","Snake River Spring-Summer-run Chinook Salmon ESU",15.8189817064438,23.092300877045,NA,1995,1999,"Snake River Spring-Summer-run Chinook Salmon ESU"
