"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.00994925089239078,0.00546630578150979,0.135462179231975,-0.25605585480957,-0.0803430880264252,0.00962410465400674,0.101373168630706,0.275770461915634,614.112972663191,1.00359042184864
"mu[2]",0.0238340913579429,0.00548950087841065,0.135179884872074,-0.242668753316148,-0.0655776442878428,0.0242281580793483,0.11378374768661,0.288873107237731,606.398930474722,1.0037319851012
"mu[3]",-0.00726528960951058,0.00546486516979737,0.135798208073029,-0.275579598682676,-0.0986266098068228,-0.00684121523138094,0.0834458911458568,0.256334055376081,617.48892919748,1.00391600367712
"mu[4]",0.0110589226212409,0.00540688754102518,0.135497854822518,-0.255800774132762,-0.0791696457985354,0.0119735481479567,0.101172703800996,0.276314046253204,628.015215347385,1.00357029939847
"mu[5]",-0.00604015048390001,0.00543466865353581,0.136285602260071,-0.274379958724018,-0.0967229274525907,-0.00513338441927619,0.0853694157511606,0.259987271894972,628.859772091813,1.00324566525454
"mu[6]",-0.00296953678354481,0.00543350480551426,0.135195445343125,-0.270144634395299,-0.0932450007431696,-0.00185772173763152,0.0879882124182951,0.258540887427669,619.10457088738,1.003661176658
"mu[7]",0.0843275372842112,0.00537677508751539,0.137536616971647,-0.189288231661024,-0.00830513478492238,0.0845266261614678,0.176944751067408,0.354118639056766,654.324127928154,1.00346540913974
"mu[8]",0.0048680846378815,0.00543359585190206,0.135449392784237,-0.262741033712517,-0.085634861502316,0.00514818742536669,0.0960159816810539,0.267076422951909,621.411748065568,1.00359026129152
"mu[9]",-0.031363649264001,0.005415669068242,0.135319175113454,-0.299270406358787,-0.121892548625729,-0.0302065189878909,0.059601010586084,0.232178982599206,624.3303490965,1.003880256816
"mu[10]",0.0338645028886295,0.00546342827608365,0.135268802725983,-0.233541736325098,-0.0573068443815525,0.0344336487234677,0.12476072696751,0.299108151469159,613.006105498191,1.00389531403889
"mu[11]",0.00905501356995485,0.00542707391154465,0.135672252998002,-0.260705549792915,-0.0812653189926221,0.00948772118317708,0.100263403150594,0.276035227461789,624.95766859927,1.00323758475293
"mu[12]",0.0392120967419202,0.0054810081413292,0.134723608696666,-0.226327349431279,-0.0515576639204865,0.0400700718382014,0.130013807207506,0.304103157400759,604.180244030717,1.00369976609301
"mu[13]",0.0271169784474197,0.00544161953944962,0.136472801760729,-0.241411068978875,-0.0640463289950687,0.0267948038463302,0.11942201890705,0.294436308320392,628.978596628865,1.00388192489267
"mu[14]",0.0295375007904406,0.00537492665362236,0.135086916866652,-0.236448898398301,-0.062118494745486,0.0300464334925812,0.1213507927054,0.294123212283739,631.657264257566,1.00360256582543
"mu[15]",-0.0238841589153236,0.00556696964924224,0.139165771723458,-0.298445409916532,-0.11668888734885,-0.0236827504496137,0.0691715287355329,0.249251238107361,624.923933033371,1.00369435472825
"mu[16]",-0.000942024057106586,0.00536717245976778,0.13523316462494,-0.267281360840847,-0.0919284826158603,-0.000449833876446265,0.0903819960832976,0.26293361855811,634.85613611776,1.00384660809224
"mu[17]",0.0366160976147951,0.0054621370343812,0.13506218060334,-0.229227455110132,-0.053734749117704,0.0371911433909103,0.127159999027792,0.301993840920698,611.42378797114,1.00347004129373
"mu[18]",0.006896226647103,0.00547672511038302,0.135548576749171,-0.26135611096463,-0.0836948156975977,0.00807198034864142,0.097893347066541,0.270695069332499,612.559158267724,1.00385177195868
"mu[19]",-0.0453576505592149,0.00543575218916137,0.135700934382058,-0.313181944971735,-0.136575889458638,-0.0448730225264408,0.0462833942362144,0.2193734247688,623.227168269684,1.00374478005378
"mu[20]",0.0316019550910306,0.00539649591462247,0.135542594895486,-0.234698720429362,-0.0597240058858912,0.032735077113902,0.122744305887433,0.294596436249324,630.852583923351,1.00361895354581
"mu[21]",0.0157492167630149,0.00532716076109582,0.138658696559113,-0.2580570784002,-0.0770365737710352,0.01633001231513,0.109479727714305,0.286350573040172,677.48958122119,1.00292954749106
"mu[22]",-0.0724320377567953,0.00551712925782077,0.135603333866894,-0.339661589839027,-0.162952668482268,-0.0717320154156051,0.0185462416589754,0.193309250588823,604.107762311858,1.00390488886057
"mu[23]",-0.010064876546099,0.00541579044022123,0.135349967389099,-0.274475250408383,-0.100923423781026,-0.00981469781407998,0.0814676484308256,0.25563524158017,624.586521974682,1.00347128435309
"mu[24]",-0.0622971865106665,0.0054004700195459,0.135891657293776,-0.329582728818728,-0.153108550207675,-0.0619480087026879,0.0284257876527322,0.20646572302856,633.173122830517,1.00358050192908
"mu[25]",0.0390813078037715,0.00543454791323983,0.136559147981996,-0.230799364238283,-0.0526360118237249,0.0409586796553348,0.130751410653773,0.30803880130585,631.414793597854,1.00337418024653
"mu[26]",-0.0230645729721929,0.00542756695582817,0.135618970332013,-0.290395123762215,-0.114022986160651,-0.0229086532162797,0.0685057559835469,0.24233833991365,624.353435866183,1.00406802136329
"mu[27]",-0.0147517710182089,0.00545426887134422,0.136165033940116,-0.284097953518873,-0.106008878519142,-0.014902148380207,0.0776194145920468,0.25170353041195,623.244007470705,1.00336962886679
"sigma2_R",0.263703907037479,0.000377624335841697,0.026471219885196,0.213798895263176,0.245480226373852,0.263027826201023,0.281095070824912,0.31730639142391,4913.9186471108,1.00065144198448
"sigma2_Q",0.624166705854496,0.00280572861805877,0.176797182855002,0.372812730054911,0.499788564449097,0.593332091053503,0.714089910198336,1.05615819789063,3970.62943011433,1.00091306941611
"theta",0.793771088519558,0.00102431791983273,0.0613627042168926,0.660247471150055,0.755008591543708,0.799512894888999,0.83837490111935,0.89660039997466,3588.71888339746,1.00153554449172
