"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,21737.3949136475,8882.74562967331,3096.88072907326,74311.2254247971,3664.32668467892,42631.787388247,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"2",1996,12276.5906022726,6079.19436298345,2371.40692900534,42166.799394668,2740.46127273809,24942.1974191357,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"3",1997,9758.74237211892,5910.91652983545,2387.640764372,32884.4742890565,2737.44253347178,20300.7464463054,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"4",1998,8476.36123607886,5788.01993253456,2386.36414274153,26383.3965660451,2735.30946534165,17373.1897382117,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"5",1999,5635.5527394476,4151.55823717758,1686.41224364341,16489.0995168236,1948.15812653965,11500.7676908165,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"6",2000,5410.70210177529,4288.45291777389,1719.25165718106,14289.0041906502,1988.52305093866,10794.9750650478,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"7",2001,11872.8744504687,9997.72655184291,4573.64942404355,28774.7096657113,5167.14407363864,22583.5054226172,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"8",2002,16874.804651649,14812.1118480468,6965.48695658213,37450.6923555789,7844.48032689544,31070.1600513166,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"9",2003,14431.8449320287,13202.0595990879,6601.23369066175,28806.9167563964,7372.99120103622,24914.0976716372,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"10",2004,13597.6791039246,12593.5066170119,6407.57516625129,26370.3553982088,7172.18980915142,23132.3312223932,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"11",2005,15953.9891363124,14827.2295522529,7461.89000865538,30971.4941194106,8338.2900076871,27239.8317065262,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"12",2006,11260.9174453491,10536.1061499012,5507.1196681353,21072.0731331996,6109.87265913545,18780.4019527607,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"13",2007,6625.55542228006,6267.12247067004,3319.63263815774,12008.910551928,3679.56729480329,10824.2695129616,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"14",2008,6031.41105943278,5714.21300546317,3100.3110244384,10785.3834614274,3430.18238967189,9717.28343876794,NA,NA,NA,NA,NA,7388,"So Oregon - Northern CA coho"
"15",2009,2482.50414898874,2337.19269580054,1229.09234869773,4579.91940111872,1354.54869086121,4099.43488501613,NA,NA,NA,NA,NA,1486,"So Oregon - Northern CA coho"
"16",2010,2387.66365854407,2240.64685747411,1171.85029363184,4454.70329656722,1295.269592096,3974.49160757103,NA,NA,NA,NA,NA,2843,"So Oregon - Northern CA coho"
"17",2011,5309.92829947828,5021.92144783681,2748.36410915638,9504.53850789185,3026.45720356155,8550.03452669241,NA,NA,NA,NA,NA,5470,"So Oregon - Northern CA coho"
"18",2012,5563.25305619686,5262.57083780078,2882.31805512293,10007.48075601,3177.66921705855,8951.14039635425,NA,NA,NA,NA,NA,5726,"So Oregon - Northern CA coho"
"19",2013,6531.58059232414,6167.64428848496,3383.95042315703,11797.2074559602,3711.09321377038,10556.7030036021,NA,NA,NA,NA,NA,6541,"So Oregon - Northern CA coho"
"20",2014,9017.46135552595,8502.48865168374,4523.78905113333,16525.5762754773,4990.057973783,14733.5735060374,NA,NA,NA,NA,NA,14598,"So Oregon - Northern CA coho"
"21",2015,6195.22167140414,5865.3884578828,3160.82011118554,11081.4795502262,3492.28876820146,10001.1737458023,NA,NA,NA,NA,NA,4237,"So Oregon - Northern CA coho"
"22",2016,5598.21220065361,5287.95051747474,2833.29353577251,10111.938846239,3133.04855330242,9092.02316732744,NA,NA,NA,NA,NA,4878,"So Oregon - Northern CA coho"
"23",2017,6615.67833797764,6259.55612023368,3352.85185290149,11941.463445366,3706.50643211484,10745.437700596,NA,NA,NA,NA,NA,7209,"So Oregon - Northern CA coho"
"24",2018,7400.10293329642,6998.98226858754,3787.65915587581,13285.9151937663,4170.77092056098,11975.50506205,NA,NA,NA,NA,NA,5664,"So Oregon - Northern CA coho"
"25",2019,32675.3486897318,31282.9970737204,17757.2872209114,55589.8314761367,19440.4605310745,50648.4635473506,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"26",2020,10608.3421543031,9098.15729615966,3338.3379564203,26755.8556760961,3932.59843473755,22259.28893873,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
