"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"scottriv.coho","So Oregon - Northern CA coho",12801.1177557855,528935.039276408,881.300178161724,17.9822173374055,53682.989819921,34.9325772434797,25403.1407604974,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"2",1995,"shastariv.coho","So Oregon - Northern CA coho",491.595048781548,3032.5457413472,163.694165162774,13.5092557759653,2699.35049448625,20.8953833463243,1622.44047605328,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"3",1995,"elkriv.coho","So Oregon - Northern CA coho",70.5351321979299,37.3348114362254,62.4623762796242,23.4571387437853,165.319860388688,27.5996880354839,140.129290342123,NA,148,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"4",1995,"rogueriv.coho","So Oregon - Northern CA coho",5810.77682664709,3035.86055256135,5150.47693639771,1963.49836773765,13450.9356478895,2302.8834944774,11562.5679734478,NA,4364,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"5",1995,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",2563.3701502354,18825.4661265398,668.014231295141,41.6680075150383,14674.8408484021,68.1601841052467,8177.70559325073,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"6",1996,"scottriv.coho","So Oregon - Northern CA coho",6364.97051795743,255426.931939614,587.688590566071,14.6598305019781,30265.4936575381,28.3082349132724,14445.2579876595,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"7",1996,"shastariv.coho","So Oregon - Northern CA coho",272.847268936627,1181.15095013023,105.991859607572,10.1116787552284,1457.76068807587,15.0834643701668,911.290668701588,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"8",1996,"elkriv.coho","So Oregon - Northern CA coho",41.0077149466305,18.27212823392,37.5573603641232,16.1316612873627,86.029090356535,18.5041461295225,75.2166849054247,NA,23,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"9",1996,"rogueriv.coho","So Oregon - Northern CA coho",4107.12316725297,1839.01219243188,3748.24410693624,1621.09136197937,8642.3002986622,1862.954036978,7524.56991954493,NA,3359,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"10",1996,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",1490.64193317899,8909.50253703026,459.046087970479,34.071386303187,8348.56437559831,53.2519483281392,4878.31636655711,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"11",1997,"scottriv.coho","So Oregon - Northern CA coho",4144.16302401223,64139.055213908,533.562724567841,16.7249446801958,22550.3053845305,30.00936595897,11202.0388733673,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"12",1997,"shastariv.coho","So Oregon - Northern CA coho",205.819544795821,547.600768637472,95.0914421663934,10.7209251868091,1065.36089077631,15.9142398922829,680.334997096381,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"13",1997,"elkriv.coho","So Oregon - Northern CA coho",37.5218678192738,16.337567082853,34.4713324737514,15.1514406469636,77.8015680699632,17.3668299218049,68.2109377441304,NA,25,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"14",1997,"rogueriv.coho","So Oregon - Northern CA coho",4189.93404102519,1810.60968696379,3848.37831141588,1704.34825396759,8632.88989084533,1939.49607793139,7608.89475825113,NA,4824,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"15",1997,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",1181.30389446639,6366.61587938518,430.91150751591,39.6715191845635,6500.55913303595,59.4401917739041,3959.20817855429,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"16",1998,"scottriv.coho","So Oregon - Northern CA coho",3056.81624398284,37985.72616652,506.259733708733,19.5216752714887,17235.835929755,34.0320056725863,9010.24722731653,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"17",1998,"shastariv.coho","So Oregon - Northern CA coho",165.664730244207,354.527027191598,86.7833468729868,12.2808312720907,803.575330550937,17.0855092179321,530.946100536443,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"18",1998,"elkriv.coho","So Oregon - Northern CA coho",37.6770445096802,16.3063972185711,34.5995476880087,15.1749996309895,77.4630929165416,17.3326075363971,68.2505146191053,NA,25,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"19",1998,"rogueriv.coho","So Oregon - Northern CA coho",4256.39525564065,1843.08708875555,3907.80071243103,1732.26887034055,8777.87178068396,1978.72349004048,7709.73072127053,NA,7760,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"20",1998,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",959.807961701479,2978.44285739028,416.909076762056,46.9137206062337,4996.28200979645,66.8788592600545,3214.80348078089,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"21",1999,"scottriv.coho","So Oregon - Northern CA coho",1821.17954074943,12157.1107516423,391.105104995846,18.5104922173914,10521.6934784733,31.0544648918273,5656.81241211232,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"22",1999,"shastariv.coho","So Oregon - Northern CA coho",110.34451816247,182.789661147393,64.5900877056172,10.3947633221337,489.815418658517,13.9117064763768,340.52473640774,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"23",1999,"elkriv.coho","So Oregon - Northern CA coho",32.3679022632423,14.60816669972,29.5406521843363,12.3926880503418,68.6582657689566,14.3771096518749,60.1218948870245,NA,18,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"24",1999,"rogueriv.coho","So Oregon - Northern CA coho",3019.00939966605,1318.36002998939,2771.39968962143,1210.14672135422,6260.06758240124,1391.48101783466,5488.58587824382,NA,2257,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"25",1999,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",652.651378606412,1490.36361708987,325.84986106875,42.376975169794,3161.52454232527,59.6280728675598,2119.16572076285,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"26",2000,"scottriv.coho","So Oregon - Northern CA coho",1534.84631275366,8481.5775365648,414.841191248386,23.8642222379012,8568.11265437062,38.4036185327707,5028.54027722501,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"27",2000,"shastariv.coho","So Oregon - Northern CA coho",99.948601340369,127.982775518094,66.1665447225758,12.7436788862096,383.494098862179,17.0052823662239,286.996854047416,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"28",2000,"elkriv.coho","So Oregon - Northern CA coho",42.0837569204858,19.1253538918485,38.4300103509718,16.0438891784601,89.7046927778734,18.3929650870614,78.2571651417077,NA,19,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"29",2000,"rogueriv.coho","So Oregon - Northern CA coho",3125.20602195342,1386.07857105421,2866.30636766982,1208.30957753131,6519.82538994916,1401.57881962007,5725.02773966063,NA,1389,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"30",2000,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",608.617408807355,975.511789836725,352.905326895366,55.9875052232918,2719.58384635835,75.2090972545302,1886.77852211359,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"31",2001,"scottriv.coho","So Oregon - Northern CA coho",2700.98219335101,11706.750520837,910.651973142599,63.2964987288686,15164.261355571,99.8451638085177,9040.9368653369,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"32",2001,"shastariv.coho","So Oregon - Northern CA coho",180.239665006698,148.868432461335,140.437813182258,38.4493348429516,564.54994948355,47.717168474362,442.945107668711,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"33",2001,"elkriv.coho","So Oregon - Northern CA coho",128.466530583788,54.4798368494018,118.250900897911,54.1245709925978,263.265030827016,61.3705345148587,230.363461571044,NA,168,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"34",2001,"rogueriv.coho","So Oregon - Northern CA coho",7709.2793486902,3269.31625372472,7104.08383643284,3236.18972166175,15768.7706709676,3665.44138850228,13789.8103901562,NA,10978,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"35",2001,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",1153.90671283698,1345.66291258401,789.188392720049,167.804715551429,4276.46826960201,216.486555621175,3176.57533776117,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"36",2002,"scottriv.coho","So Oregon - Northern CA coho",3236.74660441486,11229.8114344927,1342.02350552519,113.768428789018,16869.0829379249,171.755482996313,10943.0468843864,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"37",2002,"shastariv.coho","So Oregon - Northern CA coho",224.591393153798,114.530447389814,199.66848503657,78.8219082437396,513.796142930628,91.4605030716798,439.896966789799,NA,291,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"38",2002,"elkriv.coho","So Oregon - Northern CA coho",246.29298825768,106.43052087213,225.426413391311,101.494318147733,510.520613312219,116.144595173029,444.220383028968,NA,385,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"39",2002,"rogueriv.coho","So Oregon - Northern CA coho",11654.4767740527,4976.6790856366,10698.0401461991,4873.75902444421,23926.3721440965,5536.0636279385,20987.4403269986,NA,12015,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"40",2002,"humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",1512.69689176996,1233.78457843986,1188.85607993153,331.986147750288,4620.14159413757,406.442373330095,3676.80278692967,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"41",2003,"scottriv.coho","So Oregon - Northern CA coho",2388.86673544477,5073.58056161806,1204.75686955748,128.543576959181,11671.5509970298,186.881002314136,7775.09065520815,NA,NA,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"42",2003,"shastariv.coho","So Oregon - Northern CA coho",173.966359921811,75.0519222906776,159.854577258289,71.0863076285943,358.419415152439,81.0425226374197,315.28634382493,NA,86,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
"43",2003,"elkriv.coho","So Oregon - Northern CA coho",253.907773503847,101.850357532832,236.22246352297,110.931989798868,500.56289439509,125.357496796765,442.953865079321,NA,284,NA,NA,NA,NA,NA,"So Oregon - Northern CA coho"
