"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","elkriv.coho","So Oregon - Northern CA coho",42.1065226837154,NA,32.8570383583626,1995,1999,"So Oregon - Northern CA coho"
"2","humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",1231.06895687064,NA,NA,1995,1999,"So Oregon - Northern CA coho"
"3","rogueriv.coho","So Oregon - Northern CA coho",4185.78680826652,NA,4155.07689191103,1995,1999,"So Oregon - Northern CA coho"
"4","scottriv.coho","So Oregon - Northern CA coho",4516.69373441734,NA,NA,1995,1999,"So Oregon - Northern CA coho"
"5","shastariv.coho","So Oregon - Northern CA coho",219.07807134615,NA,NA,1995,1999,"So Oregon - Northern CA coho"
"6","elkriv.coho","So Oregon - Northern CA coho",155.525758707366,NA,158.20931801749,2000,2004,"So Oregon - Northern CA coho"
"7","humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",1058.65297486602,NA,NA,2000,2004,"So Oregon - Northern CA coho"
"8","rogueriv.coho","So Oregon - Northern CA coho",7843.07690197477,NA,6377.1928129692,2000,2004,"So Oregon - Northern CA coho"
"9","scottriv.coho","So Oregon - Northern CA coho",2290.59733111811,NA,NA,2000,2004,"So Oregon - Northern CA coho"
"10","shastariv.coho","So Oregon - Northern CA coho",163.898221062614,NA,NA,2000,2004,"So Oregon - Northern CA coho"
"11","elkriv.coho","So Oregon - Northern CA coho",243.299384764294,NA,248.072383970236,2005,2009,"So Oregon - Northern CA coho"
"12","humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",535.075856856267,NA,501.788919046797,2005,2009,"So Oregon - Northern CA coho"
"13","rogueriv.coho","So Oregon - Northern CA coho",5445.55748322047,NA,4586.41610965195,2005,2009,"So Oregon - Northern CA coho"
"14","scottriv.coho","So Oregon - Northern CA coho",760.20965523857,NA,NA,2005,2009,"So Oregon - Northern CA coho"
"15","shastariv.coho","So Oregon - Northern CA coho",71.5823510439791,NA,74.9250633402812,2005,2009,"So Oregon - Northern CA coho"
"16","elkriv.coho","So Oregon - Northern CA coho",270.059692671505,NA,273.508433847428,2010,2014,"So Oregon - Northern CA coho"
"17","humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",359.350593504371,NA,262.463527980126,2010,2014,"So Oregon - Northern CA coho"
"18","rogueriv.coho","So Oregon - Northern CA coho",4219.5130950204,NA,4829.44323714733,2010,2014,"So Oregon - Northern CA coho"
"19","scottriv.coho","So Oregon - Northern CA coho",410.983084561342,NA,429.396917457363,2010,2014,"So Oregon - Northern CA coho"
"20","shastariv.coho","So Oregon - Northern CA coho",29.2462383201294,NA,24.3196893355789,2010,2014,"So Oregon - Northern CA coho"
"21","elkriv.coho","So Oregon - Northern CA coho",245.522695206757,NA,195.272574940207,2015,2019,"So Oregon - Northern CA coho"
"22","humboldtbay_freshwatercrk.coho","So Oregon - Northern CA coho",498.932698031049,NA,NA,2015,2019,"So Oregon - Northern CA coho"
"23","rogueriv.coho","So Oregon - Northern CA coho",6414.90935619875,NA,5814.36632311295,2015,2019,"So Oregon - Northern CA coho"
"24","scottriv.coho","So Oregon - Northern CA coho",416.689585018697,NA,365.144240981334,2015,2019,"So Oregon - Northern CA coho"
"25","shastariv.coho","So Oregon - Northern CA coho",35.6136868468161,NA,31.5143928758212,2015,2019,"So Oregon - Northern CA coho"
