"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,85453.054309799,83188.4111433312,54764.4975815375,128896.833704579,58579.6626281039,119687.144388449,NA,NA,NA,NA,NA,96442.99445763,"Southern Oregon Northern California Chinook salmon"
"2",1996,81738.2993894902,79702.6876247778,55195.9219275921,119486.038355682,58509.0072943054,111587.450351495,NA,NA,NA,NA,NA,72492.5295821,"Southern Oregon Northern California Chinook salmon"
"3",1997,66308.0323808949,64732.806026824,44777.2947795842,96937.5765598454,47518.6930558337,90422.1865508187,NA,NA,NA,NA,NA,62318.1510664,"Southern Oregon Northern California Chinook salmon"
"4",1998,57489.994568196,56066.6335727456,38317.8303721247,85422.6202155101,40638.9179877863,79425.3529729385,NA,NA,NA,NA,NA,54512.70115531,"Southern Oregon Northern California Chinook salmon"
"5",1999,62129.4868226413,60463.9204237897,41119.7541221977,92641.7055597007,43676.191882118,86338.2866943239,NA,NA,NA,NA,NA,51117.12365667,"Southern Oregon Northern California Chinook salmon"
"6",2000,89090.1270055748,86779.3105097273,57732.3769171441,134153.221238787,61510.3334664853,124486.325427477,NA,NA,NA,NA,NA,104935.444035374,"Southern Oregon Northern California Chinook salmon"
"7",2001,117048.89334475,113951.067819628,77288.6881449419,174098.4518382,82090.9852954746,162282.451601135,NA,NA,NA,NA,NA,97145.27364149,"Southern Oregon Northern California Chinook salmon"
"8",2002,183352.134720199,178680.792465338,118297.571248284,274713.217347208,126089.673541821,256208.560010764,NA,NA,NA,NA,NA,205883.60103562,"Southern Oregon Northern California Chinook salmon"
"9",2003,213676.532884972,207789.638013486,134764.608716029,325593.122673636,144097.164524029,302468.036981929,NA,NA,NA,NA,NA,253900.52968541,"Southern Oregon Northern California Chinook salmon"
"10",2004,143175.802116288,139597.939537665,90513.6001062308,216741.983929785,97171.7047845078,201484.969104925,137016.78109452,86459.1022716062,207753.983353706,92857.0568727055,193029.392765258,165652.442939465,"Southern Oregon Northern California Chinook salmon"
"11",2005,72947.3803176281,71027.289507077,46736.538941375,110137.050105696,49981.4558010906,102484.008452049,69026.0214034646,44132.5429018392,104385.146971465,47199.3647210616,97179.3239724074,69591.787168394,"Southern Oregon Northern California Chinook salmon"
"12",2006,46472.2047059844,45169.5105189106,29849.4480878989,70606.5689509874,31830.0938354979,65471.2148124971,43218.4372343544,27730.0416698152,65728.293981689,29580.5671225951,60945.2162883867,43090.583026762,"Southern Oregon Northern California Chinook salmon"
"13",2007,48071.4059482105,46718.6940043517,30600.7170384704,73385.235740411,32708.4173239548,68064.1534265183,43441.6240100034,27630.01121793,66416.000349618,29514.1694579454,61603.7587087686,53262.260406999,"Southern Oregon Northern California Chinook salmon"
"14",2008,45999.2206545115,44664.8633496114,29929.2487325728,69736.4975053918,31840.0760006299,64738.8287144665,41646.5745599761,27117.8469450146,63089.949623387,28838.1287209283,58579.2911917576,35014.35385252,"Southern Oregon Northern California Chinook salmon"
"15",2009,85051.455353298,82957.3924921246,56545.4450320557,125648.926101591,60088.7643479765,117505.423133036,81792.2963957458,54280.688373173,121065.569773682,57689.8979359291,113157.056473356,88057.085643336,"Southern Oregon Northern California Chinook salmon"
"16",2010,88793.7849180622,86630.4368977082,60079.0524510809,129609.544029454,63673.0119799592,121371.817035926,84714.5374207872,57163.4172952761,123997.957671268,60599.310288041,116010.19922485,81573.98775742,"Southern Oregon Northern California Chinook salmon"
"17",2011,100767.27334258,98341.7577577904,67393.6577308624,148006.008427854,71549.5867763762,138289.600626023,96937.992697361,64637.629380523,142600.690100369,68698.1295685892,133285.149959082,99023.18557098,"Southern Oregon Northern California Chinook salmon"
"18",2012,82657.8226370104,80628.6235002907,54124.4006492303,123210.786379052,57691.5370994206,114931.489392632,78608.3669604083,51438.4069772364,117251.851538968,54828.6461619054,109364.447371448,90733.33519407,"Southern Oregon Northern California Chinook salmon"
"19",2013,86661.954163709,84602.4588054064,56687.805546042,129584.294702367,60279.9325368854,120472.57673962,83257.2887351885,54202.5169226895,124907.318287813,57689.5502060899,116067.499111261,102954.99116065,"Southern Oregon Northern California Chinook salmon"
"20",2014,85610.9556676778,83502.3367216841,57526.6304588813,126151.15393558,61039.8981515875,117513.623360961,81773.5728445152,54904.0754028171,120590.295306176,58257.0928548667,112314.655629578,76187.76894117,"Southern Oregon Northern California Chinook salmon"
"21",2015,77583.9510294279,75574.9135544943,52999.9592384358,113566.1903747,56062.9465154732,105838.777075333,73470.306487975,50355.0415267341,107196.505603244,53239.587988076,99958.0486750811,62365.9331105,"Southern Oregon Northern California Chinook salmon"
"22",2016,61971.2475126489,60412.5434605632,42003.1009158814,90973.5847158125,44422.5387627891,84990.7834657983,58262.6804973721,39632.0337541404,85269.9955433127,41901.6109570633,79719.6454736234,49126.61783089,"Southern Oregon Northern California Chinook salmon"
