"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Blue Creek (Klamath) fall Chinook","Southern Oregon Northern California Chinook salmon",368.08428144764,368.08428144764,338.612742715665,1995,1999,"Southern Oregon Northern California Chinook salmon"
"2","Chetco fall Chinook","Southern Oregon Northern California Chinook salmon",6169.01114217793,5065.71042386224,5775.47942412227,1995,1999,"Southern Oregon Northern California Chinook salmon"
"3","Hunter fall Chinook","Southern Oregon Northern California Chinook salmon",1162.70122100657,928.739572193575,1230.99039734571,1995,1999,"Southern Oregon Northern California Chinook salmon"
"4","Pistol fall Chinook","Southern Oregon Northern California Chinook salmon",1699.238216701,1437.08995792677,1644.91901551229,1995,1999,"Southern Oregon Northern California Chinook salmon"
"5","Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",46840.9077504295,44679.4428339453,42714.4486240609,1995,1999,"Southern Oregon Northern California Chinook salmon"
"6","Rogue spring Chinook","Southern Oregon Northern California Chinook salmon",8578.11440031142,NA,8522.58342540915,1995,1999,"Southern Oregon Northern California Chinook salmon"
"7","Winchuck fall Chinook","Southern Oregon Northern California Chinook salmon",1319.59528602451,1231.3892408275,1350.82030342011,1995,1999,"Southern Oregon Northern California Chinook salmon"
"8","lower Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",2873.41720068087,2781.54159833908,2434.52189641679,1995,1999,"Southern Oregon Northern California Chinook salmon"
"9","Blue Creek (Klamath) fall Chinook","Southern Oregon Northern California Chinook salmon",457.608666930917,457.608666930917,462.287909546893,2000,2004,"Southern Oregon Northern California Chinook salmon"
"10","Chetco fall Chinook","Southern Oregon Northern California Chinook salmon",4593.75741681365,3753.84421211791,4704.66210306039,2000,2004,"Southern Oregon Northern California Chinook salmon"
"11","Hunter fall Chinook","Southern Oregon Northern California Chinook salmon",685.526179097273,671.815655515286,539.263054777885,2000,2004,"Southern Oregon Northern California Chinook salmon"
"12","Pistol fall Chinook","Southern Oregon Northern California Chinook salmon",1942.46076517139,1903.61154986522,1871.68379929556,2000,2004,"Southern Oregon Northern California Chinook salmon"
"13","Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",106078.646354183,102589.444948131,112814.971691189,2000,2004,"Southern Oregon Northern California Chinook salmon"
"14","Rogue spring Chinook","Southern Oregon Northern California Chinook salmon",9394.92000181319,10188.8226987715,8949.3620342063,2000,2004,"Southern Oregon Northern California Chinook salmon"
"15","Winchuck fall Chinook","Southern Oregon Northern California Chinook salmon",1000.43619378275,962.561156930389,927.115688787136,2000,2004,"Southern Oregon Northern California Chinook salmon"
"16","lower Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",17302.6370571883,16826.7919122719,20665.0754621082,2000,2004,"Southern Oregon Northern California Chinook salmon"
"17","Blue Creek (Klamath) fall Chinook","Southern Oregon Northern California Chinook salmon",268.822505167486,268.822505167486,252.200748411393,2005,2009,"Southern Oregon Northern California Chinook salmon"
"18","Chetco fall Chinook","Southern Oregon Northern California Chinook salmon",1857.06735418955,1636.34587759395,1685.35532473281,2005,2009,"Southern Oregon Northern California Chinook salmon"
"19","Hunter fall Chinook","Southern Oregon Northern California Chinook salmon",372.136027331038,364.69330678283,388.400597917997,2005,2009,"Southern Oregon Northern California Chinook salmon"
"20","Pistol fall Chinook","Southern Oregon Northern California Chinook salmon",1314.45465970544,1288.16556650819,1371.10694147056,2005,2009,"Southern Oregon Northern California Chinook salmon"
"21","Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",43545.1969032702,40641.2497590186,40866.5620753847,2005,2009,"Southern Oregon Northern California Chinook salmon"
"22","Rogue spring Chinook","Southern Oregon Northern California Chinook salmon",5073.97336875659,4316.62010051617,4568.4841575599,2005,2009,"Southern Oregon Northern California Chinook salmon"
"23","Winchuck fall Chinook","Southern Oregon Northern California Chinook salmon",553.913519256882,532.943171433837,522.137837798472,2005,2009,"Southern Oregon Northern California Chinook salmon"
"24","lower Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",4174.14090299023,4060.56597064575,3527.42360927233,2005,2009,"Southern Oregon Northern California Chinook salmon"
"25","Blue Creek (Klamath) fall Chinook","Southern Oregon Northern California Chinook salmon",752.178427805862,752.178427805862,783.854903065106,2010,2014,"Southern Oregon Northern California Chinook salmon"
"26","Chetco fall Chinook","Southern Oregon Northern California Chinook salmon",5507.61707719024,4785.4503565428,5370.12363247368,2010,2014,"Southern Oregon Northern California Chinook salmon"
"27","Hunter fall Chinook","Southern Oregon Northern California Chinook salmon",792.80746016797,777.095849474485,767.226529233695,2010,2014,"Southern Oregon Northern California Chinook salmon"
"28","Pistol fall Chinook","Southern Oregon Northern California Chinook salmon",1259.82789331853,1234.86101751037,1146.37678643206,2010,2014,"Southern Oregon Northern California Chinook salmon"
"29","Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",61393.0354043674,59147.2328831865,60932.4423149945,2010,2014,"Southern Oregon Northern California Chinook salmon"
"30","Rogue spring Chinook","Southern Oregon Northern California Chinook salmon",10510.8536858095,9942.01332977492,9978.05713301248,2010,2014,"Southern Oregon Northern California Chinook salmon"
"31","Winchuck fall Chinook","Southern Oregon Northern California Chinook salmon",993.071826563073,952.964430380294,887.281569293065,2010,2014,"Southern Oregon Northern California Chinook salmon"
"32","lower Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",6930.4580099607,6651.11111555442,6906.51309510199,2010,2014,"Southern Oregon Northern California Chinook salmon"
"33","Blue Creek (Klamath) fall Chinook","Southern Oregon Northern California Chinook salmon",236.385797046315,236.385797046315,210.838200518421,2015,2019,"Southern Oregon Northern California Chinook salmon"
"34","Chetco fall Chinook","Southern Oregon Northern California Chinook salmon",2497.00926981027,2380.78563774553,2361.04469845128,2015,2019,"Southern Oregon Northern California Chinook salmon"
"35","Hunter fall Chinook","Southern Oregon Northern California Chinook salmon",305.522882299678,299.152229868326,295.156256128524,2015,2019,"Southern Oregon Northern California Chinook salmon"
"36","Pistol fall Chinook","Southern Oregon Northern California Chinook salmon",604.530645271731,591.925191312574,524.113550983883,2015,2019,"Southern Oregon Northern California Chinook salmon"
"37","Rogue fall Chinook","Southern Oregon Northern California Chinook salmon",37508.8397739827,35522.3569645303,34325.5308380899,2015,2019,"Southern Oregon Northern California Chinook salmon"
"38","Rogue spring Chinook","Southern Oregon Northern California Chinook salmon",8908.64523139443,8712.40042013647,9644.52666217205,2015,2019,"Southern Oregon Northern California Chinook salmon"
"39","Winchuck fall Chinook","Southern Oregon Northern California Chinook salmon",844.991153145579,822.040778264345,882.3602855093,2015,2019,"Southern Oregon Northern California Chinook salmon"
