"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0291028022931136,0.00117724349863524,0.104317378509608,-0.233176551722623,-0.0982898195368123,-0.0294739164945049,0.0400252493608975,0.17560619159536,7852.00790260419,1.0001464566899
"mu[2]",-0.0666813984412944,0.00121506630025633,0.103914466183395,-0.268243107590509,-0.135678934200385,-0.0665868168436852,0.0017756979483568,0.139409486101065,7313.9513977059,1.00035903475821
"mu[3]",-0.0853199181058845,0.0012070552121576,0.10387622082564,-0.291320220254959,-0.153734880155297,-0.0853912665938763,-0.0165088981909278,0.119394983997382,7405.90284634754,1.0004109488075
"mu[4]",-0.0386317857899011,0.00120179053810277,0.103886526459613,-0.242431721473668,-0.10828489868385,-0.039182823455123,0.0299416664280977,0.167839368320156,7472.41339231271,1.00026217325295
"mu[5]",-0.0185035837352104,0.00123548987041794,0.103911578027932,-0.222950708890192,-0.0874968761013853,-0.0185221763924489,0.0508237737381958,0.185436735609639,7073.74666638303,1.0001652123709
"mu[6]",-0.0323672735777459,0.00121123706607989,0.103828657359522,-0.235713362526755,-0.101326841706101,-0.0328863510514117,0.0358609539952507,0.17329393602833,7348.11883157354,1.00018107115953
"mu[7]",-0.011705964381559,0.00118555287648068,0.104579611925521,-0.215672496826218,-0.0803855004661833,-0.0123606357051874,0.0568539705068816,0.197022536739417,7781.30063162736,1.00030673192451
"mu[8]",-0.0411707953370756,0.00124014863872495,0.104473853036921,-0.248888938828849,-0.110102715808111,-0.040562517830602,0.028600645526896,0.162429817867679,7096.88457943239,1.00039905918161
"sigma2_R",0.159296100041146,0.000577182106904173,0.0389206731359913,0.0868409013982347,0.132528880391346,0.157645384037953,0.184321654206702,0.240281908189228,4547.10483695957,1.00141469420514
"sigma2_Q",0.272249692012591,0.000858381035105905,0.0698560019368216,0.157210259440902,0.223018296216032,0.264674584125506,0.313371256411844,0.429999038249463,6622.88515906222,1.00081773159711
"theta",0.44044902301676,0.00154231917985706,0.127813630709766,0.202765335024067,0.34977307275602,0.436274244542221,0.528766373593254,0.695919427910594,6867.6131676159,1.00063642591318
