"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,13740.1665037615,13659.3537021851,11100.2314308648,16834.6571317365,11486.2317804903,16281.8363085397,NA,NA,NA,NA,NA,NA,"Southwest Washington Steelhead"
"2",1996,10983.4611509823,10947.8367213973,9181.58087060607,13007.1705672206,9446.76219152468,12662.9513271477,NA,NA,NA,NA,NA,11179,"Southwest Washington Steelhead"
"3",1997,8845.2534812855,8809.24667824995,7404.27791714867,10478.6468075693,7616.40615499159,10192.7138745146,NA,NA,NA,NA,NA,10330,"Southwest Washington Steelhead"
"4",1998,12479.6017994312,12434.6242071139,10484.2206115538,14757.2835932255,10779.8138840938,14356.5812478351,NA,NA,NA,NA,NA,11243,"Southwest Washington Steelhead"
"5",1999,15394.9680714354,15328.0494913224,12976.9984182024,18171.0291109336,13334.226318894,17670.4167413949,NA,NA,NA,NA,NA,16779,"Southwest Washington Steelhead"
"6",2000,27429.4884755151,27333.3125036659,23123.7241440805,32398.085873112,23715.5894767951,31490.0759192074,NA,NA,NA,NA,NA,26635,"Southwest Washington Steelhead"
"7",2001,20992.3677557029,20905.1926998958,17711.0922981378,24766.1191022878,18163.716780072,24116.7327441261,NA,NA,NA,NA,NA,18891,"Southwest Washington Steelhead"
"8",2002,18024.5928296026,17945.5851434191,15214.8056234426,21283.8350715858,15604.6446721466,20708.0683440848,NA,NA,NA,NA,NA,20071,"Southwest Washington Steelhead"
"9",2003,17641.9247000309,17572.3461514384,14885.7241723977,20823.8340670499,15284.1891717016,20240.7164231607,NA,NA,NA,NA,NA,16676,"Southwest Washington Steelhead"
"10",2004,27018.2879513102,26920.6727894396,22695.4897681109,32011.4408692605,23319.7578287142,31088.5855363576,NA,NA,NA,NA,NA,27964,"Southwest Washington Steelhead"
"11",2005,14040.4070799246,13988.4347974838,11810.2278081347,16590.2322598828,12136.804068502,16149.5161860338,NA,NA,NA,NA,NA,15086,"Southwest Washington Steelhead"
"12",2006,16763.6246260909,16704.2928757339,14094.9537379604,19788.6519452153,14507.7667718383,19245.60365268,NA,NA,NA,NA,NA,18047,"Southwest Washington Steelhead"
"13",2007,13424.8732493871,13372.8547684449,11310.0599738815,15819.3316556468,11631.6685302916,15384.7402951964,NA,NA,NA,NA,NA,13633,"Southwest Washington Steelhead"
"14",2008,12084.4682650408,12042.3619958187,10180.2871325911,14223.2979707606,10454.9226779585,13861.0014457856,NA,NA,NA,NA,NA,11834,"Southwest Washington Steelhead"
"15",2009,10767.9332807798,10728.6522854566,9085.50046349045,12675.1092263838,9340.45586541089,12344.4986938484,NA,NA,NA,NA,NA,11135,"Southwest Washington Steelhead"
"16",2010,14488.9030336049,14424.9938041217,12238.1483878974,17066.2250923408,12555.8842559791,16620.4120376825,NA,NA,NA,NA,NA,13255,"Southwest Washington Steelhead"
"17",2011,11721.6287441598,11678.8191686311,9890.66170451146,13779.7418432972,10155.5383376668,13421.650252875,NA,NA,NA,NA,NA,12463,"Southwest Washington Steelhead"
"18",2012,12805.383993505,12754.7653201128,10783.349484057,15099.554577546,11096.2553982087,14692.5069635397,NA,NA,NA,NA,NA,13254,"Southwest Washington Steelhead"
"19",2013,16317.5204523954,16243.1081426043,13750.298676728,19244.6598663126,14120.025139736,18740.6566203267,NA,NA,NA,NA,NA,17646,"Southwest Washington Steelhead"
"20",2014,11968.2412844187,11918.1750270259,10043.4638397557,14147.9439335162,10338.3918025673,13760.8123492119,NA,NA,NA,NA,NA,11673,"Southwest Washington Steelhead"
"21",2015,20534.1079830808,20452.2761532295,17266.5494932832,24224.7811940535,17748.4299447818,23590.2987354509,NA,NA,NA,NA,NA,19976,"Southwest Washington Steelhead"
"22",2016,15791.4484509672,15725.9144444832,13313.0136879946,18630.3139351714,13676.6849635865,18122.6548436987,NA,NA,NA,NA,NA,16110,"Southwest Washington Steelhead"
"23",2017,11058.8993033625,11023.0141391007,9286.69670307406,13024.3223770998,9563.90127315957,12683.1983433925,NA,NA,NA,NA,NA,10279,"Southwest Washington Steelhead"
"24",2018,9721.58250940789,9689.79845224654,8166.27056411567,11467.1186109051,8391.77489083254,11157.8592850957,NA,NA,NA,NA,NA,11544,"Southwest Washington Steelhead"
"25",2019,12692.0830162706,12646.0374861106,10649.9385219835,15019.6821593542,10945.9586039577,14597.2049235864,NA,NA,NA,NA,NA,12720,"Southwest Washington Steelhead"
"26",2020,9679.22817951731,9626.31118204436,7744.10839677406,11923.7458458412,8021.40328585777,11531.3149784923,NA,NA,NA,NA,NA,NA,"Southwest Washington Steelhead"
