"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Bear River Winter Steelhead-","Southwest Washington Steelhead",226.546666754185,219.725540253244,NA,1995,1999,"Southwest Washington Steelhead"
"2","Chehalis Winter Steelhead-","Southwest Washington Steelhead",1634.74641647524,1634.74641647524,1667.26612366232,1995,1999,"Southwest Washington Steelhead"
"3","Elochoman/Skamokawa Winter Steelhead-Elochoman River Winter Steelhead","Southwest Washington Steelhead",93.0698366129121,NA,79.8940396818027,1995,1999,"Southwest Washington Steelhead"
"4","Elochoman/Skamokawa Winter Steelhead-Skamokawa Creek Winter Steelhead","Southwest Washington Steelhead",133.448977950831,NA,140.560026400513,1995,1999,"Southwest Washington Steelhead"
"5","Grays/Chinook Winter Steelhead-Grays River Winter Steelhead","Southwest Washington Steelhead",372.016804790281,372.016804790281,340.068689999198,1995,1999,"Southwest Washington Steelhead"
"6","Hoquiam Winter Steelhead-","Southwest Washington Steelhead",370.582486296592,370.582486296592,416.995382970255,1995,1999,"Southwest Washington Steelhead"
"7","Humptulips Winter Steelhead-","Southwest Washington Steelhead",1263.99078966957,1263.99078966957,1348.95728291977,1995,1999,"Southwest Washington Steelhead"
"8","Mill/Abernathy/Germany Creeks Winter Steelhead-","Southwest Washington Steelhead",128.661477940971,NA,115.742492694708,1995,1999,"Southwest Washington Steelhead"
"9","Naselle Winter Steelhead-","Southwest Washington Steelhead",967.236716421674,967.236716421674,922.992783553755,1995,1999,"Southwest Washington Steelhead"
"10","Nemah Winter Steelhead-","Southwest Washington Steelhead",383.269897198789,383.269897198789,321.579757691632,1995,1999,"Southwest Washington Steelhead"
"11","North River/Smith Creek Winter Steelhead-","Southwest Washington Steelhead",512.072003236397,509.964660455271,NA,1995,1999,"Southwest Washington Steelhead"
"12","Palix Winter Steelhead-","Southwest Washington Steelhead",56.5645287345792,55.9713973908784,NA,1995,1999,"Southwest Washington Steelhead"
"13","Satsop Winter Steelhead-","Southwest Washington Steelhead",2290.16060243073,2290.16060243073,2500.22110081217,1995,1999,"Southwest Washington Steelhead"
"14","Skookumchuck/Newaukum Winter Steelhead-","Southwest Washington Steelhead",1031.09184936545,1006.82658672823,NA,1995,1999,"Southwest Washington Steelhead"
"15","Willapa Winter Steelhead-","Southwest Washington Steelhead",605.069775308289,605.069775308289,532.091068075672,1995,1999,"Southwest Washington Steelhead"
"16","Wishkah Winter Steelhead-","Southwest Washington Steelhead",360.757869475029,360.757869475029,339.59648391528,1995,1999,"Southwest Washington Steelhead"
"17","Wynoochee Winter Steelhead-","Southwest Washington Steelhead",1622.96827377464,1622.96827377464,1754.91420605538,1995,1999,"Southwest Washington Steelhead"
"18","Bear River Winter Steelhead-","Southwest Washington Steelhead",395.297019851803,395.297019851803,466.423305092363,2000,2004,"Southwest Washington Steelhead"
"19","Chehalis Winter Steelhead-","Southwest Washington Steelhead",3018.19181588289,3018.19181588289,2802.64781786269,2000,2004,"Southwest Washington Steelhead"
"20","Elochoman/Skamokawa Winter Steelhead-Elochoman River Winter Steelhead","Southwest Washington Steelhead",328.978165842357,NA,374.015296765309,2000,2004,"Southwest Washington Steelhead"
"21","Elochoman/Skamokawa Winter Steelhead-Skamokawa Creek Winter Steelhead","Southwest Washington Steelhead",247.978893085617,NA,227.332115516611,2000,2004,"Southwest Washington Steelhead"
"22","Grays/Chinook Winter Steelhead-Grays River Winter Steelhead","Southwest Washington Steelhead",923.16373029565,923.16373029565,1034.08743732865,2000,2004,"Southwest Washington Steelhead"
"23","Hoquiam Winter Steelhead-","Southwest Washington Steelhead",485.886387523404,485.886387523404,399.949041126995,2000,2004,"Southwest Washington Steelhead"
"24","Humptulips Winter Steelhead-","Southwest Washington Steelhead",2489.54732886555,2489.54732886555,2143.61751848365,2000,2004,"Southwest Washington Steelhead"
"25","Mill/Abernathy/Germany Creeks Winter Steelhead-","Southwest Washington Steelhead",387.812157291038,NA,393.190177804709,2000,2004,"Southwest Washington Steelhead"
"26","Naselle Winter Steelhead-","Southwest Washington Steelhead",1640.05685984276,1640.05685984276,1761.51051253369,2000,2004,"Southwest Washington Steelhead"
"27","Nemah Winter Steelhead-","Southwest Washington Steelhead",799.654317299641,799.654317299641,989.264364662058,2000,2004,"Southwest Washington Steelhead"
"28","North River/Smith Creek Winter Steelhead-","Southwest Washington Steelhead",958.236253661673,958.236253661673,1018.83869186526,2000,2004,"Southwest Washington Steelhead"
"29","Palix Winter Steelhead-","Southwest Washington Steelhead",108.548136323141,108.548136323141,114.187817043639,2000,2004,"Southwest Washington Steelhead"
"30","Satsop Winter Steelhead-","Southwest Washington Steelhead",3647.65673540513,3647.65673540513,3131.1960509679,2000,2004,"Southwest Washington Steelhead"
"31","Skookumchuck/Newaukum Winter Steelhead-","Southwest Washington Steelhead",1870.89511785066,1870.89511785066,1722.47607729784,2000,2004,"Southwest Washington Steelhead"
"32","Willapa Winter Steelhead-","Southwest Washington Steelhead",1263.03345633187,1263.03345633187,1420.63654840876,2000,2004,"Southwest Washington Steelhead"
"33","Wishkah Winter Steelhead-","Southwest Washington Steelhead",732.148998540148,732.148998540148,742.251320102529,2000,2004,"Southwest Washington Steelhead"
"34","Wynoochee Winter Steelhead-","Southwest Washington Steelhead",2494.05567833458,2494.05567833458,2088.14378734819,2000,2004,"Southwest Washington Steelhead"
"35","Bear River Winter Steelhead-","Southwest Washington Steelhead",187.845490367409,187.845490367409,155.896433660391,2005,2009,"Southwest Washington Steelhead"
"36","Chehalis Winter Steelhead-","Southwest Washington Steelhead",1801.46400928026,1801.46400928026,1909.57669076304,2005,2009,"Southwest Washington Steelhead"
"37","Elochoman/Skamokawa Winter Steelhead-Elochoman River Winter Steelhead","Southwest Washington Steelhead",280.829831084902,NA,275.465084823193,2005,2009,"Southwest Washington Steelhead"
"38","Elochoman/Skamokawa Winter Steelhead-Skamokawa Creek Winter Steelhead","Southwest Washington Steelhead",155.94841470572,NA,161.23624038358,2005,2009,"Southwest Washington Steelhead"
"39","Grays/Chinook Winter Steelhead-Grays River Winter Steelhead","Southwest Washington Steelhead",581.940974708562,581.940974708562,616.878988681905,2005,2009,"Southwest Washington Steelhead"
"40","Hoquiam Winter Steelhead-","Southwest Washington Steelhead",343.879742235057,343.879742235057,334.024043303,2005,2009,"Southwest Washington Steelhead"
"41","Humptulips Winter Steelhead-","Southwest Washington Steelhead",1743.3225957778,1743.3225957778,1809.54947521399,2005,2009,"Southwest Washington Steelhead"
"42","Mill/Abernathy/Germany Creeks Winter Steelhead-","Southwest Washington Steelhead",325.595754292742,NA,386.038053964021,2005,2009,"Southwest Washington Steelhead"
"43","Naselle Winter Steelhead-","Southwest Washington Steelhead",800.05705988695,800.05705988695,680.05328348087,2005,2009,"Southwest Washington Steelhead"
"44","Nemah Winter Steelhead-","Southwest Washington Steelhead",402.441396266711,402.441396266711,364.081725850946,2005,2009,"Southwest Washington Steelhead"
"45","North River/Smith Creek Winter Steelhead-","Southwest Washington Steelhead",505.779921335584,505.779921335584,426.803934392803,2005,2009,"Southwest Washington Steelhead"
"46","Palix Winter Steelhead-","Southwest Washington Steelhead",67.933089200187,67.933089200187,53.4288037489551,2005,2009,"Southwest Washington Steelhead"
"47","Satsop Winter Steelhead-","Southwest Washington Steelhead",2224.77815473799,2224.77815473799,2285.42947779087,2005,2009,"Southwest Washington Steelhead"
"48","Skookumchuck/Newaukum Winter Steelhead-","Southwest Washington Steelhead",1091.36891075177,1091.36891075177,1210.2666745784,2005,2009,"Southwest Washington Steelhead"
"49","Willapa Winter Steelhead-","Southwest Washington Steelhead",687.551380040247,687.551380040247,660.157097647511,2005,2009,"Southwest Washington Steelhead"
"50","Wishkah Winter Steelhead-","Southwest Washington Steelhead",439.683104639392,439.683104639392,417.981293869354,2005,2009,"Southwest Washington Steelhead"
"51","Wynoochee Winter Steelhead-","Southwest Washington Steelhead",1618.9518247938,1618.9518247938,1748.26312451953,2005,2009,"Southwest Washington Steelhead"
