"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Bear River Winter Steelhead-","Total",1995,2020,-0.0244664132540065,0.00842129303067568,"Southwest Washington Steelhead"
"2","Bear River Winter Steelhead-","Natural",1995,2020,-0.0242068045749934,0.00976986111982704,"Southwest Washington Steelhead"
"3","Chehalis Winter Steelhead-","Total",1995,2020,-0.00146845466124397,0.00774726318296971,"Southwest Washington Steelhead"
"4","Chehalis Winter Steelhead-","Natural",1995,2020,-0.00146845466124397,0.00774726318296971,"Southwest Washington Steelhead"
"5","Elochoman/Skamokawa Winter Steelhead-Elochoman River Winter Steelhead","Total",1995,2020,0.0586418463468444,0.0104475530435266,"Southwest Washington Steelhead"
"6","Elochoman/Skamokawa Winter Steelhead-Skamokawa Creek Winter Steelhead","Total",1995,2020,-1.83977591725673e-05,0.00798571023405921,"Southwest Washington Steelhead"
"7","Grays/Chinook Winter Steelhead-Grays River Winter Steelhead","Total",1995,2020,0.00700023076640351,0.00946149573840747,"Southwest Washington Steelhead"
"8","Grays/Chinook Winter Steelhead-Grays River Winter Steelhead","Natural",1995,2020,0.00700023076640351,0.00946149573840747,"Southwest Washington Steelhead"
"9","Hoquiam Winter Steelhead-","Total",1995,2020,-0.015957227223543,0.00641150274270451,"Southwest Washington Steelhead"
"10","Hoquiam Winter Steelhead-","Natural",1995,2020,-0.015957227223543,0.00641150274270451,"Southwest Washington Steelhead"
"11","Humptulips Winter Steelhead-","Total",1995,2020,-0.00115348839279786,0.00820888364838301,"Southwest Washington Steelhead"
"12","Humptulips Winter Steelhead-","Natural",1995,2020,-0.00115348839279786,0.00820888364838301,"Southwest Washington Steelhead"
"13","Mill/Abernathy/Germany Creeks Winter Steelhead-","Total",1995,2020,0.0267058340928595,0.010844360849303,"Southwest Washington Steelhead"
"14","Naselle Winter Steelhead-","Total",1995,2020,-0.0279777952036894,0.00790760419671428,"Southwest Washington Steelhead"
"15","Naselle Winter Steelhead-","Natural",1995,2020,-0.0258624260210011,0.00846486968119084,"Southwest Washington Steelhead"
"16","Nemah Winter Steelhead-","Total",1995,2020,-0.00659343616598368,0.00867578371645789,"Southwest Washington Steelhead"
"17","Nemah Winter Steelhead-","Natural",1995,2020,-0.00527323663399169,0.00936362685752458,"Southwest Washington Steelhead"
"18","North River/Smith Creek Winter Steelhead-","Total",1995,2020,-0.00885797943977581,0.00816777802218806,"Southwest Washington Steelhead"
"19","North River/Smith Creek Winter Steelhead-","Natural",1995,2020,-0.00954411511188064,0.00940109228692766,"Southwest Washington Steelhead"
"20","Palix Winter Steelhead-","Total",1995,2020,0.0272967280552237,0.00829216449192575,"Southwest Washington Steelhead"
"21","Palix Winter Steelhead-","Natural",1995,2020,0.0293326746841804,0.0096004495872773,"Southwest Washington Steelhead"
"22","Satsop Winter Steelhead-","Total",1995,2020,-0.0156378861526929,0.00702615013918997,"Southwest Washington Steelhead"
"23","Satsop Winter Steelhead-","Natural",1995,2020,-0.0156378861526929,0.00702615013918997,"Southwest Washington Steelhead"
"24","Skookumchuck/Newaukum Winter Steelhead-","Total",1995,2020,-0.0185179828359451,0.00808392596706913,"Southwest Washington Steelhead"
"25","Skookumchuck/Newaukum Winter Steelhead-","Natural",1995,2020,-0.0207694881218508,0.0086447337817947,"Southwest Washington Steelhead"
"26","Willapa Winter Steelhead-","Total",1995,2020,-0.00891209486766218,0.00874427873404732,"Southwest Washington Steelhead"
"27","Willapa Winter Steelhead-","Natural",1995,2020,-0.0074193182042606,0.00942805629404365,"Southwest Washington Steelhead"
"28","Wishkah Winter Steelhead-","Total",1995,2020,-0.0201291288972917,0.00903809154350518,"Southwest Washington Steelhead"
"29","Wishkah Winter Steelhead-","Natural",1995,2020,-0.0201291288972917,0.00903809154350518,"Southwest Washington Steelhead"
"30","Wynoochee Winter Steelhead-","Total",1995,2020,-0.0223992128006339,0.00674291755682738,"Southwest Washington Steelhead"
"31","Wynoochee Winter Steelhead-","Natural",1995,2020,-0.0223992128006339,0.00674291755682738,"Southwest Washington Steelhead"
