"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0280862829047544,0.00267265711065517,0.0716643455827334,-0.171078382749547,-0.0746602089529785,-0.0284172419939559,0.0188042993551249,0.113444028996731,718.984933901964,1.00448214376664
"mu[2]",-0.00633678537217888,0.002664533325936,0.0707425539465565,-0.147282345754542,-0.0523378888863784,-0.00657421141276857,0.0399353237360531,0.13342917729138,704.886440615448,1.00484832669604
"mu[3]",0.0567121413557077,0.00267315853189213,0.0705962409120808,-0.0841183006063553,0.0111315725196838,0.056538414997861,0.102909247997915,0.195857439579692,697.451033539955,1.00507503457184
"mu[4]",-0.00698092582412806,0.00267265516362489,0.0708316496643779,-0.147639003798598,-0.0531614989277454,-0.00692289801325423,0.0392797301776371,0.132573318410579,702.374696106884,1.00476820267615
"mu[5]",0.00476317179745188,0.00265998621925307,0.0707342247848609,-0.134969390255653,-0.0415090164079044,0.00472297939123477,0.0509139226413692,0.144174209928786,707.131889613155,1.00502710821788
"mu[6]",-0.0368189729671197,0.0026746510389209,0.0707785052862649,-0.179219556201093,-0.0827818039129901,-0.0364951356432531,0.00972314167343583,0.102821095763185,700.274832403879,1.00499185686608
"mu[7]",-0.014624660994043,0.00267099440933412,0.0707981518340112,-0.156107250879946,-0.0606500352834586,-0.0141857971021581,0.0316922369590172,0.12544579851424,702.58339828719,1.00497993403449
"mu[8]",0.0260287281289063,0.00268570235642552,0.070904140925954,-0.114884510354777,-0.0202062479808528,0.0259734182517673,0.0723346946106046,0.165271167845766,696.9914305765,1.00480143380463
"mu[9]",-0.0326144238494437,0.00268335921185842,0.0713323239512796,-0.174247687967297,-0.0791260879356286,-0.0325548224699828,0.0141121308974217,0.107937177754826,706.667500042335,1.00509784015899
"mu[10]",-0.0075263827584606,0.0026947681521821,0.071218696891845,-0.14864536098987,-0.0537317638702672,-0.00797217443237808,0.0392347555573954,0.132680270993334,698.465941421552,1.00515208491011
"mu[11]",-0.00880948133504458,0.00267862639836424,0.071779215134708,-0.15126893052509,-0.0555317583808614,-0.00908931170593363,0.0377070614099753,0.134454422678521,718.080480264713,1.00525487799999
"mu[12]",0.0171208180280417,0.00270027917717933,0.0716689073695945,-0.126596397484566,-0.0291477160188824,0.0168846439720443,0.0643939394347307,0.15741627980276,704.440362799815,1.00489314281383
"mu[13]",-0.0260380723465203,0.00267653190958397,0.0709669645360444,-0.168046469621501,-0.0722615560319395,-0.0256211348969289,0.0201175735604648,0.113554898174639,703.019883539143,1.00464801119064
"mu[14]",-0.0170918302011698,0.00268793138153141,0.0712924938796101,-0.158255584758665,-0.0633347064716034,-0.0172305252276524,0.0294552994081398,0.123478331992494,703.479196109362,1.00481502061172
"mu[15]",-0.00971692440473173,0.00267884840042876,0.0714340574596525,-0.150822610389746,-0.0562777239923457,-0.00994006495926203,0.0368379145830483,0.131587431891277,711.07328670169,1.00466104129741
"mu[16]",-0.0284939952954561,0.00268143344455953,0.070819218499992,-0.16929322489748,-0.0743532155386055,-0.0285900098374766,0.0180579721955106,0.110648757194588,697.53855307826,1.00473290724729
"mu[17]",-0.0320281839763181,0.00268095098038873,0.0709215398201042,-0.174113481710792,-0.0778493542873878,-0.0319846928486719,0.0141674077720573,0.106978207522771,699.807457200293,1.0045376162584
"sigma2_R",0.121103576853749,0.000278303461954012,0.0121849605267029,0.0987191796860516,0.112696302656919,0.120691567902377,0.128877260111318,0.146388594422103,1916.95110535208,1.00257811306348
"sigma2_Q",0.138773454527748,0.000636944635473065,0.0442913701915594,0.0748490878589124,0.107684072308719,0.131327710998928,0.161159207271669,0.24592978028082,4835.42735553157,1.00022798619118
"theta",0.874030930672951,0.0016512650539116,0.0586489196662167,0.735504877435112,0.840703417353043,0.882698417320593,0.916659906087548,0.962933837776898,1261.49767224921,1.00507067334191
