"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Upper Rogue River","Steelhead (Klamath Mountains Province)",8522.45520795379,2018.08747323468,8369.32340768438,5100.4484684712,13136.0668287245,5590.85042123022,12044.3865960421,NA,8628,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"2",1996,"Upper Rogue River","Steelhead (Klamath Mountains Province)",7914.0096125287,1697.89060499071,7687.96341496194,5122.0090813066,11823.0356497388,5527.35105009306,10932.0431625922,NA,7338,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"3",1997,"Upper Rogue River","Steelhead (Klamath Mountains Province)",8967.96253035688,2001.92798146896,8863.5080925214,5415.85455316058,13140.0268982885,5892.85546481473,12352.4773523768,NA,11518,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"4",1998,"Upper Rogue River","Steelhead (Klamath Mountains Province)",5491.8045043374,1426.38009878346,5237.83109857246,3462.21451748274,8843.31909848304,3671.49504274708,8144.40859254725,NA,3774,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"5",1999,"Upper Rogue River","Steelhead (Klamath Mountains Province)",6954.92751391324,1427.08139536302,6861.17649167714,4459.51617939412,10071.0340373926,4813.07774194244,9359.67916666406,NA,7727,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"6",2000,"Upper Rogue River","Steelhead (Klamath Mountains Province)",6097.6647742824,1385.13676960377,5892.53276470614,4024.61276866807,9334.32285175627,4284.27412959661,8619.83041267145,NA,5198,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"7",2001,"Upper Rogue River","Steelhead (Klamath Mountains Province)",7040.16341361379,1455.97609051897,6854.52443881634,4672.52331406147,10449.591226229,5017.10186069514,9690.61611358645,NA,6457,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"8",2002,"Upper Rogue River","Steelhead (Klamath Mountains Province)",9293.48563658194,1940.14903660779,9185.21138967903,5877.05490153717,13450.8390639948,6350.65113246684,12540.7207556473,NA,9956,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"9",2003,"Upper Rogue River","Steelhead (Klamath Mountains Province)",10166.6851965935,2175.86888586857,10018.8790809605,6346.76440134634,14890.6401690757,6864.41779462082,13906.62667389,NA,10558,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"10",2004,"Upper Rogue River","Steelhead (Klamath Mountains Province)",10737.2660581931,2438.79555666045,10621.8745575204,6400.91269995738,15935.4226792757,6980.1328168797,14933.830438224,NA,12997,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"11",2005,"Upper Rogue River","Steelhead (Klamath Mountains Province)",7933.78014655834,1618.73011651415,7774.307169134,5207.6221523071,11730.8627814147,5583.69427507649,10844.8730294018,NA,7368,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"12",2006,"Upper Rogue River","Steelhead (Klamath Mountains Province)",6793.22615679529,1370.15561017725,6661.86484309353,4471.46909162331,9889.70975351784,4800.039550283,9196.24052418767,NA,6394,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"13",2007,"Upper Rogue River","Steelhead (Klamath Mountains Province)",6366.73445483102,1303.43902658707,6281.00535242452,4081.79059446363,9184.39565160817,4407.15251958552,8598.09235044524,NA,7190,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"14",2008,"Upper Rogue River","Steelhead (Klamath Mountains Province)",4411.6819513072,978.398263983666,4257.69673657688,2883.05302965053,6734.22836949665,3097.2359747472,6210.56657293784,NA,3874,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"15",2009,"Upper Rogue River","Steelhead (Klamath Mountains Province)",3605.79159026205,948.643252811394,3423.24047100842,2291.51604427803,5910.15278666634,2417.45847903304,5390.3237674055,NA,2721,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"16",2010,"Upper Rogue River","Steelhead (Klamath Mountains Province)",4609.77253445986,942.915715110164,4531.74200365615,2965.93449624067,6714.36541916121,3210.58381637221,6259.00181592748,NA,4823,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"17",2011,"Upper Rogue River","Steelhead (Klamath Mountains Province)",4921.33392994448,996.477254184476,4862.58398904832,3178.89665436659,7153.23848889129,3429.97428261982,6655.78029950677,NA,5142,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"18",2012,"Upper Rogue River","Steelhead (Klamath Mountains Province)",4614.33986020628,943.158279726028,4532.6128830451,2994.74964569453,6771.69741337616,3230.26308942162,6284.1078196416,NA,4678,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"19",2013,"Upper Rogue River","Steelhead (Klamath Mountains Province)",3873.67953544137,973.952672451698,3686.68227799234,2474.0807161469,6232.63974864761,2634.67196371496,5714.53522021239,NA,3068,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"20",2014,"Upper Rogue River","Steelhead (Klamath Mountains Province)",4419.98641678248,1129.76756726784,4226.18990731661,2815.66751680623,7079.540532094,2956.5303132955,6527.25414226676,NA,3333,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"21",2015,"Upper Rogue River","Steelhead (Klamath Mountains Province)",8188.39048768609,1762.7220696794,8101.8823978336,5073.57282050918,11895.0649800619,5499.376885508,11196.1880018856,NA,9425,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"22",2016,"Upper Rogue River","Steelhead (Klamath Mountains Province)",11248.2691928454,2788.82048342871,11165.7440276464,6281.77473502064,16824.2734610162,6908.8535246251,15954.1975257704,NA,14060,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
"23",2017,"Upper Rogue River","Steelhead (Klamath Mountains Province)",9742.07701809405,2107.45483494024,9579.32383524821,6055.26596638192,14410.1580446755,6601.33258797657,13426.9543506124,NA,9977,NA,NA,NA,NA,NA,"Steelhead (Klamath Mountains Province)"
