"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,80463.0670788644,66055.0898781325,28494.9177412351,223338.783522046,32545.3331068868,175568.606674323,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"2",1996,76373.1402140235,63881.8358364266,28735.0826289368,203548.139375101,32575.3089401701,160440.395747819,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"3",1997,79428.2129382648,68498.714799426,32805.2728168605,193507.793321223,36630.6275922397,158612.740638821,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"4",1998,76959.2874613585,67556.0907425441,32517.2961769093,179626.562430952,36520.696541637,148741.444086556,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"5",1999,100213.378277456,92041.1294642575,49927.0187596811,198306.689819404,55194.427814881,172597.621997554,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"6",2000,111295.60924266,104895.203704923,59833.6002386693,198812.354618839,65524.0545903521,177506.489169414,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"7",2001,137804.84571028,133002.509755709,83278.246526979,220653.179438283,89779.1085888275,202222.962123972,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"8",2002,158034.049376884,154709.014740767,105787.157722367,229349.47418607,112721.365718393,214863.610027917,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"9",2003,166191.753535775,164969.665437304,130983.286342917,208119.674325456,136008.444177243,200105.481186171,NA,NA,NA,NA,NA,176421.662393105,"Steelhead (Oregon Coast)"
"10",2004,154729.553227919,153798.713483626,125035.672275362,189652.754024602,129401.952827048,183308.036793563,NA,NA,NA,NA,NA,151053.867414992,"Steelhead (Oregon Coast)"
"11",2005,137758.072951094,137068.730258003,111446.606551128,168143.188403706,115210.392653483,162553.860523496,NA,NA,NA,NA,NA,129468.997313065,"Steelhead (Oregon Coast)"
"12",2006,141628.175555771,140905.979617176,115022.848731656,172283.521242447,119019.684846746,166888.735272596,NA,NA,NA,NA,NA,142259.681779329,"Steelhead (Oregon Coast)"
"13",2007,152412.675120224,151412.452544185,123447.448829874,186956.914922511,127687.964573588,180632.155547612,NA,NA,NA,NA,NA,164696.363220895,"Steelhead (Oregon Coast)"
"14",2008,135529.967294945,134833.769449659,109896.423119356,165278.265309982,113671.567620628,159906.208801716,NA,NA,NA,NA,NA,155491.606042106,"Steelhead (Oregon Coast)"
"15",2009,118096.478827432,117566.126910914,94761.190900893,144774.501334427,98134.1250859814,139996.577098781,NA,NA,NA,NA,NA,94237.4324101107,"Steelhead (Oregon Coast)"
"16",2010,139439.392297023,138504.634852965,113308.684175276,170756.199071584,116986.901533712,165063.812222448,NA,NA,NA,NA,NA,162961.40235537,"Steelhead (Oregon Coast)"
"17",2011,126676.572714549,125991.020437273,102849.139021128,154510.55946814,106295.116809625,149534.462948212,NA,NA,NA,NA,NA,110797.762856901,"Steelhead (Oregon Coast)"
"18",2012,129295.171831911,128549.326778099,105001.310779992,157770.536127977,108623.046698366,152471.034953048,NA,NA,NA,NA,NA,120437.48144925,"Steelhead (Oregon Coast)"
"19",2013,155103.617039771,153865.073957614,122715.998534012,194119.29624799,127295.90589337,187071.756947608,NA,NA,NA,NA,NA,195071.252181742,"Steelhead (Oregon Coast)"
"20",2014,113778.267570127,113227.110386597,91151.038190947,139737.452589183,94332.491584096,134997.954766951,NA,NA,NA,NA,NA,104482.117238871,"Steelhead (Oregon Coast)"
"21",2015,121772.79681722,121184.800395406,98585.8156642697,148454.988321603,101886.311968691,143673.079932671,NA,NA,NA,NA,NA,133482.881416955,"Steelhead (Oregon Coast)"
"22",2016,121595.889098462,120851.746136325,98309.1266923019,149122.680284176,101549.42182642,144198.853216189,NA,NA,NA,NA,NA,141845.683030141,"Steelhead (Oregon Coast)"
"23",2017,98097.019491906,97572.2971117108,78459.3970516287,120694.499134632,81284.5621510037,116558.074346403,NA,NA,NA,NA,NA,73923.5646775367,"Steelhead (Oregon Coast)"
"24",2018,110455.635022559,109671.981556126,89420.5831599158,135687.220427112,92477.677676152,130978.515966417,NA,NA,NA,NA,NA,123343.538674177,"Steelhead (Oregon Coast)"
"25",2019,96337.9096193118,95809.4398894975,77286.4571930906,118423.01097306,80104.9588980867,114507.237170696,NA,NA,NA,NA,NA,87295.2386995156,"Steelhead (Oregon Coast)"
"26",2020,106754.41265903,105992.138868259,83843.2876898107,133943.44867171,87035.3145570785,129040.27025769,NA,NA,NA,NA,NA,115319.002026342,"Steelhead (Oregon Coast)"
