"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"North Coast Stratum","Steelhead (Oregon Coast)",27643.5183059545,31138.388199776,19839.8181176302,5368.96539892139,97898.6983277749,6689.02020793177,71991.6962071537,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"2",1995,"Mid Coast Stratum","Steelhead (Oregon Coast)",11844.3518130671,12276.5172412687,8640.85158355678,2305.76437685482,41156.3685514042,2883.73144611722,30665.4745315304,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"3",1995,"Umpqua Stratum","Steelhead (Oregon Coast)",19318.8166137308,20629.0889019842,13653.8052966056,3732.79809259576,70066.119364765,4657.41289100575,51480.9964448146,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"4",1995,"Mid-South Coast Stratum","Steelhead (Oregon Coast)",16439.7748128857,15693.0605214317,12557.388836675,3062.30470882131,53726.2064952345,3951.81531802813,40839.0774113257,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"5",1995,"Siletz Population","Steelhead (Oregon Coast)",113.669811158223,24.7675025371418,111.18374294865,72.7166891721962,169.425361255906,77.8657817646563,158.263181948425,NA,153,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"6",1995,"North Umpqua","Steelhead (Oregon Coast)",5102.93572206815,1099.47756437428,4988.85236215978,3269.9856089281,7563.90148752898,3513.0050713335,7081.04237112765,0.62,4088.70967741935,3163.82014768225,2027.39107753542,4689.61892226797,2178.06314422677,4390.24627009914,"Steelhead (Oregon Coast)"
"7",1996,"North Coast Stratum","Steelhead (Oregon Coast)",25784.3547710606,26121.4912335886,19224.1001813074,5579.1074923134,86168.1036616885,6909.73172039373,64231.6264522719,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"8",1996,"Mid Coast Stratum","Steelhead (Oregon Coast)",11514.6411332942,10814.2276979658,8701.06214616352,2498.67942254174,38144.4619262108,3140.93031177089,28617.1698384008,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"9",1996,"Umpqua Stratum","Steelhead (Oregon Coast)",18428.8498877866,17976.968918379,13493.5652951454,3978.26759140253,63393.4872492613,4925.34035529406,47481.4709315322,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"10",1996,"Mid-South Coast Stratum","Steelhead (Oregon Coast)",15540.8814983258,13736.3572998132,12235.3986069001,3272.8589849411,48254.5735337286,4153.94490087692,37609.536036943,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"11",1996,"Siletz Population","Steelhead (Oregon Coast)",105.059107521819,20.5036498764013,103.176170502544,70.4377900086843,150.108145034402,75.0012658537775,141.835971814403,NA,77,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"12",1996,"North Umpqua","Steelhead (Oregon Coast)",4999.35381603461,949.409130021984,4917.56416294213,3386.13042646139,7098.92907427264,3598.13188288352,6695.64767517161,0.68,5247.05882352941,3399.56059490353,2302.56868999375,4827.2717705054,2446.72968036079,4553.0404191167,"Steelhead (Oregon Coast)"
"13",1997,"North Coast Stratum","Steelhead (Oregon Coast)",26362.1743014247,23203.8037782957,20541.7512020066,6602.63980196753,80522.9818410562,8059.16808069069,62549.0734999427,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"14",1997,"Mid Coast Stratum","Steelhead (Oregon Coast)",12281.3071645951,10147.966221115,9684.15947314211,3107.67467984751,37327.0745357166,3784.94625165576,28911.6161075483,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"15",1997,"Umpqua Stratum","Steelhead (Oregon Coast)",19237.7674563807,16466.6080156647,14772.7652836031,4821.24865262063,61603.9726302534,5826.16665416464,46806.5288314752,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"16",1997,"Mid-South Coast Stratum","Steelhead (Oregon Coast)",16076.2477535512,12266.8129392719,13094.3710901365,3965.69845246769,46309.6181992075,4907.88364678785,36698.2114849963,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"17",1997,"Siletz Population","Steelhead (Oregon Coast)",115.541644245709,22.2149302851235,113.628912918511,78.1715841879402,164.907427886477,83.1008947387821,155.414062424535,NA,118,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"18",1997,"North Umpqua","Steelhead (Oregon Coast)",5355.1746180674,1000.86074463187,5263.57144228813,3662.322641337,7571.75311929023,3888.07726360135,7137.637461038,0.56,5823.21428571429,2998.89778611774,2050.90067914872,4240.18174680253,2177.32326761676,3997.07697818128,"Steelhead (Oregon Coast)"
"19",1998,"North Coast Stratum","Steelhead (Oregon Coast)",25153.2712708624,19336.3203847317,20257.8469154637,6905.95556348364,72810.8552104163,8298.12620637578,57579.0230028752,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"20",1998,"Mid Coast Stratum","Steelhead (Oregon Coast)",12197.9325104262,9078.65932666863,9975.68603998201,3381.29654469454,34401.0560338937,4076.4819680935,27375.6295795116,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"21",1998,"Umpqua Stratum","Steelhead (Oregon Coast)",18742.1526640586,14647.2267930376,14944.6940630706,5247.42295896399,56180.5170362118,6194.53277456275,43710.7208516766,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"22",1998,"Mid-South Coast Stratum","Steelhead (Oregon Coast)",15547.7073356335,10735.4060624648,12976.3647102404,4194.92460264687,42218.0905438862,5137.43411883815,34085.8877214272,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"23",1998,"Siletz Population","Steelhead (Oregon Coast)",114.917749551503,25.8758082088594,112.843095694125,70.5205802171706,172.065615262226,76.3707536756129,160.873278987122,NA,44,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"24",1998,"North Umpqua","Steelhead (Oregon Coast)",5203.30593082621,1015.65353032929,5105.37305050253,3478.98649326681,7457.2064957028,3704.20185970649,7011.46637127755,0.32,6412.5,1665.05789786439,1113.27567784538,2386.3060786249,1185.34459510608,2243.66923880882,"Steelhead (Oregon Coast)"
"25",1999,"North Coast Stratum","Steelhead (Oregon Coast)",32266.6543131386,19383.3574064888,27656.0192712765,10978.3296712105,81431.1774604304,12808.2347733208,66416.6417142316,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"26",1999,"Mid Coast Stratum","Steelhead (Oregon Coast)",16313.1037791435,9570.81247270161,14126.890053428,5556.10220376312,40177.675261952,6556.43683132497,33146.1482966044,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"27",1999,"Umpqua Stratum","Steelhead (Oregon Coast)",24615.0949783707,15354.2520402553,20852.9372752267,8367.27902481465,63897.8518556067,9711.79213273445,51702.736572786,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"28",1999,"Mid-South Coast Stratum","Steelhead (Oregon Coast)",20230.8388605591,11098.0928011925,17907.5324891476,6683.29962767134,48193.4932724184,8002.62725483359,40030.7912449157,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"29",1999,"Siletz Population","Steelhead (Oregon Coast)",194.807492454391,34.5223215282378,192.024450865412,135.372805175974,270.639221154638,143.294714780105,255.760966058586,NA,223,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"30",1999,"North Umpqua","Steelhead (Oregon Coast)",6592.87885378924,1191.80133890929,6471.23124661668,4598.10852042896,9241.96754402946,4855.13383993453,8721.68369102506,0.43,7951.16279069767,2834.93790712937,1977.18666378445,3974.04604393267,2087.70755117185,3750.32398714078,"Steelhead (Oregon Coast)"
"31",2000,"North Coast Stratum","Steelhead (Oregon Coast)",35478.2037909774,17484.1977838355,31641.2204645269,13766.3694017029,79348.7545148878,15896.734596012,67627.8254809573,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"32",2000,"Mid Coast Stratum","Steelhead (Oregon Coast)",18679.8626693039,9128.06319108306,16815.8197599058,7260.87606696065,41066.5963127196,8405.05753168532,34932.8794810598,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"33",2000,"Umpqua Stratum","Steelhead (Oregon Coast)",27653.8730548735,14404.3279259713,24412.820757722,10707.9710420802,63959.7756435586,12370.1024415475,53642.2524070435,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"34",2000,"Mid-South Coast Stratum","Steelhead (Oregon Coast)",22527.0775687139,10410.1744518412,20589.8012877972,8530.46750667752,48021.2475723494,9950.44235270599,41605.8209877699,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"35",2000,"Siletz Population","Steelhead (Oregon Coast)",266.279363030118,47.025004015866,261.961380139646,185.882901125413,370.498850396207,196.807310386094,350.214189788717,NA,311,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
"36",2000,"North Umpqua","Steelhead (Oregon Coast)",6690.31279576088,1176.02640982744,6602.38531420953,4649.53567873784,9282.99732183985,4933.01439056811,8767.49555278402,0.58,4537.93103448276,3880.38142154131,2696.73069366795,5384.13844666711,2861.14834652951,5085.14742061473,"Steelhead (Oregon Coast)"
"37",2001,"North Coast Stratum","Steelhead (Oregon Coast)",43225.4603035499,17017.8593169538,40006.0081874109,19901.0475356824,84770.4975683529,22321.5104897116,75039.3818240073,NA,NA,NA,NA,NA,NA,NA,"Steelhead (Oregon Coast)"
