"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Mid Coast Stratum","Steelhead (Oregon Coast)",12722.3056432048,NA,NA,1995,1999,"Steelhead (Oregon Coast)"
"2","Mid-South Coast Stratum","Steelhead (Oregon Coast)",16681.9682528799,NA,NA,1995,1999,"Steelhead (Oregon Coast)"
"3","North Coast Stratum","Steelhead (Oregon Coast)",27331.0202895393,NA,NA,1995,1999,"Steelhead (Oregon Coast)"
"4","North Umpqua","Steelhead (Oregon Coast)",5422.16105106274,2732.20842153734,5765.33570390154,1995,1999,"Steelhead (Oregon Coast)"
"5","Siletz Population","Steelhead (Oregon Coast)",125.303162325708,NA,106.405564621903,1995,1999,"Steelhead (Oregon Coast)"
"6","Umpqua Stratum","Steelhead (Oregon Coast)",19949.4479418795,NA,NA,1995,1999,"Steelhead (Oregon Coast)"
"7","Mid Coast Stratum","Steelhead (Oregon Coast)",25354.9839961437,26758.4333168815,NA,2000,2004,"Steelhead (Oregon Coast)"
"8","Mid-South Coast Stratum","Steelhead (Oregon Coast)",29408.5223025635,23615.9716701459,NA,2000,2004,"Steelhead (Oregon Coast)"
"9","North Coast Stratum","Steelhead (Oregon Coast)",44780.0176022888,45062.4089912821,NA,2000,2004,"Steelhead (Oregon Coast)"
"10","North Umpqua","Steelhead (Oregon Coast)",8224.70906781575,4245.60790286922,7416.97941066421,2000,2004,"Steelhead (Oregon Coast)"
"11","Siletz Population","Steelhead (Oregon Coast)",453.63068803055,NA,542.096606207746,2000,2004,"Steelhead (Oregon Coast)"
"12","Umpqua Stratum","Steelhead (Oregon Coast)",35918.1124765037,36359.1448180641,NA,2000,2004,"Steelhead (Oregon Coast)"
"13","Mid Coast Stratum","Steelhead (Oregon Coast)",29518.2437655652,20237.2964160754,27400.71445149,2005,2009,"Steelhead (Oregon Coast)"
"14","Mid-South Coast Stratum","Steelhead (Oregon Coast)",31852.5749785964,27989.8173685364,34746.5261280411,2005,2009,"Steelhead (Oregon Coast)"
"15","North Coast Stratum","Steelhead (Oregon Coast)",35831.5577003322,28488.3515894145,34070.05541003,2005,2009,"Steelhead (Oregon Coast)"
"16","North Umpqua","Steelhead (Oregon Coast)",6177.17062617006,3830.21562959448,6149.31873322888,2005,2009,"Steelhead (Oregon Coast)"
"17","Siletz Population","Steelhead (Oregon Coast)",508.789033204878,NA,478.65596889006,2005,2009,"Steelhead (Oregon Coast)"
"18","Umpqua Stratum","Steelhead (Oregon Coast)",32388.2068377555,29400.5942200022,29377.502573756,2005,2009,"Steelhead (Oregon Coast)"
"19","Mid Coast Stratum","Steelhead (Oregon Coast)",35265.4953260351,28199.2730077703,36784.4321265883,2010,2014,"Steelhead (Oregon Coast)"
"20","Mid-South Coast Stratum","Steelhead (Oregon Coast)",25629.8320323611,20818.2071395349,24846.2781700624,2010,2014,"Steelhead (Oregon Coast)"
"21","North Coast Stratum","Steelhead (Oregon Coast)",30929.0464085632,29804.8565558075,29221.3367276499,2010,2014,"Steelhead (Oregon Coast)"
"22","North Umpqua","Steelhead (Oregon Coast)",4941.29936583918,3840.96847722689,4813.15399367642,2010,2014,"Steelhead (Oregon Coast)"
"23","Siletz Population","Steelhead (Oregon Coast)",505.617220316293,NA,501.584234157091,2010,2014,"Steelhead (Oregon Coast)"
"24","Umpqua Stratum","Steelhead (Oregon Coast)",34784.3861634898,32475.9378059508,36246.0349024906,2010,2014,"Steelhead (Oregon Coast)"
"25","Mid Coast Stratum","Steelhead (Oregon Coast)",29244.5246157805,24261.8547168397,28871.6469437248,2015,2019,"Steelhead (Oregon Coast)"
"26","Mid-South Coast Stratum","Steelhead (Oregon Coast)",20365.3896557424,16171.0347322668,19697.0461106765,2015,2019,"Steelhead (Oregon Coast)"
"27","North Coast Stratum","Steelhead (Oregon Coast)",25675.9345453722,22158.457853202,24441.3359637888,2015,2019,"Steelhead (Oregon Coast)"
"28","North Umpqua","Steelhead (Oregon Coast)",3462.00653416858,2219.93837576857,3502.39583521327,2015,2019,"Steelhead (Oregon Coast)"
"29","Siletz Population","Steelhead (Oregon Coast)",433.665680222634,NA,442.759873036104,2015,2019,"Steelhead (Oregon Coast)"
"30","Umpqua Stratum","Steelhead (Oregon Coast)",29835.5726377622,29296.4471912571,28856.6229877006,2015,2019,"Steelhead (Oregon Coast)"
