"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","North Coast Stratum","Total",1995,2020,-0.0111598998860634,0.00599383176933251,"Steelhead (Oregon Coast)"
"2","North Coast Stratum","Natural",1995,2020,-0.0376778299863662,0.00840539980252094,"Steelhead (Oregon Coast)"
"3","Mid Coast Stratum","Total",1995,2020,0.0364556947426678,0.00674450545786148,"Steelhead (Oregon Coast)"
"4","Mid Coast Stratum","Natural",1995,2020,0.00982447588984827,0.00934580330110875,"Steelhead (Oregon Coast)"
"5","Umpqua Stratum","Total",1995,2020,0.0138038067128743,0.0056295582415484,"Steelhead (Oregon Coast)"
"6","Umpqua Stratum","Natural",1995,2020,-0.00855815093164042,0.00553593287400067,"Steelhead (Oregon Coast)"
"7","Mid-South Coast Stratum","Total",1995,2020,0.00225502020652853,0.00723207587783374,"Steelhead (Oregon Coast)"
"8","Mid-South Coast Stratum","Natural",1995,2020,-0.0395039135225756,0.00818081729352131,"Steelhead (Oregon Coast)"
"9","Siletz Population","Total",1995,2020,0.0471867904725065,0.0117162200452797,"Steelhead (Oregon Coast)"
"10","North Umpqua","Total",1995,2020,-0.0306624840715358,0.0063893133581353,"Steelhead (Oregon Coast)"
"11","North Umpqua","Natural",1995,2020,-0.0140943931911141,0.00767125007133862,"Steelhead (Oregon Coast)"
