"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",2000,"Carmel River","Steelhead (South-central California Coast DPS)",644.223836874508,376.718846942461,555.485027794941,238.202713266367,1604.95248598014,283.140607950853,1298.93692913143,NA,472,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"2",2001,"Carmel River","Steelhead (South-central California Coast DPS)",771.162895931979,336.07317650808,720.55027713256,301.306050453284,1557.29803781397,358.094942120341,1337.57658428762,NA,804,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"3",2002,"Carmel River","Steelhead (South-central California Coast DPS)",662.378272078842,281.876426793712,615.320850823505,273.178556337261,1349.32594457896,321.010147151407,1150.71154494654,NA,642,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"4",2003,"Carmel River","Steelhead (South-central California Coast DPS)",531.261743329842,228.843505696253,493.501255033918,220.402127990529,1082.03319710065,258.655259387905,923.680105148298,NA,483,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"5",2004,"Carmel River","Steelhead (South-central California Coast DPS)",430.918173247489,185.305986750855,397.89947260802,181.545867241115,885.363744341928,211.55201058619,760.125502812343,NA,388,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"6",2005,"Carmel River","Steelhead (South-central California Coast DPS)",369.645235413105,163.814012206531,338.503144337358,156.068770325176,764.115743524898,182.841014828179,656.511930729974,NA,328,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"7",2006,"Carmel River","Steelhead (South-central California Coast DPS)",366.646567371516,158.294576304212,344.100007712918,150.159099439563,740.064437783869,176.239689137538,632.090518929348,NA,368,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"8",2007,"Carmel River","Steelhead (South-central California Coast DPS)",275.676098463462,122.554771857485,250.761225496053,119.352559060699,584.049454921331,137.280599082401,494.184110425962,NA,222,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"9",2008,"Carmel River","Steelhead (South-central California Coast DPS)",329.357598641697,135.622500617469,312.817726781925,127.405810660406,643.795750611281,149.507766858576,563.119212395638,NA,412,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"10",2009,"Carmel River","Steelhead (South-central California Coast DPS)",155.609544724087,81.9448831965149,133.837514770353,64.6841901795357,365.014730463628,73.8917813268062,306.938271649113,NA,95,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"11",2010,"Carmel River","Steelhead (South-central California Coast DPS)",195.851650321399,88.7329543670952,177.829178972128,83.7736706043985,421.499434415793,97.0917471147895,356.120413189333,NA,157,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"12",2011,"Carmel River","Steelhead (South-central California Coast DPS)",368.47107563699,162.074758349571,351.081304453622,120.460210474068,737.941227110468,147.103333277338,645.042959010998,NA,452,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"13",2012,"Carmel River","Steelhead (South-central California Coast DPS)",376.932854847025,172.160505334497,363.934417366477,105.751339727023,760.766753088576,132.152727472391,670.536089661306,NA,470,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"14",2013,"Carmel River","Steelhead (South-central California Coast DPS)",200.733876818398,92.775414564033,190.992822511495,63.1738812401293,408.229965276868,76.4522746349061,356.100291358889,NA,249,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"15",2014,"Carmel River","Steelhead (South-central California Coast DPS)",61.2119707101659,51.8783429265982,47.9181773312322,11.3657380915775,185.103940446087,14.6420879140447,147.615641052928,NA,NA,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
"16",2015,"Carmel River","Steelhead (South-central California Coast DPS)",16.7168292631918,20.9169386544213,10.5022923227706,4.46834148509677,69.4337475594543,5.13506171119775,48.6934163601266,NA,7,NA,NA,NA,NA,NA,"Steelhead (South-central California Coast DPS)"
