"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,4139.96427569561,4049.65095390493,2060.20384589434,7185.95369185128,2317.9276652371,6370.01750893432,4139.96427569561,2060.20384589434,7185.95369185128,2317.9276652371,6370.01750893432,4693,"Steelhead Salmon (Upper Willamette River)"
"2",1996,2858.67312518661,2566.98502518395,1574.9284379897,5593.07043392662,1695.58872798191,4963.00425022982,2858.67312518661,1574.9284379897,5593.07043392662,1695.58872798191,4963.00425022982,1801,"Steelhead Salmon (Upper Willamette River)"
"3",1997,4237.54509969222,4182.96260154579,2379.6052085613,6793.40846174082,2628.12875488789,6163.72379744918,4237.54509969222,2379.6052085613,6793.40846174082,2628.12875488789,6163.72379744918,4544,"Steelhead Salmon (Upper Willamette River)"
"4",1998,4427.12720477724,4186.86865157337,2578.11172100128,7430.36018834704,2827.55482103475,6739.64336613192,4427.12720477724,2578.11172100128,7430.36018834704,2827.55482103475,6739.64336613192,3678,"Steelhead Salmon (Upper Willamette River)"
"5",1999,6279.4969300427,6226.99659663187,3498.91912209916,9796.68093120238,3868.32764229962,8955.38540516589,6279.4969300427,3498.91912209916,9796.68093120238,3868.32764229962,8955.38540516589,6904,"Steelhead Salmon (Upper Willamette River)"
"6",2000,6176.53565821856,5734.81227238217,3708.4538941511,10610.7903759431,4072.31604490226,9595.83026375115,6176.53565821856,3708.4538941511,10610.7903759431,4072.31604490226,9595.83026375115,4761,"Steelhead Salmon (Upper Willamette River)"
"7",2001,10682.1652381352,10595.5067889964,5587.75717877768,17082.3584013095,6199.5564309692,15749.4488127208,10682.1652381352,5587.75717877768,17082.3584013095,6199.5564309692,15749.4488127208,12525,"Steelhead Salmon (Upper Willamette River)"
"8",2002,13901.6388046356,13911.8629220846,6448.62894195263,22512.8831439694,7218.3935304291,20767.0273792255,13901.6388046356,6448.62894195263,22512.8831439694,7218.3935304291,20767.0273792255,17998,"Steelhead Salmon (Upper Willamette River)"
"9",2003,10170.6503522865,9889.50969595004,5772.96250885787,16540.1002457987,6392.86574476323,15007.7405682979,10170.6503522865,5772.96250885787,16540.1002457987,6392.86574476323,15007.7405682979,9092,"Steelhead Salmon (Upper Willamette River)"
"10",2004,10133.7335894933,10072.7305909497,5490.5423172267,16168.0924943632,6088.72754216392,14853.9443344489,10133.7335894933,5490.5423172267,16168.0924943632,6088.72754216392,14853.9443344489,11842,"Steelhead Salmon (Upper Willamette River)"
