"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",4139.96427569561,1287.79924211433,4049.65095390493,2060.20384589434,7185.95369185128,2317.9276652371,6370.01750893432,1,4693,4139.96427569561,2060.20384589434,7185.95369185128,2317.9276652371,6370.01750893432,"Steelhead Salmon (Upper Willamette River)"
"2",1996,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",2858.67312518661,1082.83064333798,2566.98502518395,1574.9284379897,5593.07043392662,1695.58872798191,4963.00425022982,1,1801,2858.67312518661,1574.9284379897,5593.07043392662,1695.58872798191,4963.00425022982,"Steelhead Salmon (Upper Willamette River)"
"3",1997,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",4237.54509969222,1109.64719253313,4182.96260154579,2379.6052085613,6793.40846174082,2628.12875488789,6163.72379744918,1,4544,4237.54509969222,2379.6052085613,6793.40846174082,2628.12875488789,6163.72379744918,"Steelhead Salmon (Upper Willamette River)"
"4",1998,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",4427.12720477724,1265.52555193163,4186.86865157337,2578.11172100128,7430.36018834704,2827.55482103475,6739.64336613192,1,3678,4427.12720477724,2578.11172100128,7430.36018834704,2827.55482103475,6739.64336613192,"Steelhead Salmon (Upper Willamette River)"
"5",1999,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",6279.4969300427,1605.73206524488,6226.99659663187,3498.91912209916,9796.68093120238,3868.32764229962,8955.38540516589,1,6904,6279.4969300427,3498.91912209916,9796.68093120238,3868.32764229962,8955.38540516589,"Steelhead Salmon (Upper Willamette River)"
"6",2000,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",6176.53565821856,1820.80486106973,5734.81227238217,3708.4538941511,10610.7903759431,4072.31604490226,9595.83026375115,1,4761,6176.53565821856,3708.4538941511,10610.7903759431,4072.31604490226,9595.83026375115,"Steelhead Salmon (Upper Willamette River)"
"7",2001,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",10682.1652381352,2980.92314596672,10595.5067889964,5587.75717877768,17082.3584013095,6199.5564309692,15749.4488127208,1,12525,10682.1652381352,5587.75717877768,17082.3584013095,6199.5564309692,15749.4488127208,"Steelhead Salmon (Upper Willamette River)"
"8",2002,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",13901.6388046356,4371.000098891,13911.8629220846,6448.62894195263,22512.8831439694,7218.3935304291,20767.0273792255,1,17998,13901.6388046356,6448.62894195263,22512.8831439694,7218.3935304291,20767.0273792255,"Steelhead Salmon (Upper Willamette River)"
"9",2003,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",10170.6503522865,2698.31545713932,9889.50969595004,5772.96250885787,16540.1002457987,6392.86574476323,15007.7405682979,1,9092,10170.6503522865,5772.96250885787,16540.1002457987,6392.86574476323,15007.7405682979,"Steelhead Salmon (Upper Willamette River)"
"10",2004,"Steelhead (Upper Willamette River DPS)","Steelhead Salmon (Upper Willamette River)",10133.7335894933,2703.62336018476,10072.7305909497,5490.5423172267,16168.0924943632,6088.72754216392,14853.9443344489,1,11842,10133.7335894933,5490.5423172267,16168.0924943632,6088.72754216392,14853.9443344489,"Steelhead Salmon (Upper Willamette River)"
