"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,43184.7855918816,42218.7873650115,29301.161453816,62357.2044661307,31019.1290837949,58528.2378775004,NA,NA,NA,NA,NA,34350,"Up. Klamath - Trinity River Chinook"
"2",1996,127875.897438542,125309.806624579,85195.7351446787,185091.109020881,90804.1823582443,173625.519403558,NA,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"3",1997,81900.9529928086,80503.6067628916,57080.0830926135,114849.114308106,60318.6377370433,108400.500297421,NA,NA,NA,NA,NA,88406,"Up. Klamath - Trinity River Chinook"
"4",1998,60571.4969949292,59599.0999377485,42697.0782806319,83997.1638102583,45083.6690479278,79503.0698314337,NA,NA,NA,NA,NA,50501,"Up. Klamath - Trinity River Chinook"
"5",1999,41732.9253998829,41101.1701926136,29424.8483568971,57629.0086712221,31096.8150309664,54553.5054933285,NA,NA,NA,NA,NA,49570,"Up. Klamath - Trinity River Chinook"
"6",2000,35299.5671949911,34760.0272658419,24994.8019415735,48560.5655247082,26363.0420590995,46038.2965777033,NA,NA,NA,NA,NA,28182,"Up. Klamath - Trinity River Chinook"
"7",2001,69370.5477014309,68338.8220658969,48665.1201488551,95810.2848243058,51479.9429268381,90710.819130654,NA,NA,NA,NA,NA,91619,"Up. Klamath - Trinity River Chinook"
"8",2002,76088.5533560468,75004.930779599,53646.982880457,104867.970794006,56722.9353167691,99282.2015977694,NA,NA,NA,NA,NA,86386,"Up. Klamath - Trinity River Chinook"
"9",2003,89276.4889816188,87936.8013576797,63237.6832165593,122661.324927376,66702.2439034552,116171.40663765,NA,NA,NA,NA,NA,86395,"Up. Klamath - Trinity River Chinook"
"10",2004,103423.241913935,101902.28422572,71575.2182348436,143484.687108916,76131.0667266532,135870.124761607,NA,NA,NA,NA,NA,112562,"Up. Klamath - Trinity River Chinook"
"11",2005,28248.3078577438,27792.4723894498,19651.3372151504,39516.3067410586,20766.4057573954,37185.3976423818,NA,NA,NA,NA,NA,30674,"Up. Klamath - Trinity River Chinook"
"12",2006,27000.354859388,26579.5059718316,18668.2962878516,37769.4945973669,19783.0968990004,35674.2579735063,NA,NA,NA,NA,NA,31961,"Up. Klamath - Trinity River Chinook"
"13",2007,35947.8503111562,35310.6371893199,24935.6451761259,50389.7164277415,26472.2376597536,47607.2212423017,NA,NA,NA,NA,NA,34516,"Up. Klamath - Trinity River Chinook"
"14",2008,54677.8657592033,53772.5737853564,37972.9576045905,76500.2129824478,40240.3253806105,72305.2523562578,NA,NA,NA,NA,NA,66438,"Up. Klamath - Trinity River Chinook"
"15",2009,46172.2047237365,45337.314035502,32181.9017519285,64861.9279551055,33985.9779406651,61205.1778238313,NA,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"16",2010,42019.4741091999,41350.4608952006,29698.9694564018,58417.9829177498,31261.5839963366,55231.2027112464,NA,NA,NA,NA,NA,42922,"Up. Klamath - Trinity River Chinook"
"17",2011,38520.6202188398,37871.6195040042,26924.3366221994,53833.4117023481,28375.6290397961,50754.9969543707,NA,NA,NA,NA,NA,40587,"Up. Klamath - Trinity River Chinook"
"18",2012,65001.0237931373,63969.1046286451,45597.7293404325,90375.458330863,48126.3445425614,85465.4248709595,NA,NA,NA,NA,NA,62573,"Up. Klamath - Trinity River Chinook"
"19",2013,126683.758143926,124934.147008197,88360.0889648767,176228.37463933,93468.0259814426,166494.075855051,NA,NA,NA,NA,NA,135697,"Up. Klamath - Trinity River Chinook"
"20",2014,68526.4149184491,67482.8864221961,48492.2005801516,94852.9000938806,51175.4906126485,89737.5467478585,NA,NA,NA,NA,NA,63005,"Up. Klamath - Trinity River Chinook"
"21",2015,74705.0612461465,73667.8191028344,52740.400393861,103149.007138036,55662.587315031,97421.5694106541,NA,NA,NA,NA,NA,93260,"Up. Klamath - Trinity River Chinook"
"22",2016,27429.2880317219,27018.2260421562,19272.2374817355,37948.340547092,20353.7132556498,35923.9212777858,NA,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"23",2017,18747.5390060666,18437.9840593358,13310.3476670264,25989.7967104908,14023.136056376,24592.6823728153,NA,NA,NA,NA,NA,13413,"Up. Klamath - Trinity River Chinook"
"24",2018,26256.5836012007,25879.8994848359,18578.1605790425,36128.0873767641,19572.2116931338,34214.6214358578,NA,NA,NA,NA,NA,27658,"Up. Klamath - Trinity River Chinook"
"25",2019,40545.2507505883,39892.0554005081,27777.1718859347,56976.8986170222,29519.0160657042,53818.4582616278,NA,NA,NA,NA,NA,56343,"Up. Klamath - Trinity River Chinook"
"26",2020,27848.9166440694,27365.3894108862,19036.4600877842,39560.5062609179,20166.6885439366,37168.2690211221,NA,NA,NA,NA,NA,26589,"Up. Klamath - Trinity River Chinook"
