"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",10442.2590339719,3603.52190144795,9860.69603673949,5155.99187972429,19152.8830028919,5734.34780463294,17160.7805310437,NA,8260,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"2",1995,"klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",4277.52294521791,1471.81660355426,4040.77156819913,2097.83520130858,7804.51736162564,2336.8211920292,6998.9852675956,NA,2863,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"3",1995,"klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",3396.45772451507,1226.57770891482,3190.93700067277,1605.90751326532,6343.0508701006,1794.56212497928,5673.900319359,NA,5203,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"4",1995,"klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",2644.62254094691,917.697894742678,2499.95020524926,1300.57178437998,4842.68419144376,1443.0579458344,4345.98187129748,NA,3249,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"5",1995,"klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",16368.3754626909,5663.06257255641,15478.1481121666,8030.67013015488,29889.5069480952,8872.79224992822,26947.4498890506,NA,10906,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"6",1995,"klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",283.399252887452,99.0157865894608,267.337249805184,137.648311470134,520.886470320341,153.183251609746,469.688035885,NA,217,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"7",1995,"klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",675.063321155976,232.691137079963,638.300336960363,331.17324948492,1233.29656789145,369.221444211995,1107.14393365673,NA,755,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"8",1995,"klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",5097.08531049557,2014.93337065332,4740.26768445551,2246.57759823719,10029.4022889879,2536.53575118242,8866.72162315491,NA,2897,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"9",1996,"klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",29169.7067094252,8991.30986540292,27938.1715561726,15379.9571786674,50353.8316606955,16972.8574075669,45716.6150328692,NA,46432,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"10",1996,"klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",13158.0124053883,4033.15971405901,12604.5723449706,6971.75204652871,22549.0771076467,7676.17069396998,20528.3464299181,NA,14477,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"11",1996,"klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",8262.77140335061,2582.93999368365,7886.2848903372,4303.01062886487,14296.9857188461,4766.16836680386,13041.3342181265,NA,13511,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"12",1996,"klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",6832.07222942877,2070.14495557883,6541.41212416152,3645.15849058566,11639.9443335762,4012.13895468608,10613.3260911216,NA,6472,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"13",1996,"klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",50977.7657127223,15795.1483094137,48697.9601189155,26842.8547529535,88289.7461349705,29534.811303751,80158.762185374,NA,77876,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"14",1996,"klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",753.387353518912,234.174074352319,718.337600644127,398.322672435927,1310.20484009327,438.139478499845,1190.96604141501,NA,447,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"15",1996,"klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",1668.53867570227,510.645723275497,1597.54174982487,883.715261792389,2865.84328736801,972.883085821558,2605.33309272175,NA,1335,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"16",1996,"klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",17053.6429490055,6850.57683335643,15881.5770729282,7322.37142733695,33600.7707358119,8289.77691787565,29713.8774382182,NA,NA,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"17",1997,"klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",16330.8077226724,4772.71172707342,15669.4587128088,8953.9201298142,27622.3870777941,9817.00760816295,25130.6526957776,NA,10797,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"18",1997,"klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",9443.58555078164,2779.82338177886,9058.90953569068,5171.08408492797,15922.0511747195,5648.83251960044,14530.9531451307,NA,12097,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"19",1997,"klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",4042.68824423583,1245.0369484704,3875.46815103809,2107.59558652772,6965.47367964233,2332.96512618062,6339.68849012727,NA,1450,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"20",1997,"klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",4370.53539134028,1287.44721582348,4183.66082367539,2385.18907758979,7366.92883391462,2609.30924178163,6754.56136809588,NA,2790,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"21",1997,"klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",32558.4531724741,9469.95099594277,31246.9879940308,17976.4710755883,54944.0631981554,19637.6909968292,49975.3769568946,NA,42646,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"22",1997,"klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",595.191236546739,179.628192958845,569.55276616918,320.850266569081,1012.06278736254,351.79022744038,923.750494449505,NA,1097,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"23",1997,"klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",1097.11277341836,322.168764114158,1051.9543185817,601.322091072725,1850.20400949302,660.810752552634,1687.14381837709,NA,1246,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"24",1997,"klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",13462.5789013393,4150.04059170227,12866.5803364799,7091.67538349419,23218.6195986542,7827.63716009421,21093.5972769235,NA,16283,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"25",1998,"klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",12243.6681419532,3519.86516786131,11763.1170772302,6792.05302014933,20387.3362354829,7425.87279004997,18650.0462877432,NA,10030,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"26",1998,"klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",7073.33968683518,2045.73093774895,6791.19936453096,3909.97484729075,11807.1870072364,4261.71476191677,10829.3336443449,NA,8561,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"27",1998,"klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",3319.01705079844,983.797124843553,3188.01393275217,1784.40450613347,5594.55909582401,1958.83370710751,5124.05162933893,NA,2001,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"28",1998,"klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",3760.3414289146,1075.68050020623,3622.06126212292,2080.09066906446,6251.79797872101,2277.03773313221,5728.26679891829,NA,3472,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"29",1998,"klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",21470.8683374432,6090.25916103089,20653.2331879895,11927.4341563941,35629.0625496331,13022.1673055576,32628.1314726726,NA,11507,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"30",1998,"klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",424.616673003521,126.42444031199,407.167521760248,230.853147544274,721.599367513922,252.070873503199,658.501443355029,NA,647,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"31",1998,"klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",789.004793467688,227.050484602637,757.017667130634,436.089603130595,1320.03692387154,477.579833268181,1206.59550328984,NA,1234,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
"32",1998,"klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",11490.6408825134,3354.67850156958,11035.9567908471,6305.65337741196,19376.1418773519,6911.56708242857,17658.7312190591,NA,13049,NA,NA,NA,NA,NA,"Up. Klamath - Trinity River Chinook"
