"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",13817.6392564455,NA,12320.49050253,1995,1999,"Up. Klamath - Trinity River Chinook"
"2","klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",829.013309892116,NA,836.953748228571,1995,1999,"Up. Klamath - Trinity River Chinook"
"3","klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",6898.61559598722,NA,6775.65024994914,1995,1999,"Up. Klamath - Trinity River Chinook"
"4","klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",4007.3253191188,NA,3490.97220824066,1995,1999,"Up. Klamath - Trinity River Chinook"
"5","klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",411.126785519738,NA,411.315291040454,1995,1999,"Up. Klamath - Trinity River Chinook"
"6","klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",3833.27008527875,NA,3586.4313723551,1995,1999,"Up. Klamath - Trinity River Chinook"
"7","klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",24535.7199479362,NA,25215.8260366647,1995,1999,"Up. Klamath - Trinity River Chinook"
"8","klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",10124.6387149833,NA,NA,1995,1999,"Up. Klamath - Trinity River Chinook"
"9","klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",14162.7832561635,NA,14988.5158176854,2000,2004,"Up. Klamath - Trinity River Chinook"
"10","klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",554.031207962292,NA,497.950273320903,2000,2004,"Up. Klamath - Trinity River Chinook"
"11","klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",5412.68551886076,NA,5899.66590668851,2000,2004,"Up. Klamath - Trinity River Chinook"
"12","klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",5788.65253363264,NA,6623.89911579916,2000,2004,"Up. Klamath - Trinity River Chinook"
"13","klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",225.718518775025,NA,202.351004777185,2000,2004,"Up. Klamath - Trinity River Chinook"
"14","klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",7580.36723004538,NA,7542.30111268796,2000,2004,"Up. Klamath - Trinity River Chinook"
"15","klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",22168.2648927681,NA,18084.8473589158,2000,2004,"Up. Klamath - Trinity River Chinook"
"16","klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",13749.1573409314,NA,13662.7916406929,2000,2004,"Up. Klamath - Trinity River Chinook"
"17","klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",4838.28965996941,NA,4492.40511557376,2005,2009,"Up. Klamath - Trinity River Chinook"
"18","klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",371.956733028255,NA,346.017216964056,2005,2009,"Up. Klamath - Trinity River Chinook"
"19","klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",2381.06561502362,NA,2057.41634521321,2005,2009,"Up. Klamath - Trinity River Chinook"
"20","klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",2577.18094489703,NA,2236.25947739325,2005,2009,"Up. Klamath - Trinity River Chinook"
"21","klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",108.526291244203,NA,NA,2005,2009,"Up. Klamath - Trinity River Chinook"
"22","klamathriv_upperklamath.chinook.fall","Up. Klamath - Trinity River Chinook",5393.28946295105,NA,5319.28013573956,2005,2009,"Up. Klamath - Trinity River Chinook"
"23","klamathriv_uppertrinity.chinook.fall","Up. Klamath - Trinity River Chinook",15371.6414602082,NA,16127.6827124062,2005,2009,"Up. Klamath - Trinity River Chinook"
"24","klamathriv_uppertrinity.chinook.spring","Up. Klamath - Trinity River Chinook",5668.3500070271,NA,5431.90046124538,2005,2009,"Up. Klamath - Trinity River Chinook"
"25","klamathriv_boguscrk.chinook.fall","Up. Klamath - Trinity River Chinook",6242.15271774146,NA,5589.11934575424,2010,2014,"Up. Klamath - Trinity River Chinook"
"26","klamathriv_salmonriv.chinook.spring","Up. Klamath - Trinity River Chinook",900.620465269761,NA,909.41207864482,2010,2014,"Up. Klamath - Trinity River Chinook"
"27","klamathriv_scottriv.chinook.fall","Up. Klamath - Trinity River Chinook",4958.55765977472,NA,4210.86452385659,2010,2014,"Up. Klamath - Trinity River Chinook"
"28","klamathriv_shastariv.chinook.fall","Up. Klamath - Trinity River Chinook",8252.85103783029,NA,7444.76527924196,2010,2014,"Up. Klamath - Trinity River Chinook"
"29","klamathriv_southforktrinity.chinook.fall","Up. Klamath - Trinity River Chinook",201.320451363126,NA,229.549129257098,2010,2014,"Up. Klamath - Trinity River Chinook"
