"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0661239425168754,0.00243417221136049,0.123902930100298,-0.309904051415018,-0.148602857496837,-0.066928752315137,0.0156511408376536,0.177029912822601,2590.95907556612,1.00253052774251
"mu[2]",-0.0268843540296774,0.00247784230982031,0.124198610086392,-0.268182723423527,-0.109869693292958,-0.0278729149563177,0.0558427293165264,0.218510379264418,2512.38471512255,1.00254582796518
"mu[3]",0.0437843880552164,0.0024357673484079,0.123944539527521,-0.198873475582647,-0.0388983771583505,0.0429836187567798,0.125998485449752,0.28728893272482,2589.30486801751,1.00261344216116
"mu[4]",0.0319372648928363,0.0024398134857254,0.12407916686556,-0.211473666665616,-0.0507634578378687,0.0319955754660646,0.113997936240083,0.276434852843126,2586.33324607924,1.00235164738134
"mu[5]",-0.0248644666933911,0.00245810430825892,0.124281417882288,-0.26671087528946,-0.107619549008186,-0.0258116795331414,0.0576588502368112,0.220853673326519,2556.29978018821,1.00244659414223
"mu[6]",-0.106847109021559,0.00244550170152963,0.124809689401463,-0.350117868147167,-0.189686576985086,-0.107914303091853,-0.0245749585032477,0.13875502356285,2604.71772960472,1.00255778396514
"mu[7]",-0.050478776032982,0.00244492606178657,0.124374939023874,-0.295570281314579,-0.133361386853896,-0.0510362603150598,0.0314798412968297,0.195471449745779,2587.82141095529,1.00233980754705
"mu[8]",-1.54477587774293e-05,0.00249790558903454,0.125007236619009,-0.243229461682539,-0.0838783468486932,-0.000731494596562882,0.083020562678277,0.245777241490605,2504.48405045577,1.00248779345834
"sigma2_R",0.215692376458052,0.000616277393112081,0.0401231600443921,0.141243827363697,0.188243874435176,0.214017804632119,0.241200530183144,0.298926216285499,4238.74984234439,1.00088933814276
"sigma2_Q",0.41853187212404,0.00129789375618136,0.125404505158297,0.229179232306514,0.329869329697508,0.40045054665109,0.486226546154072,0.714594644378976,9335.72373095482,1.00071651975651
"theta",0.80013205708553,0.00151608708687905,0.0868325264511441,0.600157713873566,0.74775652021227,0.811217879889204,0.864432266993962,0.934846591700107,3280.32275963067,1.00093104561058
