"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",32.5799299405293,10.1442644221763,31.253009775094,16.934972776792,56.4635504221921,18.7395895176315,51.0807397779588,0.67,33,21.8285530601546,11.3464317604506,37.8305787828687,12.5555249768131,34.2240956512324,"Upper Columbia River Spring-run Chinook Salmon ESU"
"2",1995,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",43.6055071799809,13.815117261007,41.4667909231611,22.9528932623687,76.5325681983904,25.330292792578,68.8912002677296,0.77,46,33.5762405285853,17.6737278120239,58.9300775127606,19.5043254502851,53.0462242061518,"Upper Columbia River Spring-run Chinook Salmon ESU"
"3",1995,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",86.7839412159551,28.7917132985065,81.8587093907733,45.7925944686978,156.788334528544,50.0496923660108,140.106814966848,0.38,58,32.9778976620629,17.4011858981051,59.5795671208468,19.0188830990841,53.2405896874024,"Upper Columbia River Spring-run Chinook Salmon ESU"
"4",1996,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",44.5271613484714,12.4322498937479,43.0362824983775,24.6384663843612,73.1584815980529,27.0053716818571,66.8910250113767,0.8,50,35.6217290787771,19.710773107489,58.5267852784423,21.6042973454857,53.5128200091014,"Upper Columbia River Spring-run Chinook Salmon ESU"
"5",1996,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",57.6337677407007,19.1457560108604,54.1749841027894,30.6050104138548,104.260077703553,33.3545908093796,93.3246777880044,0.61,31,35.1565983218274,18.6690563524515,63.5986473991675,20.3463003937215,56.9280534506827,"Upper Columbia River Spring-run Chinook Salmon ESU"
"6",1996,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",158.368041379104,44.0711061787622,152.922052998155,88.512999097564,260.848217913759,96.9112308728846,238.410106352403,0.75,182,118.776031034328,66.384749323173,195.636163435319,72.6834231546635,178.807579764303,"Upper Columbia River Spring-run Chinook Salmon ESU"
"7",1997,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",100.043079487876,27.903877985674,96.5438452182072,55.3944151585624,164.668947668425,61.0517801046619,150.565321471584,0.83,82,83.0357559749371,45.9773645816068,136.675226564793,50.6729774868694,124.969216821415,"Upper Columbia River Spring-run Chinook Salmon ESU"
"8",1997,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",201.275624030899,57.5741537353018,194.26931380007,108.688728280537,332.497727767899,120.071803382171,305.746508650302,0.77,347,154.982230503792,83.6903207760132,256.023250381282,92.4552886042719,235.424811660732,"Upper Columbia River Spring-run Chinook Salmon ESU"
"9",1997,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",468.429798508502,138.882130998471,453.207861264,242.338942551003,777.677642934579,269.714348913686,718.261089821485,0.33,578,154.581833507806,79.9718510418309,256.633622168411,89.0057351415165,237.02615964109,"Upper Columbia River Spring-run Chinook Salmon ESU"
"10",1998,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",52.1925007830707,14.0610003565867,50.4312479519328,29.9577016074805,84.8093611274926,32.6825245213855,77.9033181264759,0.79,53,41.2320756186258,23.6665842699096,66.9993952907192,25.8191943718946,61.543621319916,"Upper Columbia River Spring-run Chinook Salmon ESU"
"11",1998,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",90.8362107494654,31.5350536136995,85.6993421281743,44.8383877559592,165.694157270918,49.5168331817042,149.364651406789,0.49,41,44.509743267238,21.97081000042,81.19013706275,24.263248259035,73.1886791893268,"Upper Columbia River Spring-run Chinook Salmon ESU"
"12",1998,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",242.52392474115,67.7186446717853,234.612014188096,134.835423184279,398.730240115893,147.398651779832,365.664734979398,0.43,323,104.285287638694,57.9792319692401,171.454003249834,63.3814202653276,157.235836041141,"Upper Columbia River Spring-run Chinook Salmon ESU"
"13",1999,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",61.9805604531065,17.1474216048793,59.8405079307278,34.8428058722567,101.705984972973,38.1032908834876,92.8653520993074,0.39,75,24.1724185767115,13.5886942901801,39.6653341394596,14.8602834445601,36.2174873187299,"Upper Columbia River Spring-run Chinook Salmon ESU"
"14",1999,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",151.960114266802,45.2532865203707,144.544951408348,85.7346823142867,261.193755266361,92.9800719232767,235.689102585242,0.39,116,59.2644445640527,33.4365261025718,101.865564553881,36.2622280500779,91.9187500082443,"Upper Columbia River Spring-run Chinook Salmon ESU"
"15",1999,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",235.651419240183,71.0573270778518,224.802188843665,129.951144149901,404.720191509685,141.682545940851,366.940059088331,0.91,133,214.442791508567,118.25554117641,368.295374273814,128.931116806175,333.915453770381,"Upper Columbia River Spring-run Chinook Salmon ESU"
"16",2000,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",209.469169833154,56.7800073014984,202.04547001403,120.986226911815,342.012347968618,131.569127278421,312.76501248229,0.37,197,77.5035928382669,44.7649039573715,126.544568748389,48.6805770930158,115.723054618447,"Upper Columbia River Spring-run Chinook Salmon ESU"
"17",2000,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",972.761660403999,264.161772169506,942.421431238104,547.25190940392,1576.55138746312,596.897453395287,1451.20782328186,0.12,979,116.73139924848,65.6702291284704,189.186166495574,71.6276944074344,174.144938793823,"Upper Columbia River Spring-run Chinook Salmon ESU"
"18",2000,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1120.04376215763,296.5716400526,1084.15096347828,646.182931572383,1805.7487812986,703.199485051466,1655.25977744588,0.39,1250,436.817067241476,252.01134331323,704.242024706454,274.247799170072,645.551313203893,"Upper Columbia River Spring-run Chinook Salmon ESU"
"19",2001,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",504.670875355444,159.605783938518,479.240228918084,269.09988127879,886.667130934469,294.414360325492,799.693641168869,0.7,323,353.269612748811,188.369916895153,620.666991654128,206.090052227845,559.785548818209,"Upper Columbia River Spring-run Chinook Salmon ESU"
"20",2001,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",4726.95049222414,1966.91015654141,4344.97212225233,1956.04852278488,9509.99602067169,2204.86309118497,8559.95410223493,0.17,10971,803.581583678103,332.528248873429,1616.69932351419,374.826725501445,1455.19219737994,"Upper Columbia River Spring-run Chinook Salmon ESU"
"21",2001,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",3394.82976886834,938.41528932599,3296.76959377094,1852.33041841196,5531.48918839239,2052.81947401934,5097.10574211923,0.25,3930,848.707442217085,463.082604602991,1382.8722970981,513.204868504835,1274.27643552981,"Upper Columbia River Spring-run Chinook Salmon ESU"
"22",2002,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",298.304407947332,87.3257682360125,284.86798159389,166.923216984952,506.649008181451,182.122617873887,459.753172462806,0.66,230,196.880909245239,110.169323210068,334.388345399758,120.200927796766,303.437093825452,"Upper Columbia River Spring-run Chinook Salmon ESU"
"23",2002,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",2286.99060044466,665.771061948857,2209.75314783987,1214.42699061972,3795.29996591044,1340.83693463784,3492.0537072742,0.13,2636,297.308778057806,157.875508780564,493.388995568358,174.30880150292,453.966981945646,"Upper Columbia River Spring-run Chinook Salmon ESU"
"24",2002,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1757.26923621999,472.680043288932,1695.51334319348,1017.48485620114,2865.53727139165,1106.30048402872,2619.24482329572,0.45,1595,790.771156298997,457.868185290512,1289.49177212624,497.835217812923,1178.66017048307,"Upper Columbia River Spring-run Chinook Salmon ESU"
"25",2003,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",251.265412530621,67.1812529074035,242.891911608741,145.142215029845,407.06422230179,157.82170793226,372.998189466025,0.76,262,190.961713523272,110.308083422682,309.36880894936,119.944498028518,283.478623994179,"Upper Columbia River Spring-run Chinook Salmon ESU"
"26",2003,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1371.66733196575,370.675629315598,1322.0608041484,795.750168469,2239.59820116368,864.248633155884,2050.73225429018,0.05,1138,68.5833665982874,39.78750842345,111.979910058184,43.2124316577942,102.536612714509,"Upper Columbia River Spring-run Chinook Salmon ESU"
"27",2003,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1206.27674494864,336.447939428148,1158.37104131858,693.470557707971,1998.38320731871,753.92078286382,1825.62190464832,0.39,978,470.44793052997,270.453517506109,779.369450854298,294.02910531689,711.992542812845,"Upper Columbia River Spring-run Chinook Salmon ESU"
"28",2004,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",360.708388722725,97.2946270931861,350.244403059489,203.445397598263,580.386081094031,222.677381607914,535.513661916167,0.32,449,115.426684391272,65.1025272314442,185.72354595009,71.2567621145323,171.364371813173,"Upper Columbia River Spring-run Chinook Salmon ESU"
"29",2004,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1695.03115032506,452.174594358952,1635.4389413074,985.834863557901,2747.3035230388,1069.92056163154,2526.76526390953,0.33,1497,559.360279607268,325.325504974107,906.610162602803,353.073785338407,833.832537090144,"Upper Columbia River Spring-run Chinook Salmon ESU"
"30",2004,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1645.56382832506,433.490955955587,1592.10346247087,954.85725714615,2656.49088011387,1041.19947866949,2437.24240115427,0.63,1605,1036.70521184479,601.560072002075,1673.58925447174,655.95567156178,1535.46271272719,"Upper Columbia River Spring-run Chinook Salmon ESU"
"31",2005,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",283.447245108713,75.8846576765616,273.669110206268,163.87979928795,459.967820851201,178.780560067808,421.503232411691,0.49,263,138.88915010327,80.3011016510953,225.384232217089,87.6024744332259,206.536583881729,"Upper Columbia River Spring-run Chinook Salmon ESU"
"32",2005,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1461.11494413649,391.86744890935,1410.09872520268,845.634379396301,2369.45107974886,919.002985523581,2174.23208193366,0.38,1376,555.223678771867,321.341064170595,900.391410304568,349.221134498961,826.208191134789,"Upper Columbia River Spring-run Chinook Salmon ESU"
"33",2005,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1443.68364678818,385.743913712117,1392.69439453216,828.784014905452,2337.17832610019,906.063057119349,2145.28186507788,0.21,1473,303.173565825517,174.044643130145,490.80744848104,190.273241995063,450.509191666355,"Upper Columbia River Spring-run Chinook Salmon ESU"
"34",2006,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",239.432295318818,65.1578729467371,230.567536907287,138.869441971082,394.062913248389,150.92475558264,358.359182013103,0.42,188,100.561564033903,58.3251656278545,165.506423564323,63.3883973447088,150.510856445503,"Upper Columbia River Spring-run Chinook Salmon ESU"
"35",2006,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1348.42096501214,363.029827730289,1304.99857865097,766.438033737875,2180.36675069755,837.262855092918,2005.16308756461,0.19,1748,256.199983352307,145.623226410196,414.269682632534,159.079942467654,380.980986637276,"Upper Columbia River Spring-run Chinook Salmon ESU"
"36",2006,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1247.51495181367,342.184210379752,1197.01383051434,723.53706299553,2055.49453914649,784.420940496518,1879.72551319137,0.33,939,411.679934098512,238.767230788525,678.313197918341,258.858910363851,620.309419353154,"Upper Columbia River Spring-run Chinook Salmon ESU"
"37",2007,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",346.621729276112,93.6837559234784,335.49071336168,196.684362363805,559.584870698472,214.823918345982,516.322766715637,0.44,468,152.513560881489,86.5411194400741,246.217343107328,94.5225240722321,227.18201735488,"Upper Columbia River Spring-run Chinook Salmon ESU"
"38",2007,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1466.07842448464,400.697629011569,1410.81307937875,841.545324887406,2407.31386816988,915.851032051397,2197.27456688576,0.25,1079,366.519606121159,210.386331221851,601.82846704247,228.962758012849,549.318641721441,"Upper Columbia River Spring-run Chinook Salmon ESU"
"39",2007,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1869.55261001867,491.17120662642,1811.24733280988,1075.66687997433,2986.27373567235,1174.49365237765,2754.12120782706,0.19,2005,355.214995903548,204.376707195122,567.392009777746,223.153793951754,523.283029487142,"Upper Columbia River Spring-run Chinook Salmon ESU"
"40",2008,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",258.905840867128,71.5450540636989,248.620734199934,149.933307120688,428.260278519979,162.810398356099,391.337482574048,0.49,194,126.863862024893,73.467320489137,209.84753647479,79.7770951944885,191.755366461284,"Upper Columbia River Spring-run Chinook Salmon ESU"
"41",2008,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1283.07618529301,354.294914473649,1234.43940274593,740.261928250379,2113.11393619769,802.896267722373,1928.5169813484,0.3,1002,384.922855587904,222.078578475114,633.934180859306,240.868880316712,578.55509440452,"Upper Columbia River Spring-run Chinook Salmon ESU"
"42",2008,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1747.79729532414,469.227357539617,1692.38773450428,1000.25150643377,2805.0606098739,1087.71004791306,2593.66186375861,0.17,2139,297.125540205103,170.04275609374,476.860303678563,184.91070814522,440.922516838963,"Upper Columbia River Spring-run Chinook Salmon ESU"
"43",2009,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",393.377701850845,103.891540643015,379.975839016645,228.024396231787,633.344167707845,248.492381543204,582.322759390148,0.49,368,192.755073906914,111.731954153576,310.338642176844,121.76126695617,285.338152101173,"Upper Columbia River Spring-run Chinook Salmon ESU"
"44",2009,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",2193.1674378006,589.692590086859,2128.07265331461,1238.09860264022,3534.44298307864,1353.64049619843,3264.97682625097,0.21,2641,460.565161938127,260.000706554446,742.233026446514,284.26450420167,685.645133512705,"Upper Columbia River Spring-run Chinook Salmon ESU"
"45",2009,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",2355.68721295476,620.500500903821,2278.53523155148,1366.52026087994,3788.20845003412,1483.2255818762,3482.36328588419,0.27,2195,636.035547497784,368.960470437583,1022.81628150921,400.470907106575,940.238087188731,"Upper Columbia River Spring-run Chinook Salmon ESU"
"46",2010,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",424.85952754166,112.403934672257,411.040834661684,245.619638209056,683.549800123448,267.64436805997,627.7070162534,0.75,445,318.644645656245,184.214728656792,512.662350092586,200.733276044977,470.78026219005,"Upper Columbia River Spring-run Chinook Salmon ESU"
"47",2010,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",2249.20030305069,603.644550184765,2178.91167643327,1280.73730080784,3638.75437261939,1403.2084313472,3334.64555975616,0.25,2364,562.300075762673,320.18432520196,909.688593154847,350.8021078368,833.661389939039,"Upper Columbia River Spring-run Chinook Salmon ESU"
"48",2010,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",2284.26491648623,631.836000059297,2193.33869274078,1317.01896871595,3776.89955736039,1432.99764662317,3438.94053509977,0.31,1759,708.122124110732,408.275880301944,1170.83886278172,444.229270453184,1066.07156588093,"Upper Columbia River Spring-run Chinook Salmon ESU"
"49",2011,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",503.055645295932,132.817766473564,487.361140826646,288.844854877536,808.613258665901,316.161701176996,742.558369573944,0.75,508,377.291733971949,216.633641158152,606.459943999426,237.121275882747,556.918777180458,"Upper Columbia River Spring-run Chinook Salmon ESU"
"50",2011,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",2577.75973176924,687.117837536571,2502.57701013938,1466.30788672077,4139.10643059263,1604.82687566323,3826.32437619365,0.33,2935,850.660711483848,483.881602617855,1365.90512209557,529.592868968867,1262.6870441439,"Upper Columbia River Spring-run Chinook Salmon ESU"
"51",2011,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",2962.68380112009,784.183403594568,2867.79920520212,1719.03505803822,4782.47323935919,1866.86853876373,4389.83522274283,0.4,2876,1185.07352044804,687.614023215288,1912.98929574368,746.747415505491,1755.93408909713,"Upper Columbia River Spring-run Chinook Salmon ESU"
"52",2012,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",360.704510162145,96.4182448302677,348.744661656177,207.027293969405,582.814916556169,225.809289437432,535.503574540629,0.66,385,238.064976707015,136.638014019807,384.657844927071,149.034131028705,353.432359196815,"Upper Columbia River Spring-run Chinook Salmon ESU"
"53",2012,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1634.52017668448,446.750378074549,1574.68513570548,946.062914270903,2681.98641342173,1025.40147472007,2448.63839295389,0.2,1280,326.904035336896,189.212582854181,536.397282684346,205.080294944014,489.727678590778,"Upper Columbia River Spring-run Chinook Salmon ESU"
"54",2012,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",2365.07368557832,627.141722330012,2291.81067741704,1358.9206067144,3810.03419322598,1483.78160233536,3487.2118624491,0.37,2511,875.077263663979,502.800624484327,1409.71265149361,548.999192864084,1290.26838910617,"Upper Columbia River Spring-run Chinook Salmon ESU"
"55",2013,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",249.375742995907,68.8607073557554,239.638171017141,143.556746892886,409.404659134218,155.680684128718,376.301061972846,0.79,192,197.006836966767,113.40983004538,323.429680716032,122.987740461687,297.277838958549,"Upper Columbia River Spring-run Chinook Salmon ESU"
"56",2013,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1248.95260793558,338.454854096693,1200.73161350253,726.117665165737,2042.15327424283,789.866534576863,1869.39657375596,0.22,1089,274.769573745828,159.745886336462,449.273720333423,173.77063760691,411.267246226311,"Upper Columbia River Spring-run Chinook Salmon ESU"
"57",2013,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1856.83622606116,498.452303968703,1796.85696067154,1066.08150533862,3003.59599540997,1164.24167036557,2760.1488947316,0.34,2033,631.324316860796,362.46771181513,1021.22263843939,395.842167924292,938.450624208745,"Upper Columbia River Spring-run Chinook Salmon ESU"
"58",2014,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",317.458169933053,86.0615216213284,305.533427636665,183.938278776988,518.220098794354,200.329420853652,475.553129054384,0.92,245,292.061516338409,169.223216474829,476.762490890806,184.30306718536,437.508878730033,"Upper Columbia River Spring-run Chinook Salmon ESU"
"59",2014,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1644.61613314657,442.647405031106,1593.51954529796,929.794821524499,2653.46819173529,1016.29879906282,2443.85308088695,0.25,2063,411.154033286642,232.448705381125,663.367047933823,254.074699765704,610.963270221738,"Upper Columbia River Spring-run Chinook Salmon ESU"
"60",2014,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",2159.12360870505,573.301456517894,2090.68475278052,1244.21899984562,3483.54207743574,1354.82497583198,3190.39706474197,0.57,2219,1230.70045696188,709.204829912002,1985.61898413837,772.250236224227,1818.52632690292,"Upper Columbia River Spring-run Chinook Salmon ESU"
"61",2015,"Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",380.827435649998,108.105666079403,368.047927500373,207.403894031717,624.599610780201,227.36479642724,575.705864528352,0.82,509,312.278497232998,170.071193106008,512.171680839764,186.439133070337,472.078808913248,"Upper Columbia River Spring-run Chinook Salmon ESU"
