"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",54.240684613953,36.4512208453982,55.7348691571065,1995,1999,"Upper Columbia River Spring-run Chinook Salmon ESU"
"2","Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",93.0678393126194,54.5398608808187,74.8752299647449,1995,1999,"Upper Columbia River Spring-run Chinook Salmon ESU"
"3","Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",205.662549548653,106.250001511958,192.174728709205,1995,1999,"Upper Columbia River Spring-run Chinook Salmon ESU"
"4","Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",309.89558967883,164.050232266285,280.019865951002,2000,2004,"Upper Columbia River Spring-run Chinook Salmon ESU"
"5","Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1895.20272259642,254.605138477689,2171.03924972695,2000,2004,"Upper Columbia River Spring-run Chinook Salmon ESU"
"6","Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1676.99048110452,677.727416358855,1651.86833608036,2000,2004,"Upper Columbia River Spring-run Chinook Salmon ESU"
"7","Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",299.152383998819,139.107488432475,277.71657455223,2005,2009,"Upper Columbia River Spring-run Chinook Salmon ESU"
"8","Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1520.5414481445,391.887863723178,1470.15622080362,2005,2009,"Upper Columbia River Spring-run Chinook Salmon ESU"
"9","Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1691.89277169366,384.266689773599,1670.80437980348,2005,2009,"Upper Columbia River Spring-run Chinook Salmon ESU"
"10","Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",360.670594218754,277.540912323185,332.989357270481,2010,2014,"Upper Columbia River Spring-run Chinook Salmon ESU"
"11","Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",1810.73239722879,446.091141108108,1819.69470362895,2010,2014,"Upper Columbia River Spring-run Chinook Salmon ESU"
"12","Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",2298.61116060411,893.842390870139,2247.18704733242,2010,2014,"Upper Columbia River Spring-run Chinook Salmon ESU"
"13","Chinook Salmon (Upper Columbia River Spring-run ESU) - Entiat River","Upper Columbia River Spring-run Chinook Salmon ESU",164.717957504773,118.697123204739,165.780173740632,2015,2019,"Upper Columbia River Spring-run Chinook Salmon ESU"
"14","Chinook Salmon (Upper Columbia River Spring-run ESU) - Methow River","Upper Columbia River Spring-run Chinook Salmon ESU",678.705247072481,217.21697162239,643.617797988012,2015,2019,"Upper Columbia River Spring-run Chinook Salmon ESU"
"15","Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River","Upper Columbia River Spring-run Chinook Salmon ESU",1147.28839500195,417.975643866079,1081.22446313096,2015,2019,"Upper Columbia River Spring-run Chinook Salmon ESU"
