"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,2638.02626897857,2614.57711456181,1863.30196559284,3546.5288849561,1976.87559441917,3372.33162074863,389.773325589822,274.37744523959,525.196325232547,290.987513456812,499.906632730927,2987,"Upper Columbia River Steelhead DPS"
"2",1996,1628.30347961908,1610.72638326599,1217.44492480289,2139.7422241284,1274.6333423531,2038.16356023207,377.577852636825,277.111446779523,501.164382021983,291.060522188922,477.245275986465,1845,"Upper Columbia River Steelhead DPS"
"3",1997,2465.86903158425,2444.35044499614,1869.91305570277,3187.53301274233,1954.29978594185,3047.31983961429,535.395144985307,392.488135543582,728.41976539609,411.261501006151,688.112050203612,2802,"Upper Columbia River Steelhead DPS"
"4",1998,3944.77307167799,3911.02763836886,2946.46990080353,5118.88283597329,3089.06027752216,4893.66905872357,452.766398627915,316.487040163046,652.899836359792,333.746848054319,611.082711792308,4227,"Upper Columbia River Steelhead DPS"
"5",1999,3076.86224911985,3042.53581340791,2333.68947698967,4014.07865770366,2436.16346012215,3834.62524979491,610.460785586853,432.673085640714,890.209358615567,453.50700210749,830.726207898802,2896,"Upper Columbia River Steelhead DPS"
"6",2000,4183.75596657109,4140.98559301848,3178.2019850762,5447.68241687829,3318.54112688052,5194.07728526429,710.270777044966,538.257995929852,932.677129202094,561.320797287719,888.320669549698,4093,"Upper Columbia River Steelhead DPS"
"7",2001,7438.17448741591,7367.36354965283,5614.8007184472,9650.54630091774,5888.21885204833,9239.55071807026,1318.22622795954,986.233648514833,1740.58850806302,1032.24252744785,1654.93539798306,7196,"Upper Columbia River Steelhead DPS"
"8",2002,17107.9033384637,17022.8636139465,12289.3936399387,22468.6199041656,13000.105285915,21489.3415279948,2549.86283951726,1824.0298238582,3402.62832529491,1927.10077921328,3248.94247859975,20571,"Upper Columbia River Steelhead DPS"
"9",2003,10528.1275296698,10424.9778325501,7993.51244193977,13673.770161461,8345.99758996923,13074.1681544734,1729.24792450494,1302.13609772573,2267.4305308899,1362.20490046684,2165.02228409382,10051,"Upper Columbia River Steelhead DPS"
"10",2004,11674.3281132444,11564.0071228192,8877.34157726114,15137.9755386369,9289.06700689894,14460.0593866163,1660.08421299102,1250.26031346329,2166.23979727059,1309.07531080239,2067.75247232686,11247,"Upper Columbia River Steelhead DPS"
"11",2005,12068.4066432272,11970.8442839,9379.57189139528,15339.1531330704,9772.20241978108,14712.3445558585,1697.065424815,1298.78482589625,2171.51041082918,1358.15898655596,2079.33852831552,12153,"Upper Columbia River Steelhead DPS"
"12",2006,6838.22810459503,6772.91749214235,5173.62660108078,8894.39501112689,5414.83564721804,8484.07926543569,1630.90615404616,1233.96159437457,2117.60938442428,1289.75123540934,2023.34935023827,6693,"Upper Columbia River Steelhead DPS"
"13",2007,5570.5283223126,5518.82697446226,4185.8939611234,7255.54731115107,4384.66972449352,6944.45533073287,1094.27694919279,823.936262972394,1447.96452668565,861.578938395893,1374.72542570513,5778,"Upper Columbia River Steelhead DPS"
"14",2008,6648.48262188277,6589.98773199445,5015.27673313762,8615.76512286052,5243.61517492486,8240.42664630152,1742.96571048648,1321.30497421358,2257.3032675717,1380.56249202545,2156.55556793976,6805,"Upper Columbia River Steelhead DPS"
"15",2009,9185.00027551268,9090.66480702132,6971.60274335722,11923.9331305193,7295.10413801024,11396.1537178582,1915.62709353978,1441.69065157241,2517.08059049785,1508.03148778644,2399.11612377263,8590,"Upper Columbia River Steelhead DPS"
"16",2010,16118.9391603126,16021.3106245766,11923.9464670497,20903.3080876115,12548.894042328,20025.368285934,3681.26940082934,2702.91175747714,4792.09093667473,2848.83328427988,4588.3631822933,18546,"Upper Columbia River Steelhead DPS"
"17",2011,9786.40092823358,9666.3536908278,7476.67879026679,12764.6892412114,7804.04766161292,12183.0086144964,4046.09947008672,3055.8683438348,5308.46317934045,3194.14490826211,5059.08101786518,8717,"Upper Columbia River Steelhead DPS"
"18",2012,10125.7936031188,10027.8286694571,7722.29432750326,13095.9393773344,8060.6723721171,12513.2861399494,2797.66356609997,2101.12954922085,3679.91988205122,2194.021601725,3509.02335945471,10267,"Upper Columbia River Steelhead DPS"
"19",2013,7808.42307080799,7728.3731907646,5937.70692203991,10119.26901675,6203.12831431164,9677.10738626573,1854.76073530632,1393.45736631545,2436.05038669249,1461.3663609966,2317.59882969223,7662,"Upper Columbia River Steelhead DPS"
"20",2014,6354.14940711078,6284.98524658667,4838.49233392584,8235.13240232781,5060.01609067174,7876.77052085853,2914.46718211048,2214.8808699558,3782.04762912651,2318.84758851106,3613.66038612421,6052,"Upper Columbia River Steelhead DPS"
"21",2015,6770.11458495423,6701.85987796895,5155.01156582412,8777.33888464424,5383.16662756285,8381.46465711103,2867.49652331252,2175.38709131695,3726.06228147906,2273.88086613114,3557.27535277463,6429,"Upper Columbia River Steelhead DPS"
"22",2016,6488.24068876607,6438.50162647092,4878.44625585519,8405.77548533686,5113.52391163597,8032.12783985182,2174.10919542727,1634.97658115026,2815.20480783961,1712.62624934765,2689.69232963463,6808,"Upper Columbia River Steelhead DPS"
"23",2017,3782.7771693233,3745.45100076949,2850.60045807266,4925.348805417,2985.4948096178,4714.5680584347,1019.68967229194,767.527341944617,1332.99625359324,804.611216177818,1273.33314167444,3856,"Upper Columbia River Steelhead DPS"
"24",2018,2742.26854208114,2712.52777866984,2069.58252515348,3590.24971887822,2168.03088616688,3424.01565886719,895.383700772736,678.177014347684,1165.64697011216,709.47252748135,1113.78559265221,2674,"Upper Columbia River Steelhead DPS"
"25",2019,2340.52650932889,2313.39761576967,1755.7084060014,3076.49929945536,1838.81394021459,2928.94439117889,890.381344659317,677.344290883902,1153.7343216879,708.895607232897,1101.35324933133,2325,"Upper Columbia River Steelhead DPS"
"26",2020,2227.27369259385,2197.85354486855,1646.89473466541,2978.2284727336,1725.17150974833,2831.19424149775,1346.85603132117,1013.24955536536,1771.12546870168,1059.51703902627,1684.58327580864,2109,"Upper Columbia River Steelhead DPS"
