"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Steelhead (Upper Columbia River DPS) - Entiat River","Upper Columbia River Steelhead DPS",158.170611072585,36.3928286439297,153.960282894023,99.7820787084794,241.956150106004,106.953886519881,224.454557396187,0.28,127,44.2877711003239,27.9389820383742,67.7477220296812,29.9470882255666,62.8472760709324,"Upper Columbia River Steelhead DPS"
"2",1995,"Steelhead (Upper Columbia River DPS) - Methow River","Upper Columbia River Steelhead DPS",679.200347899556,160.54988572397,658.559647765477,423.848283074483,1052.95876238653,455.635634686339,974.165927742805,0.16,676,108.672055663929,67.8157252919173,168.473401981845,72.9017015498142,155.866548438849,"Upper Columbia River Steelhead DPS"
"3",1995,"Steelhead (Upper Columbia River DPS) - Okanogan River","Upper Columbia River Steelhead DPS",416.059970942444,95.5968451373594,404.738052443786,260.233535592285,635.104973211205,280.468727062106,590.430933097208,0.07,436,29.1241979659711,18.21634749146,44.4573481247844,19.6328108943474,41.3301653168046,"Upper Columbia River Steelhead DPS"
"4",1995,"Steelhead (Upper Columbia River DPS) - Wenatchee River","Upper Columbia River Steelhead DPS",1384.59533906399,378.945069429031,1357.04774209512,735.635091286203,2199.38451118445,814.091754520012,2050.98554733954,0.15,1748,207.689300859598,110.34526369293,329.907676677668,122.113763178002,307.647832100931,"Upper Columbia River Steelhead DPS"
"5",1996,"Steelhead (Upper Columbia River DPS) - Entiat River","Upper Columbia River Steelhead DPS",123.267777414621,25.1933961613498,120.878626172754,80.8024808968764,179.371135772652,86.2557072426914,167.930454904761,0.31,156,38.2130109985326,25.0487690780317,55.6050520895222,26.7392692452343,52.058441020476,"Upper Columbia River Steelhead DPS"
"6",1996,"Steelhead (Upper Columbia River DPS) - Methow River","Upper Columbia River Steelhead DPS",452.142994981901,114.022736000986,435.658827656394,277.273794049641,718.11449461965,297.272210159663,662.408621151056,0.25,237,113.035748745475,69.3184485124102,179.528623654912,74.3180525399157,165.602155287764,"Upper Columbia River Steelhead DPS"
"7",1996,"Steelhead (Upper Columbia River DPS) - Okanogan River","Upper Columbia River Steelhead DPS",263.461172139158,64.5303094424697,254.52843754264,163.320550314719,414.060354869858,174.680649988146,382.30882169277,0.08,146,21.0768937711326,13.0656440251775,33.1248283895887,13.9744519990516,30.5847057354216,"Upper Columbia River Steelhead DPS"
"8",1996,"Steelhead (Upper Columbia River DPS) - Wenatchee River","Upper Columbia River Steelhead DPS",789.4315350834,190.893344093405,772.265067625013,469.876322897996,1207.08207409456,509.245590256557,1126.98212467414,0.26,1306,205.252199121684,122.167843953479,313.841339264586,132.403853466705,293.015352415277,"Upper Columbia River Steelhead DPS"
"9",1997,"Steelhead (Upper Columbia River DPS) - Entiat River","Upper Columbia River Steelhead DPS",177.351804655198,35.0132702461364,173.909136737642,118.711489630901,255.349872958762,126.578233666077,240.045652732261,0.24,132,42.5644331172476,28.4907575114162,61.2839695101028,30.3787760798585,57.6109566557426,"Upper Columbia River Steelhead DPS"
"10",1997,"Steelhead (Upper Columbia River DPS) - Methow River","Upper Columbia River Steelhead DPS",1035.41629704367,210.028660981948,1016.22790709514,680.940638790905,1500.92399580224,725.623335640522,1409.04955181061,0.11,1501,113.895792674803,74.9034702669996,165.101639538246,79.8185669204574,154.995450699167,"Upper Columbia River Steelhead DPS"
