"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,74072.5673186479,70097.8315681693,40966.9222144977,129592.142504077,44434.7210993946,117372.140180089,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"2",1996,66597.4828143541,63870.1206467665,39679.4056466169,108866.751405947,42739.4292578725,99562.085062544,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"3",1997,72492.9294286109,69966.907966987,44502.4520501067,115221.647309284,47738.0266812394,105962.569362377,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"4",1998,69017.7248283645,66790.7097310885,43214.1652931483,108106.386239489,46108.0837743012,99443.336961692,NA,NA,NA,NA,NA,60605,"Upper Columbia River Summer and Fall Run Chinook"
"5",1999,68896.2563896546,66728.1557307789,43412.6442521774,107169.341532268,46447.0166526017,98809.6632275273,NA,NA,NA,NA,NA,61317,"Upper Columbia River Summer and Fall Run Chinook"
"6",2000,74876.6604951573,72202.6873781209,46727.3466419747,118375.063356773,50008.5303084773,108634.852797268,NA,NA,NA,NA,NA,74757,"Upper Columbia River Summer and Fall Run Chinook"
"7",2001,91775.402362086,88699.8526144798,56642.8830252111,145446.720661065,60524.584737467,133388.142719722,NA,NA,NA,NA,NA,91835,"Upper Columbia River Summer and Fall Run Chinook"
"8",2002,144114.02871839,138872.28840696,88160.8761859466,230327.629817914,94409.3837097641,211502.59101832,NA,NA,NA,NA,NA,130692,"Upper Columbia River Summer and Fall Run Chinook"
"9",2003,160122.902635942,154017.981190339,96571.8947291325,259775.126644396,103587.820890132,237717.198483825,NA,NA,NA,NA,NA,163066,"Upper Columbia River Summer and Fall Run Chinook"
"10",2004,113445.636121813,109208.736140099,68229.3757058702,182455.089985263,73759.7242748917,167647.027458532,NA,NA,NA,NA,NA,117060,"Upper Columbia River Summer and Fall Run Chinook"
"11",2005,88245.4479757384,84786.9425117,53028.3897646489,144109.614987399,56979.1208741463,131564.320248755,NA,NA,NA,NA,NA,96671,"Upper Columbia River Summer and Fall Run Chinook"
"12",2006,69674.1669777058,66922.922263616,41780.9393074803,113960.76778271,44917.4022845875,103761.562160689,NA,NA,NA,NA,NA,82000,"Upper Columbia River Summer and Fall Run Chinook"
"13",2007,57636.763731538,54752.5547629899,32316.4293942598,99811.2250046477,35026.7998838921,89891.1339208532,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"14",2008,53435.4184626395,51413.7822873998,32430.3122898069,85796.4989224913,34946.1868203028,78622.8109622414,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"15",2009,58396.8666223397,56256.5953057492,35443.2427734214,93722.0485639288,38063.7227716574,85894.0896395465,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"16",2010,84210.1097422964,79778.4887031221,46532.6557034572,147085.910098906,50445.4071912887,132776.006558372,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"17",2011,106358.648679001,101916.094553353,62428.2348656087,175587.243324404,67421.1956099413,159947.16022788,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"18",2012,102831.071253453,98730.9210811138,60132.9413255318,169481.236667177,64700.4813905921,154526.349357569,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"19",2013,196167.760810573,187778.251711617,112421.210561736,329087.626023233,121505.426971747,299733.964701247,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"20",2014,207675.490715602,198353.069844209,117193.713129097,351100.550816656,127275.61728545,320359.957694069,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"21",2015,200187.224929977,190019.798709594,110884.584079041,346339.608788423,120488.616077633,314205.446419092,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"22",2016,143066.585601972,136584.417006456,80208.4894309065,243385.085974432,87361.4035266104,220585.245750949,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"23",2017,103363.221296773,98799.818357621,59050.0889372293,174604.279685345,63975.899532784,158328.246731212,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"24",2018,80438.3678015705,76860.6642010098,45466.6054728395,136379.240577025,49371.7703064875,123646.90145814,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"25",2019,97125.8852260474,92527.3072717655,54549.1953165515,166687.805702064,59336.9938224332,150944.719731551,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
"26",2020,112285.734800211,105177.792326726,58363.1729763185,206059.190215678,63756.5778166105,185013.181315632,NA,NA,NA,NA,NA,NA,"Upper Columbia River Summer and Fall Run Chinook"
