"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Big White Salmon River Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",1991.48486982635,NA,1996.99949924872,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"2","Hanford Reach Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",45234.2421667013,NA,41468.5708148138,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"3","Klickitat Fall (Tule) Chinook-","Upper Columbia River Summer and Fall Run Chinook",1805.19781177839,NA,1689.72286200814,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"4","Klickitat Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",5486.73614421819,NA,5444.55502055053,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"5","Lake Chelan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",15.900019947311,NA,13.3504815631327,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"6","Methow Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",2460.47596266613,2111.81978976138,2326.69912895976,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"7","Okanogan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",4060.34891073828,2030.17445536914,3993.99899849744,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"8","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",546.72898958855,NA,NA,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"9","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",60.2646914699397,60.2646914699397,62.8076643376731,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"10","Wenatchee Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",6757.64335593319,5936.29157203856,6046.27548626143,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"11","Yakima River Bright Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",1587.18922967268,NA,NA,1995,1999,"Upper Columbia River Summer and Fall Run Chinook"
"12","Big White Salmon River Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",2446.54794209074,NA,2001.99950049935,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"13","Hanford Reach Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",76857.5365436256,NA,75097.6109225426,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"14","Klickitat Fall (Tule) Chinook-","Upper Columbia River Summer and Fall Run Chinook",1581.28645821339,NA,1674.87087500096,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"15","Klickitat Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",7759.80144333788,NA,6950.76315711513,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"16","Lake Chelan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",15.2758347708639,NA,12.9531454906534,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"17","Methow Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",3639.55149836763,2301.32072325127,3166.17332306449,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"18","Okanogan Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",4884.05835567398,2442.02917783699,4003.9990009987,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"19","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Little White Salmon River (Drano) Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",1382.19896257172,NA,1806.23190655789,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"20","Upper Gorge (Columbia) Late Fall (Bright) Chinook-Wind River Late Fall (Bright) Chinook","Upper Columbia River Summer and Fall Run Chinook",245.589958022449,245.589958022449,251.434040712799,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"21","Wenatchee Summer Chinook-","Upper Columbia River Summer and Fall Run Chinook",11136.0664055,9207.15540229272,9852.22367177531,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"22","Yakima River Bright Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",2144.17485981521,NA,2763.76220296827,2000,2004,"Upper Columbia River Summer and Fall Run Chinook"
"23","Big White Salmon River Late Fall (Bright) Chinook-","Upper Columbia River Summer and Fall Run Chinook",1818.33583088456,NA,2006.99950174375,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"24","Hanford Reach Fall Chinook-","Upper Columbia River Summer and Fall Run Chinook",42865.9475228722,NA,NA,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
"25","Klickitat Fall (Tule) Chinook-","Upper Columbia River Summer and Fall Run Chinook",275.261301178721,NA,228.195883636796,2005,2009,"Upper Columbia River Summer and Fall Run Chinook"
