"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.0321888959960342,0.00101117418083461,0.0952202745218013,-0.154915554585968,-0.0300574438851141,0.0316548384199349,0.0945524516096014,0.220641511845639,8867.61674272125,1.00026795587207
"mu[2]",0.0232464801042784,0.00102824232575657,0.0949708894690969,-0.164758742620396,-0.0391096810943482,0.0237026068145397,0.0860740630351928,0.209698480397056,8530.8058340672,1.00027133770201
"mu[3]",-0.135406012498979,0.00106284275799828,0.108171394395112,-0.347358199446726,-0.20605127304286,-0.136149152168157,-0.0658612468771278,0.0814947544778159,10358.2603057214,1.00026211373237
"mu[4]",-0.0302857146588771,0.00105997223933925,0.0959539432194406,-0.217375870866683,-0.0935589398673705,-0.0315096374768156,0.0321684397061303,0.162739866850843,8194.76815277943,1.00025030616507
"mu[5]",-0.0953508732230471,0.00113833890719277,0.135095066679394,-0.366123506718342,-0.183312490421242,-0.0951094977794763,-0.00619454308344504,0.170422291464337,14084.3179426669,1.00012095656477
"mu[6]",0.0140009435068795,0.00105291792442672,0.0959932670231761,-0.175817375122298,-0.0476726257791488,0.0139180629333706,0.075649069393628,0.204901992339869,8311.75067438569,1.00044549626184
"mu[7]",0.00340571380555389,0.00102105983599918,0.0953698991653108,-0.186893936833461,-0.0585593869544944,0.0036461624031552,0.0655533137266362,0.191651152179385,8724.09247272988,1.0000423828618
"mu[8]",0.0983797833427455,0.00104808207443015,0.0992582780982215,-0.100064123244923,0.0340798357414404,0.0989410844326694,0.16355010108231,0.292635077892119,8968.97652695687,1.00043479219411
"mu[9]",0.15508209957636,0.00104606195243716,0.0956378839070303,-0.0334204016989109,0.0926106078587498,0.155238480913945,0.217987829164241,0.343759191369569,8358.8225244224,1.0002697237555
"mu[10]",-0.0292622182347151,0.00104178376972361,0.0956883366299725,-0.220644331701928,-0.0907644457163274,-0.0284145025463387,0.0326767073329531,0.159868848370281,8436.51020447759,1.00015146371699
"mu[11]",-0.0360868981167789,0.00106420898183055,0.099722949734048,-0.23299121335718,-0.101495489084387,-0.0370197753482734,0.0288076786622354,0.163995620072571,8780.84664248605,1.00036849067439
"sigma2_R",0.371379947729409,0.00147058064691807,0.0644927884299068,0.251025697285031,0.327324995506541,0.369619572228688,0.413366261749881,0.503233912135822,1923.28930543909,1.00157249317474
"sigma2_Q",0.221520426341644,0.00185741755107522,0.0781647428035554,0.0989717125849356,0.165366105533169,0.211391487744482,0.266159123378775,0.402042281476675,1770.93538842882,1.00199081579568
"theta",0.47607374154914,0.00409574038416262,0.162622369088919,0.17929380087549,0.356853918913279,0.470643264170792,0.589646864142764,0.803601730546242,1576.50635796172,1.00224130361842
