"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,47756.6499526257,47476.936584836,38827.0989118507,58356.839764074,40076.2170104845,56376.3452734222,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"2",1996,56394.4835617514,56126.356027704,47238.9348674826,67064.911785096,48625.9762473337,65108.1416834772,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"3",1997,47344.9303356122,47169.4490115818,39884.4025076395,55905.6486411955,40930.9901174744,54400.7245396485,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"4",1998,43528.2649642648,43363.0886381218,36701.9673820029,51347.0610208405,37702.5890848634,49974.7256560586,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"5",1999,33517.9162450565,33402.8944071084,28245.3620513072,39474.832971766,29013.98175022,38419.1044675689,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"6",2000,32874.8524333856,32759.3179956025,27762.7036032378,38695.5291507646,28530.4886535914,37630.6711355368,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"7",2001,37197.8132977528,37060.3722906952,31485.0988571292,43663.4616427994,32328.1416878073,42496.2490898919,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"8",2002,44122.1138077238,43949.483136588,37387.3019593203,51808.6181224128,38402.6101987671,50438.9389608018,NA,NA,NA,NA,NA,43073,"Washington Coast Chinook"
"9",2003,49887.4752226056,49689.3738989841,42075.3298527151,58751.9639240752,43258.7835901597,57207.2824355695,NA,NA,NA,NA,NA,60246,"Washington Coast Chinook"
"10",2004,66710.8313429469,66426.7088424208,55706.9158485493,79262.9135278245,57356.8265411763,76946.5139457392,NA,NA,NA,NA,NA,75400,"Washington Coast Chinook"
"11",2005,51834.9939437332,51648.4607900295,43664.3533479338,61079.226003399,44845.2567587508,59488.9832293407,NA,NA,NA,NA,NA,57021,"Washington Coast Chinook"
"12",2006,48916.678408402,48663.2538495777,40734.5053455948,58405.3272522012,41935.0438844492,56718.0091994587,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"13",2007,35260.0573470451,35114.0115258682,29000.2909633981,42372.1816882271,29928.7666376006,41144.7639396392,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"14",2008,41590.0493025404,41438.6865302731,34907.4857095256,49175.7252178493,35879.7524456462,47836.3263240318,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"15",2009,45916.5218133199,45711.1003151685,38514.456936832,54517.9819980446,39556.3105285148,52959.3929834425,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"16",2010,56345.352720995,56043.9180122804,46646.2223564792,67665.8577971613,48034.8894178447,65640.8131545777,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"17",2011,50582.9263808342,50358.6938030126,42497.4680817679,59881.4332041628,43645.0245064031,58207.560047916,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"18",2012,41993.5975895442,41822.98407545,35336.7989070704,49591.8212348262,36259.6753318851,48281.3102149736,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"19",2013,41238.2711946785,41061.3716028719,34826.3672999575,48613.5238858347,35756.6205956881,47283.1104259446,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"20",2014,38634.7942916437,38486.6309028472,32496.3367799512,45703.8234090914,33388.2421854328,44404.9814645295,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"21",2015,46926.7145654412,46694.7951775812,39290.1120532217,55885.9550163696,40372.0086222618,54259.8271668227,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"22",2016,36098.1285107137,35897.1011636021,30170.2152709969,43036.6772406547,31013.0015230856,41770.7948875114,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"23",2017,39963.5035574779,39712.1109921818,33258.9714828587,47971.1225849664,34258.3083467013,46374.7151009701,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"24",2018,40530.6168485745,40215.0991079294,33577.9111686798,49175.363435927,34495.7029901771,47409.7591291972,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"25",2019,46649.0962447168,46122.4339295845,37630.8353608721,58191.3383596762,38816.5042083433,55707.6562561627,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
"26",2020,56572.562873496,55684.5828672604,43903.0835416392,73525.7148559693,45590.0264326292,69881.4226542809,NA,NA,NA,NA,NA,NA,"Washington Coast Chinook"
