"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Bear River Fall Chinook-","Total",1995,2020,-0.0518765031656903,0.0145648874759777,"Washington Coast Chinook"
"2","Bear River Fall Chinook-","Natural",1995,2020,-0.0328241683077244,0.0188303266660656,"Washington Coast Chinook"
"3","Calawah Fall Chinook-","Total",1995,2020,-0.00398282711857435,0.00640153773401473,"Washington Coast Chinook"
"4","Calawah Fall Chinook-","Natural",1995,2020,-0.00144691147346028,0.00701014285101973,"Washington Coast Chinook"
"5","Calawah Summer Chinook-","Total",1995,2020,0.0144538924736471,0.00692031979678165,"Washington Coast Chinook"
"6","Chehalis Fall Chinook-","Total",1995,2020,0.00443485919054892,0.00516547203810135,"Washington Coast Chinook"
"7","Chehalis Spring Chinook-","Total",1995,2020,-0.0397243123403983,0.00543101000164839,"Washington Coast Chinook"
"8","Chehalis Spring Chinook-","Natural",1995,2020,-0.0397243123403983,0.00543101000164839,"Washington Coast Chinook"
"9","Clearwater Fall Chinook-","Total",1995,2020,0.000179588700146066,0.00514489068698142,"Washington Coast Chinook"
"10","Clearwater Fall Chinook-","Natural",1995,2020,-0.000531065947034995,0.00531506178010015,"Washington Coast Chinook"
"11","Clearwater Spring/Summer Chinook-","Total",1995,2020,0.0651867883059245,0.00817137255096486,"Washington Coast Chinook"
"12","Clearwater Spring/Summer Chinook-","Natural",1995,2020,0.0665382085288691,0.00890853054585273,"Washington Coast Chinook"
"13","Cook Creek Fall Chinook-","Total",1995,2020,0.0598901376395719,0.00693063092616947,"Washington Coast Chinook"
"14","Dickey Fall Chinook-","Total",1995,2020,0.0281417818637681,0.0055706574696279,"Washington Coast Chinook"
"15","Dickey Fall Chinook-","Natural",1995,2020,0.0282344885153719,0.00630864078860863,"Washington Coast Chinook"
"16","Hoh Fall Chinook-","Total",1995,2020,-0.0179923734745122,0.00395737160875611,"Washington Coast Chinook"
"17","Hoh Fall Chinook-","Natural",1995,2020,-0.0182157137037839,0.00399082485716782,"Washington Coast Chinook"
"18","Hoh Spring/Summer Chinook-","Total",1995,2020,-0.0118581306152517,0.00497088150735988,"Washington Coast Chinook"
"19","Hoh Spring/Summer Chinook-","Natural",1995,2020,-0.0119379317783369,0.00508299177636226,"Washington Coast Chinook"
"20","Hoko Fall Chinook-","Total",1995,2020,0.0138210231740995,0.0106589726820032,"Washington Coast Chinook"
"21","Hoko Fall Chinook-","Natural",1995,2020,0.00838597169412105,0.0229944977018961,"Washington Coast Chinook"
"22","Hoquiam Fall Chinook-","Total",1995,2020,-0.0521056292670876,0.00708907066665496,"Washington Coast Chinook"
"23","Hoquiam Fall Chinook-","Natural",1995,2020,-0.0499356524574083,0.00726953553485706,"Washington Coast Chinook"
"24","Humptulips Fall Chinook-","Total",1995,2020,0.0291310378130577,0.00561860204740729,"Washington Coast Chinook"
"25","Humptulips Fall Chinook-","Natural",1995,2020,0.00851436893792144,0.00736502487877109,"Washington Coast Chinook"
"26","Naselle Fall Chinook-","Total",1995,2020,-0.0219391856680654,0.0100671646009889,"Washington Coast Chinook"
"27","Naselle Fall Chinook-","Natural",1995,2020,0.0138367553463821,0.0136919790657946,"Washington Coast Chinook"
