"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,78009.9443263037,76954.9159172373,57765.1905063014,104057.634009739,60614.6663487892,98969.0982283504,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"2",1996,92803.3870496518,92192.8682667277,73942.9679303551,115186.96460806,76588.4715987463,111025.14053596,NA,NA,NA,NA,NA,105106,"Washington Coast Coho"
"3",1997,32945.7175080388,32676.4077240253,26344.925466055,41143.8772123693,27262.900194865,39642.7352009514,NA,NA,NA,NA,NA,30284,"Washington Coast Coho"
"4",1998,50156.2613717899,49814.5043627125,40125.2049497383,62323.2100331605,41479.9383398131,60007.6792022461,NA,NA,NA,NA,NA,50667,"Washington Coast Coho"
"5",1999,46243.886577621,45943.2902507307,36844.1472615296,57416.6822402212,38205.946366618,55340.9620957076,NA,NA,NA,NA,NA,47380,"Washington Coast Coho"
"6",2000,59716.1622977377,59307.4778020328,47601.9623382366,74201.4400768856,49345.938917857,71553.4109643782,NA,NA,NA,NA,NA,64733,"Washington Coast Coho"
"7",2001,135937.218155385,135050.739939485,109016.079310688,167999.474135132,112796.328778917,162045.486271611,NA,NA,NA,NA,NA,135278,"Washington Coast Coho"
"8",2002,181437.336840583,180226.274029902,145869.018051089,223638.026749405,150984.640318371,215679.380590391,NA,NA,NA,NA,NA,175168,"Washington Coast Coho"
"9",2003,128973.833381768,128081.663178498,103333.91665796,159990.762994029,106961.535742216,154191.000239304,NA,NA,NA,NA,NA,139827,"Washington Coast Coho"
"10",2004,113746.483249493,112993.584923968,91458.9789678373,140960.070560892,94575.6074822944,135979.210255907,NA,NA,NA,NA,NA,105154,"Washington Coast Coho"
"11",2005,72985.8427419564,72485.782084463,58404.8889602421,90508.2670357084,60511.5679015184,87285.9368594684,NA,NA,NA,NA,NA,70800,"Washington Coast Coho"
"12",2006,30081.0990641846,29852.8297182387,23892.5891301656,37579.4081999211,24768.0399577224,36158.3860337813,NA,NA,NA,NA,NA,32068,"Washington Coast Coho"
"13",2007,46585.91450151,46233.6715718418,37116.3336229655,58074.5549366638,38419.7266968179,55904.1701654208,NA,NA,NA,NA,NA,43431,"Washington Coast Coho"
"14",2008,48553.5124396715,48204.873740661,38268.7079479303,60851.5202463201,39738.6879644561,58588.4756032515,NA,NA,NA,NA,NA,52614,"Washington Coast Coho"
"15",2009,116028.524883484,115099.53953437,91085.2298514736,146415.562936717,94566.2618835241,140695.730061676,NA,NA,NA,NA,NA,119873,"Washington Coast Coho"
"16",2010,219042.208610156,215843.120692961,161999.068528756,295570.526177204,169086.352407694,280255.644246192,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"17",2011,99036.5463516553,98162.2461439015,76854.3653419836,126477.494337759,79808.7896549261,121266.06128743,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"18",2012,80896.6541368423,80202.3520603893,63112.2190268503,102734.015964693,65650.8397594755,98563.0832294935,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"19",2013,86549.6981010754,85806.5882443635,68680.3320865054,108731.374044859,71062.5154428405,104567.421999307,NA,NA,NA,NA,NA,83089,"Washington Coast Coho"
"20",2014,161127.057631979,159827.736101207,127785.045417774,201732.161951848,132469.225687334,194293.500719796,NA,NA,NA,NA,NA,164805,"Washington Coast Coho"
"21",2015,44618.6773918262,44225.6703255945,35289.4068305679,56173.0470924558,36565.7700999547,54053.0163473071,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"22",2016,68817.9307853597,68239.2769227663,54694.0889719949,86133.4403285461,56741.8901186171,82906.508020908,NA,NA,NA,NA,NA,69262,"Washington Coast Coho"
"23",2017,37261.1681184968,36868.0750145602,28621.0129352962,47992.4206221545,29857.7903064277,45953.1331960373,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"24",2018,58560.3001125019,57964.1573774289,44767.8608723124,75725.5123818229,46703.7703243948,72409.5945380405,NA,NA,NA,NA,NA,NA,"Washington Coast Coho"
"25",2019,50444.3732260478,49938.431426599,39666.2177406678,64073.0233461993,41140.673673159,61467.9207375446,NA,NA,NA,NA,NA,46434,"Washington Coast Coho"
"26",2020,44922.6701933394,44377.597800785,34986.0230981389,57908.1567746454,36322.7429270583,55376.2158891713,NA,NA,NA,NA,NA,40291,"Washington Coast Coho"
