"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Bear River Coho","Washington Coast Coho",259.709319491802,NA,NA,1995,1999,"Washington Coast Coho"
"2","Chehalis Coho","Washington Coast Coho",17210.5530047017,NA,16843.47159813,1995,1999,"Washington Coast Coho"
"3","Hoquiam Coho","Washington Coast Coho",1848.10397361263,NA,1942.69023505144,1995,1999,"Washington Coast Coho"
"4","Humptulips Coho","Washington Coast Coho",6063.01968683795,NA,5852.4824330601,1995,1999,"Washington Coast Coho"
"5","Naselle Coho","Washington Coast Coho",2787.82701214637,NA,NA,1995,1999,"Washington Coast Coho"
"6","Nemah Coho","Washington Coast Coho",3970.48476775239,NA,NA,1995,1999,"Washington Coast Coho"
"7","North River/Smith Creek Coho","Washington Coast Coho",5497.19555170777,NA,5146.44587396419,1995,1999,"Washington Coast Coho"
"8","Palix/Niawiakum Coho","Washington Coast Coho",306.349758486556,NA,NA,1995,1999,"Washington Coast Coho"
"9","Satsop Coho","Washington Coast Coho",6984.7542514208,NA,7026.36258775349,1995,1999,"Washington Coast Coho"
"10","South Bay Coho","Washington Coast Coho",1282.16352801448,NA,1356.19950634034,1995,1999,"Washington Coast Coho"
"11","Willapa Coho","Washington Coast Coho",4805.00156006087,NA,NA,1995,1999,"Washington Coast Coho"
"12","Wishkah Coho","Washington Coast Coho",1242.62471670526,NA,1115.15500668684,1995,1999,"Washington Coast Coho"
"13","Wynoochee Coho","Washington Coast Coho",3121.86573392352,NA,3160.17235450982,1995,1999,"Washington Coast Coho"
"14","Bear River Coho","Washington Coast Coho",839.937554103423,NA,767.573870193823,2000,2004,"Washington Coast Coho"
"15","Chehalis Coho","Washington Coast Coho",35532.9713251689,NA,34321.5005046976,2000,2004,"Washington Coast Coho"
"16","Hoquiam Coho","Washington Coast Coho",2936.43096361208,NA,2815.22070369459,2000,2004,"Washington Coast Coho"
"17","Humptulips Coho","Washington Coast Coho",10574.6199738577,NA,10821.6749705426,2000,2004,"Washington Coast Coho"
"18","Naselle Coho","Washington Coast Coho",8032.93970716591,NA,8443.22464041793,2000,2004,"Washington Coast Coho"
"19","Nemah Coho","Washington Coast Coho",5061.14082155201,NA,4824.4333673486,2000,2004,"Washington Coast Coho"
"20","North River/Smith Creek Coho","Washington Coast Coho",18539.1738161741,NA,18822.4043158826,2000,2004,"Washington Coast Coho"
"21","Palix/Niawiakum Coho","Washington Coast Coho",667.64135038041,NA,661.482053566442,2000,2004,"Washington Coast Coho"
"22","Satsop Coho","Washington Coast Coho",10937.9890715957,NA,9884.49668283232,2000,2004,"Washington Coast Coho"
"23","South Bay Coho","Washington Coast Coho",1218.59639681462,NA,1073.5925617415,2000,2004,"Washington Coast Coho"
"24","Willapa Coho","Washington Coast Coho",13056.5170030086,NA,13281.1823235666,2000,2004,"Washington Coast Coho"
"25","Wishkah Coho","Washington Coast Coho",3095.45243399626,NA,3534.87399259556,2000,2004,"Washington Coast Coho"
"26","Wynoochee Coho","Washington Coast Coho",5687.05542453135,NA,5376.99102932529,2000,2004,"Washington Coast Coho"
"27","Bear River Coho","Washington Coast Coho",584.910664056891,NA,622.971911205578,2005,2009,"Washington Coast Coho"
"28","Chehalis Coho","Washington Coast Coho",19646.1456029838,17747.8538848645,19373.4920355101,2005,2009,"Washington Coast Coho"
"29","Hoquiam Coho","Washington Coast Coho",884.773379704916,NA,788.188094671894,2005,2009,"Washington Coast Coho"
"30","Humptulips Coho","Washington Coast Coho",2517.96512186885,1103.43965981833,2163.04081846604,2005,2009,"Washington Coast Coho"
"31","Naselle Coho","Washington Coast Coho",4193.37029781123,NA,4144.75787061524,2005,2009,"Washington Coast Coho"
"32","Nemah Coho","Washington Coast Coho",2767.82962259685,NA,2760.98602401651,2005,2009,"Washington Coast Coho"
"33","North River/Smith Creek Coho","Washington Coast Coho",9519.06487893713,NA,9675.94273860421,2005,2009,"Washington Coast Coho"
"34","Palix/Niawiakum Coho","Washington Coast Coho",326.935482127387,NA,297.01924491888,2005,2009,"Washington Coast Coho"
"35","Satsop Coho","Washington Coast Coho",5649.03104085956,3767.34164601659,5682.09498941945,2005,2009,"Washington Coast Coho"
"36","South Bay Coho","Washington Coast Coho",669.428385800397,NA,686.558122926317,2005,2009,"Washington Coast Coho"
"37","Willapa Coho","Washington Coast Coho",5806.67911559241,NA,5982.23500098995,2005,2009,"Washington Coast Coho"
"38","Wishkah Coho","Washington Coast Coho",844.556383254404,563.352542879449,732.066671080614,2005,2009,"Washington Coast Coho"
"39","Wynoochee Coho","Washington Coast Coho",2740.35272853565,NA,2709.30425042423,2005,2009,"Washington Coast Coho"
"40","Bear River Coho","Washington Coast Coho",997.706998149039,NA,946.416561465053,2010,2014,"Washington Coast Coho"
"41","Chehalis Coho","Washington Coast Coho",45974.3643024175,33721.2360430182,NA,2010,2014,"Washington Coast Coho"
"42","Hoquiam Coho","Washington Coast Coho",2793.11594084682,NA,NA,2010,2014,"Washington Coast Coho"
"43","Humptulips Coho","Washington Coast Coho",5240.59511952085,3511.37460848014,5671.94285563428,2010,2014,"Washington Coast Coho"
"44","Naselle Coho","Washington Coast Coho",7920.3566909333,NA,7426.34077369424,2010,2014,"Washington Coast Coho"
"45","Nemah Coho","Washington Coast Coho",4729.39421538494,NA,4518.94905379622,2010,2014,"Washington Coast Coho"
"46","North River/Smith Creek Coho","Washington Coast Coho",16698.2842714912,NA,16032.4277719559,2010,2014,"Washington Coast Coho"
"47","Palix/Niawiakum Coho","Washington Coast Coho",625.047631964337,NA,596.914222004947,2010,2014,"Washington Coast Coho"
"48","Satsop Coho","Washington Coast Coho",13583.7329793666,6541.26382531715,NA,2010,2014,"Washington Coast Coho"
"49","South Bay Coho","Washington Coast Coho",1431.20825083078,NA,1211.59189812733,2010,2014,"Washington Coast Coho"
"50","Willapa Coho","Washington Coast Coho",9621.75778957991,NA,9019.022951773,2010,2014,"Washington Coast Coho"
"51","Wishkah Coho","Washington Coast Coho",2991.07329060984,1866.7730161306,NA,2010,2014,"Washington Coast Coho"
"52","Wynoochee Coho","Washington Coast Coho",6746.3307964077,NA,NA,2010,2014,"Washington Coast Coho"
"53","Bear River Coho","Washington Coast Coho",623.729074055035,NA,599.375667603264,2015,2019,"Washington Coast Coho"
"54","Chehalis Coho","Washington Coast Coho",19861.9489577476,18898.5493500601,19600.9724566868,2015,2019,"Washington Coast Coho"
"55","Hoquiam Coho","Washington Coast Coho",981.76576536835,NA,NA,2015,2019,"Washington Coast Coho"
"56","Humptulips Coho","Washington Coast Coho",2076.61036144638,1065.86568598123,NA,2015,2019,"Washington Coast Coho"
"57","Naselle Coho","Washington Coast Coho",3554.96895831458,NA,3503.3689267054,2015,2019,"Washington Coast Coho"
"58","Nemah Coho","Washington Coast Coho",1904.93772840819,NA,1926.25658566798,2015,2019,"Washington Coast Coho"
"59","North River/Smith Creek Coho","Washington Coast Coho",6565.2424575222,NA,6290.96684460948,2015,2019,"Washington Coast Coho"
"60","Palix/Niawiakum Coho","Washington Coast Coho",415.561244322943,NA,414.213338252497,2015,2019,"Washington Coast Coho"
"61","Satsop Coho","Washington Coast Coho",6108.10861891791,2990.2483506864,6015.6370651317,2015,2019,"Washington Coast Coho"
"62","South Bay Coho","Washington Coast Coho",1698.88946526398,NA,NA,2015,2019,"Washington Coast Coho"
"63","Willapa Coho","Washington Coast Coho",4199.58547445148,NA,4026.69613611501,2015,2019,"Washington Coast Coho"
"64","Wishkah Coho","Washington Coast Coho",362.285528814624,258.837334119754,297.069821716741,2015,2019,"Washington Coast Coho"
"65","Wynoochee Coho","Washington Coast Coho",2124.79795886731,NA,NA,2015,2019,"Washington Coast Coho"
