"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Hoquiam Coho","Total",1995,2020,-0.0270763088249138,0.0166150151131801,"Washington Coast Coho"
"2","Wynoochee Coho","Total",1995,2020,-0.0151705963094277,0.0155822294870674,"Washington Coast Coho"
"3","South Bay Coho","Total",1995,2020,0.0177518553383732,0.0129992975606128,"Washington Coast Coho"
"4","North River/Smith Creek Coho","Total",1995,2020,0.000979697965537976,0.0166875203011748,"Washington Coast Coho"
"5","Willapa Coho","Total",1995,2020,-0.0144166217101032,0.0151535506322724,"Washington Coast Coho"
"6","Palix/Niawiakum Coho","Total",1995,2020,0.00956735449662779,0.0118944677424867,"Washington Coast Coho"
"7","Nemah Coho","Total",1995,2020,-0.036382547409206,0.0145721651122585,"Washington Coast Coho"
"8","Naselle Coho","Total",1995,2020,0.0040317717183267,0.0170015772335275,"Washington Coast Coho"
"9","Bear River Coho","Total",1995,2020,0.0361986497805492,0.0155319844858384,"Washington Coast Coho"
"10","Chehalis Coho","Total",1995,2020,0.0067350668806154,0.0140688634769948,"Washington Coast Coho"
"11","Chehalis Coho","Natural",1995,2020,0.0105118933207923,0.025071579341284,"Washington Coast Coho"
"12","Humptulips Coho","Total",1995,2020,-0.0597926545928126,0.0157687933464373,"Washington Coast Coho"
"13","Humptulips Coho","Natural",1995,2020,0.00258694348852122,0.0439070340400322,"Washington Coast Coho"
"14","Satsop Coho","Total",1995,2020,-0.00453928834344621,0.0134718925286729,"Washington Coast Coho"
"15","Satsop Coho","Natural",1995,2020,0.00190490204548231,0.0411019645485605,"Washington Coast Coho"
"16","Wishkah Coho","Total",1995,2020,-0.0536827599452231,0.0231327446626951,"Washington Coast Coho"
"17","Wishkah Coho","Natural",1995,2020,-0.0764330873299333,0.0525517375431753,"Washington Coast Coho"
