"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0309692904465348,0.00366344012630799,0.124408678900169,-0.272967311152665,-0.114031770323532,-0.0319259339784714,0.0522169278753862,0.214705857230913,1153.24919630076,1.00521168731565
"mu[2]",-0.0169605258511835,0.00366253121602523,0.124329049297219,-0.261287681790141,-0.100064721792664,-0.0171581756964903,0.0651985138918373,0.229275962415383,1152.34509006745,1.00497662879729
"mu[3]",0.0140609498672366,0.00368689804345771,0.124591594486914,-0.227872893403642,-0.0681694684781466,0.0140333357139043,0.0968923225645656,0.259414918371921,1141.97141176953,1.00531482186599
"mu[4]",0.0186566798091663,0.0036485953769175,0.124344962720774,-0.223495164341491,-0.0643991845113573,0.018656027083723,0.100733698430163,0.265437421064202,1161.46194792379,1.00506087060587
"mu[5]",-0.00254287180985124,0.00367883914961807,0.125442764440368,-0.247702319172775,-0.086044829094488,-0.0029772132244068,0.080585359003346,0.245000275622574,1162.70524966791,1.00471941251707
"mu[6]",0.0307641720236674,0.00367461057213998,0.124999528854512,-0.212977596985518,-0.0527780901429655,0.0297872833830838,0.112780494198254,0.281408433504597,1157.16186231364,1.00498525944962
"mu[7]",-0.0545283639879519,0.0037054052292525,0.125400221011751,-0.298474084241605,-0.138350837105691,-0.0554798624377095,0.0284547798570257,0.195758996074526,1145.31561985676,1.00482678914208
"mu[8]",-0.000399661715145732,0.0036915472165258,0.12540852808623,-0.244987872140149,-0.0844152732873856,-0.00122540149294012,0.0824271024046818,0.249583574467615,1154.08364351406,1.00474762504681
"mu[9]",0.0482799279000563,0.00370260370823497,0.12519128673907,-0.197186472941091,-0.0349967236258082,0.0477385609168476,0.131326884899086,0.296178676128581,1143.23034345979,1.00552813736223
"mu[10]",0.00614754067908157,0.00363497666926011,0.124822911426292,-0.23860430039902,-0.0765686834227345,0.00514937148937709,0.0890928511462762,0.252985554131368,1179.1942712484,1.00509745987401
"mu[11]",-0.0537195102728754,0.00369175196775853,0.124724707325381,-0.296526227788066,-0.136553786044708,-0.0554793155056003,0.0289699965318958,0.19385962233259,1141.40548956953,1.00527726486065
"mu[12]",-0.0113821454189748,0.00367933544489507,0.12450740193592,-0.254632264356661,-0.093912648347449,-0.0123478951775198,0.0713637470689885,0.236395588133548,1145.12151200817,1.00478320503424
"mu[13]",-0.0482098399073629,0.00364531790298641,0.124308307683272,-0.290002661244707,-0.131809506932282,-0.0492629433895761,0.0339243232758766,0.199553995675449,1162.86551364147,1.0049745249747
"sigma2_R",0.117330639579349,0.000366182112405607,0.02181914951857,0.0768831996722324,0.102356879109277,0.116474972793712,0.131449939203066,0.162710865536224,3550.43352201783,1.00067994753652
"sigma2_Q",0.452588884079342,0.00113472943847228,0.124218648359238,0.268912143603995,0.365001426434081,0.433221025639576,0.51747145760454,0.751329879396427,11983.6455389937,1.00018753830196
"theta",0.819195442276859,0.000932335665921712,0.0633538525666601,0.677153175473483,0.77991706204542,0.825719033872888,0.865180772308244,0.9233822961364,4617.44214721142,1.00043982113701
