,name,run
1,Chinook_California Coastal Chinook salmon_freshwtrcrk,late
2,Chinook_California Coastal Chinook salmon_russianriv,late
3,Chinook_California Coastal Chinook salmon_vanarsdale,late
4,Chinook_Central Valley fall-late fall-run Chinook Salmon_americanriv.chin.fall,late
5,Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.fall,late
6,Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.latefall,late
7,Chinook_Central Valley fall-late fall-run Chinook Salmon_buttecrk.chin.fall,late
8,Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.fall,late
9,Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.latefall,late
10,Chinook_Central Valley fall-late fall-run Chinook Salmon_cosumnesriv.chin.fall,late
11,Chinook_Central Valley fall-late fall-run Chinook Salmon_cottonwoodcrk.chin.fall,late
12,Chinook_Central Valley fall-late fall-run Chinook Salmon_cowcrk.chin.fall,late
13,Chinook_Central Valley fall-late fall-run Chinook Salmon_deercrk.chin.fall,late
14,Chinook_Central Valley fall-late fall-run Chinook Salmon_featherriv.chin.fall,late
15,Chinook_Central Valley fall-late fall-run Chinook Salmon_mercedriv.chin.fall,late
16,Chinook_Central Valley fall-late fall-run Chinook Salmon_millcrk.chin.fall,late
17,Chinook_Central Valley fall-late fall-run Chinook Salmon_mokelumneriv.chin.fall,late
18,Chinook_Central Valley fall-late fall-run Chinook Salmon_sacramentoriv.chin.fall,late
19,Chinook_Central Valley fall-late fall-run Chinook Salmon_sacramentoriv.chin.latefall,late
20,Chinook_Central Valley fall-late fall-run Chinook Salmon_stanislausriv.chin.fall,late
21,Chinook_Central Valley fall-late fall-run Chinook Salmon_tuolumneriv.chin.fall,late
22,Chinook_Central Valley fall-late fall-run Chinook Salmon_yubariv.chin.fall,late
23,Chinook_Central Valley Spring-Run Chinook Salmon_antelopecrk.chin.spr,early
24,Chinook_Central Valley Spring-Run Chinook Salmon_battlecrk.chin.spr,early
25,Chinook_Central Valley Spring-Run Chinook Salmon_bigchicocrk.chin.spr,early
26,Chinook_Central Valley Spring-Run Chinook Salmon_buttecrk.chin.spr,early
27,Chinook_Central Valley Spring-Run Chinook Salmon_clearcrk.chin.spr,early
28,Chinook_Central Valley Spring-Run Chinook Salmon_cottonwoodcrk.chin.spr,early
29,Chinook_Central Valley Spring-Run Chinook Salmon_deercrk.chin.spr,early
30,Chinook_Central Valley Spring-Run Chinook Salmon_millcrk.chin.spr,early
31,Chinook_Central Valley Spring-Run Chinook Salmon_sacramentoriv.chin.spr,early
32,Chinook_Central Valley Spring-Run Chinook Salmon_yubariv.chin.spr,early
33,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_American River Spring Chinook-,early
34,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Klickitat Spring Chinook-,early
35,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Middle Fork John Day spring Chinook salmon,early
36,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Naches Spring Chinook-,early
37,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_North Fork John Day spring Chinook salmon,early
38,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper John Day spring Chinook salmon,early
39,Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)_Upper Yakima River Spring Chinook-,early
40,Chinook_Deschutes River Summer-Fall-run Chinook Salmon_Deschutes Fall Chinook,late
41,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run,late
42,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run,late
43,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run,late
44,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run,late
45,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,late
46,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run,early
47,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright,late
48,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run,late
49,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,late
50,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run,late
51,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run,late
52,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run,early
53,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright,late
54,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run,late
55,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run,late
56,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run,late
57,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - Washougal River Fall-run,late
58,Chinook_Lower Columbia River Chinook Salmon ESU_Chinook Salmon (Lower Columbia River ESU) - White Salmon River Fall-run,late
59,Chinook_Oregon Coast Chinook salmon_Alsea fall Chinook,late
60,Chinook_Oregon Coast Chinook salmon_Coos fall Chinook,late
61,Chinook_Oregon Coast Chinook salmon_Coquille fall Chinook,late
62,Chinook_Oregon Coast Chinook salmon_Elk fall Chinook,late
63,Chinook_Oregon Coast Chinook salmon_Floras fall Chinook,late
64,Chinook_Oregon Coast Chinook salmon_Nehalem fall Chinook,late
65,Chinook_Oregon Coast Chinook salmon_Nestucca fall Chinook,late
66,Chinook_Oregon Coast Chinook salmon_North.Umpqua spring Chinook,early
67,Chinook_Oregon Coast Chinook salmon_Salmon fall Chinook,late
68,Chinook_Oregon Coast Chinook salmon_Siletz fall Chinook,late
69,Chinook_Oregon Coast Chinook salmon_Siuslaw fall Chinook,late
70,Chinook_Oregon Coast Chinook salmon_Sixes fall Chinook,late
71,Chinook_Oregon Coast Chinook salmon_South.Umpqua spring Chinook,early
72,Chinook_Oregon Coast Chinook salmon_Tillamook fall Chinook,late
73,Chinook_Oregon Coast Chinook salmon_Umpqua fall Chinook,late
74,Chinook_Oregon Coast Chinook salmon_Yaquina fall Chinook,late
75,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cascade River,early
76,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cedar River,late
