"","name","ESU","trend","Species.x","pop","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","shape","col","pos","X","run","shape_run"
"1","Chinook_California Coastal Chinook salmon_freshwtrcrk","California Coastal Chinook salmon",-0.233788004676064,"Chinook","freshwtrcrk",3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","T:Chinook:California Coastal",19,"#1B9E77",0,1,"late",1
"2","Chinook_California Coastal Chinook salmon_russianriv","California Coastal Chinook salmon",-0.0127461630080917,"Chinook","russianriv",3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","T:Chinook:California Coastal",19,"#1B9E77",0,2,"late",1
"3","Chinook_California Coastal Chinook salmon_vanarsdale","California Coastal Chinook salmon",0.0183554056847528,"Chinook","vanarsdale",3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","T:Chinook:California Coastal",19,"#1B9E77",1,3,"late",1
"4","Chinook_Central Valley fall-late fall-run Chinook Salmon_americanriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.0729082434848132,"Chinook","americanriv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,4,"late",1
"5","Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.123606115814775,"Chinook","battlecrk.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,5,"late",1
"6","Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",-0.0235154601580136,"Chinook","battlecrk.chin.latefall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,6,"late",1
"7","Chinook_Central Valley fall-late fall-run Chinook Salmon_buttecrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.0482862814406115,"Chinook","buttecrk.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,7,"late",1
"8","Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.0145939369474826,"Chinook","clearcrk.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,8,"late",1
"9","Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",0.0241532121020423,"Chinook","clearcrk.chin.latefall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",1,9,"late",1
"10","Chinook_Central Valley fall-late fall-run Chinook Salmon_cosumnesriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",0.0228347632473723,"Chinook","cosumnesriv.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",1,10,"late",1
"11","Chinook_Central Valley fall-late fall-run Chinook Salmon_cottonwoodcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.16505804296528,"Chinook","cottonwoodcrk.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,11,"late",1
"12","Chinook_Central Valley fall-late fall-run Chinook Salmon_cowcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",-0.113403902851906,"Chinook","cowcrk.chin.fall",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run",1,"#1B9E77",0,12,"late",1
