"","name","trend","Species","ESU","pop"
"1","Chinook_California Coastal Chinook salmon_freshwtrcrk",-0.233788004676064,"Chinook","California Coastal Chinook salmon","freshwtrcrk"
"2","Chinook_California Coastal Chinook salmon_russianriv",-0.0127461630080917,"Chinook","California Coastal Chinook salmon","russianriv"
"3","Chinook_California Coastal Chinook salmon_vanarsdale",0.0183554056847528,"Chinook","California Coastal Chinook salmon","vanarsdale"
"4","Chinook_Central Valley fall-late fall-run Chinook Salmon_americanriv.chin.fall",-0.0729082434848132,"Chinook","Central Valley fall-late fall-run Chinook Salmon","americanriv.chin.fall"
"5","Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.fall",-0.123606115814775,"Chinook","Central Valley fall-late fall-run Chinook Salmon","battlecrk.chin.fall"
"6","Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.latefall",-0.0235154601580136,"Chinook","Central Valley fall-late fall-run Chinook Salmon","battlecrk.chin.latefall"
"7","Chinook_Central Valley fall-late fall-run Chinook Salmon_buttecrk.chin.fall",-0.0482862814406115,"Chinook","Central Valley fall-late fall-run Chinook Salmon","buttecrk.chin.fall"
"8","Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.fall",-0.0145939369474826,"Chinook","Central Valley fall-late fall-run Chinook Salmon","clearcrk.chin.fall"
"9","Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.latefall",0.0241532121020423,"Chinook","Central Valley fall-late fall-run Chinook Salmon","clearcrk.chin.latefall"
"10","Chinook_Central Valley fall-late fall-run Chinook Salmon_cosumnesriv.chin.fall",0.0228347632473723,"Chinook","Central Valley fall-late fall-run Chinook Salmon","cosumnesriv.chin.fall"
"11","Chinook_Central Valley fall-late fall-run Chinook Salmon_cottonwoodcrk.chin.fall",-0.16505804296528,"Chinook","Central Valley fall-late fall-run Chinook Salmon","cottonwoodcrk.chin.fall"
