,name,trend,Species,ESU,pop,run
1,Chinook_California Coastal Chinook salmon_freshwtrcrk,-0.233788005,Chinook,California Coastal Chinook salmon,freshwtrcrk,late
2,Chinook_California Coastal Chinook salmon_russianriv,-0.012746163,Chinook,California Coastal Chinook salmon,russianriv,late
3,Chinook_California Coastal Chinook salmon_vanarsdale,0.018355406,Chinook,California Coastal Chinook salmon,vanarsdale,late
4,Chinook_Central Valley fall-late fall-run Chinook Salmon_americanriv.chin.fall,-0.072908243,Chinook,Central Valley fall-late fall-run Chinook Salmon,americanriv.chin.fall,late
5,Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.fall,-0.123606116,Chinook,Central Valley fall-late fall-run Chinook Salmon,battlecrk.chin.fall,late
6,Chinook_Central Valley fall-late fall-run Chinook Salmon_battlecrk.chin.latefall,-0.02351546,Chinook,Central Valley fall-late fall-run Chinook Salmon,battlecrk.chin.latefall,late
7,Chinook_Central Valley fall-late fall-run Chinook Salmon_buttecrk.chin.fall,-0.048286281,Chinook,Central Valley fall-late fall-run Chinook Salmon,buttecrk.chin.fall,late
8,Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.fall,-0.014593937,Chinook,Central Valley fall-late fall-run Chinook Salmon,clearcrk.chin.fall,late
9,Chinook_Central Valley fall-late fall-run Chinook Salmon_clearcrk.chin.latefall,0.024153212,Chinook,Central Valley fall-late fall-run Chinook Salmon,clearcrk.chin.latefall,late
10,Chinook_Central Valley fall-late fall-run Chinook Salmon_cosumnesriv.chin.fall,0.022834763,Chinook,Central Valley fall-late fall-run Chinook Salmon,cosumnesriv.chin.fall,late
11,Chinook_Central Valley fall-late fall-run Chinook Salmon_cottonwoodcrk.chin.fall,-0.165058043,Chinook,Central Valley fall-late fall-run Chinook Salmon,cottonwoodcrk.chin.fall,late
12,Chinook_Central Valley fall-late fall-run Chinook Salmon_cowcrk.chin.fall,-0.113403903,Chinook,Central Valley fall-late fall-run Chinook Salmon,cowcrk.chin.fall,late
13,Chinook_Central Valley fall-late fall-run Chinook Salmon_deercrk.chin.fall,-0.053747088,Chinook,Central Valley fall-late fall-run Chinook Salmon,deercrk.chin.fall,late
14,Chinook_Central Valley fall-late fall-run Chinook Salmon_featherriv.chin.fall,-0.029834599,Chinook,Central Valley fall-late fall-run Chinook Salmon,featherriv.chin.fall,late
15,Chinook_Central Valley fall-late fall-run Chinook Salmon_mercedriv.chin.fall,-0.058650933,Chinook,Central Valley fall-late fall-run Chinook Salmon,mercedriv.chin.fall,late
16,Chinook_Central Valley fall-late fall-run Chinook Salmon_millcrk.chin.fall,5.10E-06,Chinook,Central Valley fall-late fall-run Chinook Salmon,millcrk.chin.fall,late
17,Chinook_Central Valley fall-late fall-run Chinook Salmon_mokelumneriv.chin.fall,0.007688654,Chinook,Central Valley fall-late fall-run Chinook Salmon,mokelumneriv.chin.fall,late
