"","ESU","trend","stderr","Status","Region","Domain","abn_type","shape","n.tot","pos.x","n.pos","pos.y","n","Species","1995-1999","2016-2020","delta"
"1","Baker River Sockeye",0.0684729646653881,0.00799273559437257,"U","PNW","NC","abs",1,1,1,1,NA,NA,"Sockeye",5113.08507527207,18504.3551017125,2.61901959957665
"2","Big Bear Creek (provisional) Sockeye",-0.123324377178593,0.00578836443841831,"U","PNW","NC","abs",1,1,NA,NA,0,1,"Sockeye",13239.2412119273,1095.65962816244,-0.917241508737272
"3","California Central Valley Steelhead",0.00565732736389329,0.00778723954372073,"T","CA","CA","index",19,5,1,4,0,1,"Steelhead",473.344254779781,428.469681468521,-0.0948032491323612
"4","California Coastal Chinook salmon",-0.0140211427959708,0.0109109398885535,"T","CA","CA","index",19,3,1,1,0,2,"Chinook",2167.52260374251,1711.37266114397,-0.210447605857
"5","Central California Coast coho salmon",-0.0169028761457564,0.0213441995678757,"E","CA","CA","index",19,8,NA,NA,0,8,"Coho",3075.61928858815,2780.71893605176,-0.0958832432969181
"6","Central California Coast steelhead",-0.0526476229330384,0.0171543064789946,"T","CA","CA","index",19,1,NA,NA,0,1,"Steelhead",NA,NA,NA
"7","Central Valley fall-late fall-run Chinook Salmon",-0.0679802481385152,0.0155181954249191,"U","CA","CA","abs",1,19,1,5,0,14,"Chinook",305748.434208051,87726.0805211472,-0.713077580435122
"8","Central Valley Spring-Run Chinook Salmon",-0.0246043053854908,0.017092678272208,"T","CA","CA","abs",19,10,1,4,0,6,"Chinook",5732.30366353276,3743.77722462041,-0.346898307492462
"9","Chinook Salmon (Mid-Columbia River Spring-Run)",0.0192361906089845,0.0175170454483066,"U","PNW","IC","abs",1,7,1,5,0,2,"Chinook",2867.636368261,5086.93573013587,0.773912406202574
"10","Columbia River Chum Salmon ESU",0.0335680761059439,0.011301638296388,"T","PNW","LC","abs",19,4,1,4,NA,NA,"Chum",7469.49367275358,16811.7433495771,1.25072060920289
"11","Deschutes River Summer-Fall-run Chinook Salmon",0.00747869575518385,0.005375509015683,"U","PNW","IC","abs",1,1,1,1,NA,NA,"Chinook",14808.2943052727,14962.5805310857,0.0104189059612367
"12","Even-year Pink",NA,NA,"U","PNW","NC","index",1,1,NA,NA,NA,NA,"Pink",NA,NA,NA
