"","ESU","SPECIES","population","1995-1999","2016-2020","delta","Number","Species","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","status2"
"1","Baker River Sockeye","Sockeye","Baker Sockeye-",5113.08507527207,18504.3551017125,2.61901959957665,33,"Sockeye","Baker River","Sockeye Salmon (Baker River)","U","PNW","NC","abs","U"
"2","Big Bear Creek (provisional) Sockeye","Sockeye","Lake Washington/Sammamish Tribs Sockeye-",13239.2412119273,1095.65962816244,-0.917241508737272,34,"Sockeye","Big Bear Creek","Big Bear Creek (Lake Washington)","U","PNW","NC","abs","U"
"3","California Central Valley Steelhead","Steelhead","americanriv.sthd",335.9891042554,86.5036214465856,-0.742540396843255,40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","L"
"4","California Central Valley Steelhead","Steelhead","clearcrk.sthd",64.6465362300837,180.596099736396,1.79359282442659,40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","L"
"5","California Central Valley Steelhead","Steelhead","mokelumneriv.sthd",22.2468360831462,54.9754359519008,1.47115750511369,40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","L"
"6","California Central Valley Steelhead","Steelhead","stanislausriv.sthd",0.538643121418844,8.39369620422824,14.5830379530668,40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","L"
"7","California Central Valley Steelhead","Steelhead","yubariv.sthd",48.9651444505481,97.6948770154496,0.99519225587327,40,"Steelhead","California Central Valley","Steelhead (Central Valley DPS)","T","CA","CA","index","L"
"8","California Coastal Chinook salmon","Chinook","freshwtrcrk",249.524452144675,2.90246651941503,-0.988368007646272,3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","L"
"9","California Coastal Chinook salmon","Chinook","russianriv",1803.4977369176,1503.05038831752,-0.166591475248303,3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","L"
"10","California Coastal Chinook salmon","Chinook","vanarsdale",100.258050063468,202.970000566193,1.02447584446041,3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","L"
